year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	0.945	-1.7	0.2	-2.8	96.0	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	2	0.614	-1.5	0.8	-2.7	101.0	-9999	2.2	-9999	-9999	-9999	-9999
1960	1	3	0.413	-1.4	0.5	-2.8	97.2	-9999	1.9	-9999	-9999	-9999	-9999
1960	1	4	0.561	-1.1	1.5	-3.1	98.0	-9999	1.3	-9999	-9999	-9999	-9999
1960	1	5	1.607	-0.1	1.8	-1.8	95.1	-9999	1.2	-9999	-9999	-9999	-9999
1960	1	6	0.567	-0.9	0.8	-1.8	98.8	-9999	0.2	-9999	-9999	-9999	-9999
1960	1	7	0.549	-0.9	2.0	-3.2	100.5	-9999	0.6	-9999	-9999	-9999	-9999
1960	1	8	0.396	-1.9	-0.4	-3.0	100.3	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	9	0.090	0.2	3.3	-2.0	101.4	-9999	0.8	-9999	-9999	-9999	-9999
1960	1	10	0.076	1.8	2.3	1.5	101.1	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	11	0.105	2.7	4.2	1.7	99.7	-9999	2.9	-9999	-9999	-9999	-9999
1960	1	12	0.519	2.2	4.4	0.5	96.3	-9999	0.7	-9999	-9999	-9999	-9999
1960	1	13	0.085	2.4	6.5	0.2	96.4	-9999	2.2	-9999	-9999	-9999	-9999
1960	1	14	0.558	3.9	4.7	3.2	97.0	-9999	3.5	-9999	-9999	-9999	-9999
1960	1	15	1.246	1.8	5.5	0.0	96.5	-9999	0.5	-9999	-9999	-9999	-9999
1960	1	16	0.296	3.5	5.3	1.4	95.6	-9999	3.5	-9999	-9999	-9999	-9999
1960	1	17	0.334	2.3	5.2	1.6	97.4	-9999	0.2	-9999	-9999	-9999	-9999
1960	1	18	0.265	3.2	7.7	1.3	96.1	-9999	3.1	-9999	-9999	-9999	-9999
1960	1	19	0.653	5.6	8.6	2.4	88.5	-9999	4.8	-9999	-9999	-9999	-9999
1960	1	20	1.724	2.3	5.4	0.0	88.4	-9999	5.1	-9999	-9999	-9999	-9999
1960	1	21	1.004	1.6	3.8	0.4	90.1	-9999	4.3	-9999	-9999	-9999	-9999
1960	1	22	0.809	1.1	4.0	-1.9	91.0	-9999	2.0	-9999	-9999	-9999	-9999
1960	1	23	1.988	0.2	5.2	-1.8	89.5	-9999	4.3	-9999	-9999	-9999	-9999
1960	1	24	2.947	4.4	6.9	2.5	89.5	-9999	3.4	-9999	-9999	-9999	-9999
1960	1	25	0.451	4.5	6.7	2.4	93.5	-9999	3.6	-9999	-9999	-9999	-9999
