year	CO2_ppm
1950	310.750
1951	311.100
1952	311.500
1953	311.925
1954	312.425
1955	313.000
1956	313.600
1957	314.225
1958	314.848
1959	315.500
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.140
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.360
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.760
2004	376.813
2005	378.813
