Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1997	1	1	0.23066	4.2797	5.1514	3.5877	89.867	-9999	2.472	-9999	-9999	-9999	9.6347
1997	1	2	0.44733	3.5183	4.8535	1.8159	88.532	-9999	1.5387	-9999	-9999	-9999	7.6151
1997	1	3	1.3432	0.46078	3.3682	-1.9935	91.015	-9999	0.13586	-9999	-9999	-9999	4.8251
1997	1	4	0.97428	-0.30356	2.3749	-2.096	93.588	-9999	1.487	-9999	-9999	-9999	5.8478
1997	1	5	0.32533	1.9746	2.962	0.77273	95.972	-9999	0.9181	-9999	-9999	-9999	4.7584
1997	1	6	1.1424	0.76891	2.1977	-0.081183	89.674	-9999	0.20157	-9999	-9999	-9999	7.1596
1997	1	7	0.75942	1.1037	1.9751	0.58227	88.704	-9999	0.27344	-9999	-9999	-9999	7.3899
1997	1	8	0.92156	1.2331	2.4519	0.35363	90.934	-9999	0.68767	-9999	-9999	-9999	8.8896
1997	1	9	0.5079	2.1098	3.7911	1.2261	96.607	-9999	2.5336	-9999	-9999	-9999	6.9001
1997	1	10	0.75824	1.4222	2.8127	0.8742	97.086	-9999	0.8062	-9999	-9999	-9999	5.4717
1997	1	11	0.79909	1.2849	2.3246	0.44467	94.843	-9999	0.63721	-9999	-9999	-9999	4.9556
1997	1	12	0.56234	2.3208	4.3159	0.14678	91.758	-9999	1.167	-9999	-9999	-9999	6.0102
1997	1	13	0.95675	0.71581	2.2928	-0.60615	94.867	-9999	1.0625	-9999	-9999	-9999	3.0219
1997	1	14	0.40375	1.2069	2.1714	0.16201	92.186	-9999	1.0445	-9999	-9999	-9999	5.2714
1997	1	15	1.4132	-0.17353	1.2625	-0.72288	90.409	-9999	0.30899	-9999	-9999	-9999	4.9171
1997	1	16	0.82796	0.095422	1.1885	-0.83738	96.966	-9999	0.59379	-9999	-9999	-9999	3.1217
1997	1	17	0.40548	-0.02912	1.6409	-0.85181	96.35	-9999	0.87808	-9999	-9999	-9999	3.0149
1997	1	18	0.92955	1.1056	3.4372	0.1611	92.1	-9999	4.0263	-9999	-9999	-9999	4.9077
1997	1	19	1.6484	2.1327	4.1531	0.86935	90.688	-9999	2.9357	-9999	-9999	-9999	5.6519
1997	1	20	1.4102	3.6099	6.8036	0.87112	85.855	-9999	6.7028	-9999	-9999	-9999	8.2754
1997	1	21	1.5046	2.1992	3.7129	0.58157	82.968	-9999	0.31394	-9999	-9999	-9999	8.3517
1997	1	22	2.2133	-0.18873	2.489	-1.4309	87.241	-9999	0.23611	-9999	-9999	-9999	4.8075
1997	1	23	1.1232	-0.19794	1.4994	-1.2046	93.672	-9999	3.427	-9999	-9999	-9999	4.1068
1997	1	24	1.2219	1.9975	3.9578	0.12576	93.373	-9999	1.3834	-9999	-9999	-9999	5.2087
1997	1	25	1.0649	1.2983	2.6726	-0.098639	92.602	-9999	0.17268	-9999	-9999	-9999	4.9809
1997	1	26	0.7597	0.18588	1.2245	-0.63062	95.609	-9999	1.0166	-9999	-9999	-9999	2.7477
1997	1	27	0.60935	0.76794	1.7509	0.20101	96.725	-9999	1.3612	-9999	-9999	-9999	2.5684
1997	1	28	0.58192	1.5209	2.135	0.82055	94.423	-9999	1.7046	-9999	-9999	-9999	2.1183
1997	1	29	2.1608	-0.13248	1.8548	-1.605	86.626	-9999	0.67743	-9999	-9999	-9999	6.2558
1997	1	30	2.8301	-1.4436	1.1056	-2.4708	87.269	-9999	0.45912	-9999	-9999	-9999	5.5303
1997	1	31	2.3945	-0.47822	1.6464	-1.7879	83.027	-9999	0.83032	-9999	-9999	-9999	8.1526
1997	2	1	3.5168	-0.26823	2.4076	-1.9903	80.182	-9999	0.43042	-9999	-9999	-9999	7.3634
1997	2	2	1.4331	0.47003	2.4377	-1.5711	81.807	-9999	0.47791	-9999	-9999	-9999	8.7089
1997	2	3	1.478	-0.21195	3.506	-2.4	90.735	-9999	3.3072	-9999	-9999	-9999	2.2182
1997	2	4	1.9447	1.7747	3.2558	0.65698	94.773	-9999	0.59086	-9999	-9999	-9999	5.7991
1997	2	5	2.2777	1.1014	3.1113	0.11144	92.55	-9999	0.38411	-9999	-9999	-9999	5.8552
1997	2	6	1.6285	2.0678	4.3003	0.21313	94.856	-9999	0.73471	-9999	-9999	-9999	4.5812
1997	2	7	1.7644	2.8681	5.4942	1.9112	96.076	-9999	0.80339	-9999	-9999	-9999	4.8509
1997	2	8	1.7208	6.3033	7.5952	4.8838	88.971	-9999	2.4504	-9999	-9999	-9999	8.9309
1997	2	9	1.8622	4.8132	6.7184	3.5537	90.752	-9999	2.3639	-9999	-9999	-9999	7.1329
1997	2	10	3.9893	4.9949	7.2379	2.9719	87.587	-9999	0.98356	-9999	-9999	-9999	7.6038
1997	2	11	2.5086	3.6948	5.7281	2.7953	92.11	-9999	1.7706	-9999	-9999	-9999	6.1817
1997	2	12	3.6542	2.3247	4.5055	0.88558	85.745	-9999	1.1061	-9999	-9999	-9999	5.3116
1997	2	13	3.049	4.9472	8.6676	1.6354	84.923	-9999	4.9844	-9999	-9999	-9999	7.3756
1997	2	14	5.8812	4.8076	7.2058	3.0925	75.865	-9999	2.7049	-9999	-9999	-9999	8.3386
1997	2	15	5.6872	4.2704	6.4905	2.4665	74.298	-9999	0.859	-9999	-9999	-9999	10.658
1997	2	16	4.1628	1.9407	4.6381	-0.023932	87.338	-9999	0.51452	-9999	-9999	-9999	5.9856
1997	2	17	4.8047	0.11733	3.6073	-1.4594	90.368	-9999	0.12267	-9999	-9999	-9999	3.0395
1997	2	18	4.0526	-0.62348	1.8128	-2.2134	89.582	-9999	0.095622	-9999	-9999	-9999	2.3959
1997	2	19	3.684	0.36541	2.8512	-0.92719	88.366	-9999	0.42787	-9999	-9999	-9999	4.7507
1997	2	20	4.7062	1.1001	3.6236	-0.16001	86.942	-9999	1.3153	-9999	-9999	-9999	5.2147
1997	2	21	4.171	1.6623	3.266	0.38339	85.317	-9999	2.0992	-9999	-9999	-9999	8.0922
1997	2	22	3.6028	1.1367	2.6559	-0.45646	72.234	-9999	1.005	-9999	-9999	-9999	11.161
1997	2	23	4.6437	0.79363	3.7845	-1.2493	83.049	-9999	3.2417	-9999	-9999	-9999	8.7763
1997	2	24	3.1934	2.9642	4.091	2.1964	85.534	-9999	2.3022	-9999	-9999	-9999	8.4995
1997	2	25	3.6119	2.4415	4.1142	1.1711	83.045	-9999	1.2894	-9999	-9999	-9999	7.879
1997	2	26	4.594	1.2928	3.7247	0.0016113	85.567	-9999	0.15874	-9999	-9999	-9999	5.4887
1997	2	27	4.6573	-0.63486	1.3433	-2.356	81.076	-9999	0.45385	-9999	-9999	-9999	3.3563
1997	2	28	5.9244	-3.5924	-1.593	-4.8292	71.944	-9999	0.20002	-9999	-9999	-9999	2.5048
1997	3	1	3.2939	-0.42423	1.993	-3.4046	89.244	-9999	2.2182	-9999	-9999	-9999	7.0818
1997	3	2	1.7886	2.9674	5.3346	0.90402	96.07	-9999	2.7773	-9999	-9999	-9999	7.289
1997	3	3	2.4701	5.3852	6.699	4.4965	96.188	-9999	0	-9999	-9999	-9999	7.4686
1997	3	4	8.5653	5.0533	7.4312	3.14	78.92	-9999	0	-9999	-9999	-9999	10.977
1997	3	5	7.0754	3.5656	5.5485	2.6885	79.645	-9999	0	-9999	-9999	-9999	10.052
1997	3	6	7.8459	3.4021	5.375	2.25	81.357	-9999	0	-9999	-9999	-9999	6.9576
1997	3	7	4.7015	5.233	8.2505	3.6901	87.755	-9999	0	-9999	-9999	-9999	7.7857
1997	3	8	6.9578	5.3112	8.4167	3.7758	86.351	-9999	0	-9999	-9999	-9999	9.2308
1997	3	9	2.6435	5.2682	6.8631	3.8819	85.88	-9999	4.1196	-9999	-9999	-9999	10.154
1997	3	10	5.9627	4.993	6.6763	3.2726	83.618	-9999	3.8224	-9999	-9999	-9999	10.987
1997	3	11	2.3985	6.3642	7.7342	5.8661	85.257	-9999	4.5704	-9999	-9999	-9999	11.872
1997	3	12	4.3388	6.3513	8.2238	4.4239	87.308	-9999	9.5979	-9999	-9999	-9999	9.2783
1997	3	13	3.2077	4.4882	6.1381	3.0822	76.457	-9999	3.9998	-9999	-9999	-9999	10.957
1997	3	14	8.1281	2.1009	4.4653	0.24792	71.795	-9999	0	-9999	-9999	-9999	5.2503
1997	3	15	7.3819	2.6075	5.56	0.62612	79.22	-9999	0	-9999	-9999	-9999	7.3624
1997	3	16	13.283	1.0055	5.32	-1.3103	68.199	-9999	0	-9999	-9999	-9999	4.5341
1997	3	17	13.495	0.53491	5.0648	-1.7397	66.089	-9999	0	-9999	-9999	-9999	4.663
1997	3	18	10.639	0.3991	4.2682	-1.9223	74.093	-9999	0	-9999	-9999	-9999	3.2122
1997	3	19	11.448	0.44177	3.2309	-1.037	68.74	-9999	0	-9999	-9999	-9999	8.9229
1997	3	20	13.371	0.32141	3.7223	-1.1581	66.992	-9999	0	-9999	-9999	-9999	10.276
1997	3	21	14.04	0.24688	3.0456	-1.2437	64.191	-9999	0	-9999	-9999	-9999	9.997
1997	3	22	4.9775	0.092554	1.3662	-0.9047	75.995	-9999	0	-9999	-9999	-9999	7.8009
1997	3	23	1.7224	0.5071	1.3189	-0.064551	89.395	-9999	5.3253	-9999	-9999	-9999	5.7513
1997	3	24	7.9024	1.7943	4.8124	-0.081122	76.015	-9999	0	-9999	-9999	-9999	6.4265
1997	3	25	13.771	1.658	5.6718	-0.91437	73.292	-9999	0	-9999	-9999	-9999	5.6507
1997	3	26	7.2566	1.5679	3.8072	-0.4065	85.591	-9999	0	-9999	-9999	-9999	5.0551
1997	3	27	12.205	1.6717	4.419	0.00063477	72.056	-9999	0	-9999	-9999	-9999	5.1897
1997	3	28	4.5806	2.9542	5.612	0.81091	85.247	-9999	6.2494	-9999	-9999	-9999	7.1113
1997	3	29	13.733	1.809	4.977	-0.28351	65.493	-9999	0	-9999	-9999	-9999	5.4955
1997	3	30	4.3352	1.907	3.7668	0.30935	90.49	-9999	4.6964	-9999	-9999	-9999	1.2483
1997	3	31	12.89	1.9022	5.986	-0.45573	75.142	-9999	0	-9999	-9999	-9999	4.9349
1997	4	1	17.134	1.5317	6.192	-1.2929	68.886	-9999	0	-9999	-9999	-9999	4.1195
1997	4	2	14.343	0.59005	3.9533	-1.6568	65.946	-9999	0	-9999	-9999	-9999	5.5855
1997	4	3	11.025	-0.24402	2.0286	-1.7785	66.804	-9999	0	-9999	-9999	-9999	6.0245
1997	4	4	10.091	-0.67869	1.6954	-1.9919	65.993	-9999	0	-9999	-9999	-9999	3.5093
1997	4	5	11.397	-0.0021118	2.7613	-2.2469	65.059	-9999	0	-9999	-9999	-9999	3.4009
1997	4	6	4.817	0.6195	2.0119	-0.79288	84.927	-9999	3.0229	-9999	-9999	-9999	4.371
1997	4	7	3.5502	1.9387	3.6303	1.081	85.215	-9999	0	-9999	-9999	-9999	4.2482
1997	4	8	7.8206	2.4595	4.8624	0.78591	81.756	-9999	0	-9999	-9999	-9999	4.1843
1997	4	9	11.331	2.8597	6.1061	0.013116	74.397	-9999	0	-9999	-9999	-9999	1.4213
1997	4	10	10.271	4.1146	7.0086	1.6507	69.96	-9999	4.3161	-9999	-9999	-9999	6.3331
1997	4	11	11.749	5.0418	8.1193	2.6478	77.953	-9999	0	-9999	-9999	-9999	5.4693
1997	4	12	11.231	4.1752	7.1789	1.9181	81.08	-9999	0	-9999	-9999	-9999	3.8071
