year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1950	1	1	0.562	4.0	4.8	3.5	90.4	-9999	1.1	-9999	-9999	-9999	-9999
1950	1	2	0.171	4.9	6.4	3.6	88.5	-9999	3.3	-9999	-9999	-9999	-9999
1950	1	3	0.484	4.5	6.6	3.6	83.4	-9999	3.3	-9999	-9999	-9999	-9999
1950	1	4	0.791	4.9	5.8	4.4	81.5	-9999	0.5	-9999	-9999	-9999	-9999
1950	1	5	0.196	5.1	6.3	4.3	92.0	-9999	1.9	-9999	-9999	-9999	-9999
1950	1	6	0.899	5.0	6.1	4.6	88.7	-9999	1.0	-9999	-9999	-9999	-9999
1950	1	7	1.369	4.3	6.4	3.0	80.8	-9999	0.9	-9999	-9999	-9999	-9999
1950	1	8	0.247	4.3	6.1	2.9	89.0	-9999	2.7	-9999	-9999	-9999	-9999
1950	1	9	0.318	4.7	5.6	3.1	90.4	-9999	1.7	-9999	-9999	-9999	-9999
1950	1	10	0.748	2.2	5.9	-0.5	82.1	-9999	1.0	-9999	-9999	-9999	-9999
1950	1	11	1.553	-0.9	3.0	-3.3	83.6	-9999	0.6	-9999	-9999	-9999	-9999
1950	1	12	1.256	-1.5	4.5	-4.3	88.2	-9999	0.9	-9999	-9999	-9999	-9999
1950	1	13	0.308	2.5	6.3	-0.3	95.4	-9999	4.4	-9999	-9999	-9999	-9999
1950	1	14	0.378	3.6	5.5	2.0	88.6	-9999	7.8	-9999	-9999	-9999	-9999
1950	1	15	0.441	1.4	4.9	-0.1	89.2	-9999	2.4	-9999	-9999	-9999	-9999
1950	1	16	1.120	1.0	2.6	0.1	91.7	-9999	0.5	-9999	-9999	-9999	-9999
1950	1	17	0.200	2.1	4.7	0.0	94.7	-9999	4.1	-9999	-9999	-9999	-9999
1950	1	18	0.600	2.9	4.0	1.5	93.6	-9999	0.8	-9999	-9999	-9999	-9999
1950	1	19	0.925	0.9	3.9	-0.1	89.9	-9999	0.7	-9999	-9999	-9999	-9999
1950	1	20	0.747	2.3	6.8	-0.8	91.0	-9999	2.4	-9999	-9999	-9999	-9999
1950	1	21	1.711	4.2	5.0	3.8	91.1	-9999	1.9	-9999	-9999	-9999	-9999
1950	1	22	1.088	3.8	5.0	2.6	85.4	-9999	1.5	-9999	-9999	-9999	-9999
1950	1	23	1.751	3.3	4.8	2.6	82.3	-9999	0.2	-9999	-9999	-9999	-9999
1950	1	24	0.168	5.2	9.0	2.6	92.4	-9999	4.0	-9999	-9999	-9999	-9999
1950	1	25	1.208	6.2	7.6	5.0	86.8	-9999	1.1	-9999	-9999	-9999	-9999
1950	1	26	0.830	4.7	6.3	3.5	89.6	-9999	0.7	-9999	-9999	-9999	-9999
1950	1	27	2.096	3.6	4.9	2.2	82.8	-9999	0.4	-9999	-9999	-9999	-9999
1950	1	28	1.266	3.0	6.0	1.7	88.5	-9999	1.5	-9999	-9999	-9999	-9999
1950	1	29	0.529	5.9	7.8	3.7	94.1	-9999	2.2	-9999	-9999	-9999	-9999
1950	1	30	0.486	5.8	6.2	5.2	92.2	-9999	1.9	-9999	-9999	-9999	-9999
1950	1	31	1.129	5.0	5.9	4.6	85.9	-9999	2.8	-9999	-9999	-9999	-9999
1950	2	1	0.866	3.1	4.6	1.0	86.8	-9999	1.3	-9999	-9999	-9999	-9999
1950	2	2	4.867	-0.2	3.5	-2.0	72.9	-9999	0.1	-9999	-9999	-9999	-9999
1950	2	3	0.580	0.1	1.8	-2.3	85.3	-9999	3.1	-9999	-9999	-9999	-9999
1950	2	4	2.135	-2.8	-0.3	-3.7	92.6	-9999	1.2	-9999	-9999	-9999	-9999
1950	2	5	1.962	-3.9	-2.4	-5.6	94.9	-9999	1.3	-9999	-9999	-9999	-9999
1950	2	6	4.267	-4.9	-2.6	-7.0	93.8	-9999	0.4	-9999	-9999	-9999	-9999
1950	2	7	3.436	-2.7	-0.6	-4.5	92.2	-9999	0.7	-9999	-9999	-9999	-9999
1950	2	8	2.780	-1.4	-0.3	-2.1	92.2	-9999	0.8	-9999	-9999	-9999	-9999
1950	2	9	3.171	-1.2	0.1	-2.3	95.5	-9999	0.5	-9999	-9999	-9999	-9999
1950	2	10	2.003	-2.3	-1.0	-3.7	94.8	-9999	1.2	-9999	-9999	-9999	-9999
1950	2	11	4.199	-4.4	-2.9	-5.2	94.9	-9999	0.4	-9999	-9999	-9999	-9999
1950	2	12	5.219	-4.2	-2.3	-5.7	95.0	-9999	0.2	-9999	-9999	-9999	-9999
1950	2	13	4.672	-3.8	-2.2	-4.5	95.0	-9999	0.3	-9999	-9999	-9999	-9999
1950	2	14	4.125	-3.4	-1.0	-4.9	96.2	-9999	0.4	-9999	-9999	-9999	-9999
