year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	0.782	2.1	3.3	0.9	84.9	-9999	0.7	-9999	-9999	-9999	-9999
1960	1	2	0.293	1.9	4.0	0.8	83.6	-9999	2.0	-9999	-9999	-9999	-9999
1960	1	3	0.768	2.6	3.2	2.3	84.9	-9999	1.1	-9999	-9999	-9999	-9999
1960	1	4	0.453	2.5	2.9	2.3	86.4	-9999	1.2	-9999	-9999	-9999	-9999
1960	1	5	0.721	2.5	3.7	1.9	87.2	-9999	0.5	-9999	-9999	-9999	-9999
1960	1	6	0.385	3.3	4.1	2.5	93.2	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	7	1.644	2.7	4.8	0.7	86.1	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	8	1.097	1.4	2.1	0.6	89.9	-9999	0.2	-9999	-9999	-9999	-9999
1960	1	9	1.393	0.6	1.8	-0.2	91.0	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	10	1.384	0.4	2.1	-0.4	91.7	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	11	0.692	2.3	5.7	-0.2	89.8	-9999	0.9	-9999	-9999	-9999	-9999
1960	1	12	0.554	4.5	5.5	3.0	90.7	-9999	1.4	-9999	-9999	-9999	-9999
1960	1	13	0.833	3.9	5.3	2.9	87.2	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	14	1.167	3.2	4.4	2.3	81.9	-9999	1.8	-9999	-9999	-9999	-9999
1960	1	15	0.256	4.1	5.7	1.8	87.5	-9999	5.2	-9999	-9999	-9999	-9999
1960	1	16	0.777	4.0	5.7	1.9	84.4	-9999	3.0	-9999	-9999	-9999	-9999
1960	1	17	1.938	1.3	5.3	-1.6	75.7	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	18	2.661	-0.8	0.8	-2.1	72.4	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	19	2.159	-0.8	1.3	-2.2	79.7	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	20	0.849	-0.4	0.4	-0.9	85.1	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	21	1.624	-0.8	0.0	-1.1	84.7	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	22	0.845	-0.4	0.3	-1.1	86.8	-9999	0.5	-9999	-9999	-9999	-9999
1960	1	23	0.565	-0.1	0.8	-0.4	89.4	-9999	1.8	-9999	-9999	-9999	-9999
1960	1	24	0.842	0.7	1.8	-0.1	92.9	-9999	1.2	-9999	-9999	-9999	-9999
1960	1	25	1.134	0.0	1.5	-0.9	91.7	-9999	0.9	-9999	-9999	-9999	-9999
1960	1	26	0.835	-1.1	0.0	-1.9	92.0	-9999	1.4	-9999	-9999	-9999	-9999
1960	1	27	1.269	-2.0	-0.6	-3.1	92.6	-9999	0.9	-9999	-9999	-9999	-9999
1960	1	28	1.839	-2.6	-1.7	-3.4	90.3	-9999	0.7	-9999	-9999	-9999	-9999
1960	1	29	2.656	-3.0	-1.6	-4.5	94.4	-9999	0.5	-9999	-9999	-9999	-9999
1960	1	30	1.680	-2.5	-1.6	-3.4	95.3	-9999	0.9	-9999	-9999	-9999	-9999
1960	1	31	2.791	-3.8	-2.3	-4.8	96.0	-9999	0.6	-9999	-9999	-9999	-9999
1960	2	1	3.282	-3.6	1.1	-6.5	95.4	-9999	0.3	-9999	-9999	-9999	-9999
1960	2	2	1.216	0.9	3.9	-2.3	93.8	-9999	1.1	-9999	-9999	-9999	-9999
1960	2	3	2.123	1.9	3.0	1.4	96.0	-9999	0.4	-9999	-9999	-9999	-9999
1960	2	4	2.142	1.7	2.5	1.1	93.3	-9999	0.5	-9999	-9999	-9999	-9999
1960	2	5	2.416	1.2	2.0	0.9	92.3	-9999	0.5	-9999	-9999	-9999	-9999
1960	2	6	2.634	0.1	1.8	-1.1	93.7	-9999	0.4	-9999	-9999	-9999	-9999
1960	2	7	3.161	-1.1	-0.2	-1.6	94.9	-9999	0.3	-9999	-9999	-9999	-9999
1960	2	8	2.780	-0.8	0.2	-1.4	95.0	-9999	0.4	-9999	-9999	-9999	-9999
1960	2	9	1.964	-0.3	0.6	-0.8	93.3	-9999	0.5	-9999	-9999	-9999	-9999
1960	2	10	2.898	-0.7	0.2	-1.3	93.0	-9999	0.5	-9999	-9999	-9999	-9999
1960	2	11	2.166	-1.2	-0.7	-1.6	93.9	-9999	0.5	-9999	-9999	-9999	-9999
1960	2	12	1.650	-1.2	-0.8	-1.5	93.7	-9999	1.4	-9999	-9999	-9999	-9999
1960	2	13	1.957	-0.1	1.1	-1.1	93.2	-9999	1.1	-9999	-9999	-9999	-9999
1960	2	14	0.753	1.2	2.6	0.5	93.0	-9999	3.7	-9999	-9999	-9999	-9999
1960	2	15	2.900	1.8	2.7	1.1	92.8	-9999	1.0	-9999	-9999	-9999	-9999
1960	2	16	1.170	3.2	5.4	1.1	92.2	-9999	4.9	-9999	-9999	-9999	-9999
1960	2	17	4.253	3.2	5.3	2.2	90.5	-9999	0.2	-9999	-9999	-9999	-9999
1960	2	18	4.598	3.1	4.7	2.4	89.5	-9999	0.3	-9999	-9999	-9999	-9999
1960	2	19	1.845	2.7	3.3	2.2	92.6	-9999	2.3	-9999	-9999	-9999	-9999
1960	2	20	1.020	2.2	2.9	1.5	93.5	-9999	4.1	-9999	-9999	-9999	-9999
1960	2	21	3.234	0.7	2.3	0.2	91.2	-9999	0.6	-9999	-9999	-9999	-9999
1960	2	22	3.438	2.1	3.5	0.7	91.9	-9999	0.8	-9999	-9999	-9999	-9999
1960	2	23	2.960	1.3	3.0	-1.3	91.6	-9999	1.0	-9999	-9999	-9999	-9999
1960	2	24	7.114	-3.2	0.9	-4.7	91.6	-9999	0.1	-9999	-9999	-9999	-9999
