Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	1.011	-3.6	-3.3	-4.1	93.6	-9999	1.3	-9999	-9999	-9999	-9999
1996	1	2	1.073	-3.3	-2.6	-3.7	90.4	-9999	1.1	-9999	-9999	-9999	-9999
1996	1	3	1.420	-5.3	-3.5	-6.3	99.3	-9999	0.0	-9999	-9999	-9999	-9999
1996	1	4	1.514	-6.8	-6.2	-7.3	99.7	-9999	0.0	-9999	-9999	-9999	-9999
1996	1	5	1.385	-4.6	-2.7	-6.6	98.2	-9999	0.3	-9999	-9999	-9999	-9999
1996	1	6	1.244	-2.5	-1.5	-3.0	95.5	-9999	1.1	-9999	-9999	-9999	-9999
1996	1	7	0.674	-1.7	1.2	-3.4	94.8	-9999	2.4	-9999	-9999	-9999	-9999
1996	1	8	1.584	0.3	1.6	-0.9	100.0	-9999	0.9	-9999	-9999	-9999	-9999
1996	1	9	0.885	0.0	0.5	-0.6	100.0	-9999	0.5	-9999	-9999	-9999	-9999
1996	1	10	0.584	-0.6	0.3	-1.1	100.0	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	11	0.866	-0.6	-0.1	-1.0	100.0	-9999	1.1	-9999	-9999	-9999	-9999
1996	1	12	0.681	0.2	0.7	-0.3	100.0	-9999	1.0	-9999	-9999	-9999	-9999
1996	1	13	1.878	1.0	2.3	-0.1	99.7	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	14	1.657	-0.6	1.4	-1.4	100.0	-9999	0.3	-9999	-9999	-9999	-9999
1996	1	15	1.264	-2.4	-1.5	-2.9	100.0	-9999	0.5	-9999	-9999	-9999	-9999
1996	1	16	1.028	-2.8	-2.3	-3.2	100.0	-9999	0.5	-9999	-9999	-9999	-9999
1996	1	17	0.617	-2.3	-2.1	-2.7	100.0	-9999	0.4	-9999	-9999	-9999	-9999
1996	1	18	1.181	-2.0	-1.4	-2.5	100.0	-9999	0.5	-9999	-9999	-9999	-9999
1996	1	19	1.309	-1.6	-0.7	-2.7	100.0	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	20	2.282	-2.6	-1.3	-3.6	90.4	-9999	0.7	-9999	-9999	-9999	-9999
1996	1	21	2.183	-2.8	-2.3	-3.2	86.5	-9999	0.6	-9999	-9999	-9999	-9999
1996	1	22	2.281	-3.4	-2.5	-4.6	90.2	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	23	2.397	-5.2	-4.6	-5.8	94.3	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	24	2.310	-5.1	-4.6	-5.8	94.1	-9999	0.9	-9999	-9999	-9999	-9999
1996	1	25	2.267	-5.0	-4.4	-5.7	85.4	-9999	2.4	-9999	-9999	-9999	-9999
1996	1	26	2.426	-4.8	-3.6	-6.3	85.4	-9999	2.0	-9999	-9999	-9999	-9999
1996	1	27	3.529	-4.1	-3.3	-5.0	89.2	-9999	0.3	-9999	-9999	-9999	-9999
1996	1	28	3.735	-6.2	-5.1	-7.2	100.0	-9999	0.0	-9999	-9999	-9999	-9999
1996	1	29	3.574	-5.6	-4.3	-7.2	100.0	-9999	0.0	-9999	-9999	-9999	-9999
1996	1	30	2.786	-4.2	-3.3	-4.9	100.0	-9999	0.2	-9999	-9999	-9999	-9999
1996	1	31	2.823	-5.1	-4.7	-5.5	98.2	-9999	0.3	-9999	-9999	-9999	-9999
1996	2	1	3.913	-6.2	-5.2	-7.5	99.9	-9999	0.0	-9999	-9999	-9999	-9999
1996	2	2	2.645	-6.8	-5.3	-7.8	99.9	-9999	0.5	-9999	-9999	-9999	-9999
1996	2	3	2.244	-4.7	-3.4	-5.7	99.0	-9999	0.8	-9999	-9999	-9999	-9999
1996	2	4	4.085	-4.5	-2.2	-6.2	98.8	-9999	0.0	-9999	-9999	-9999	-9999
1996	2	5	3.642	-7.3	-5.6	-8.5	96.9	-9999	0.0	-9999	-9999	-9999	-9999
1996	2	6	5.044	-8.2	-7.3	-9.5	98.3	-9999	0.0	-9999	-9999	-9999	-9999
1996	2	7	5.139	-8.5	-7.6	-9.4	97.0	-9999	0.0	-9999	-9999	-9999	-9999
1996	2	8	4.519	-9.0	-8.2	-9.9	97.0	-9999	0.1	-9999	-9999	-9999	-9999
1996	2	9	4.995	-10.1	-9.3	-10.9	100.0	-9999	0.1	-9999	-9999	-9999	-9999
1996	2	10	1.749	-9.7	-8.1	-10.5	100.0	-9999	1.3	-9999	-9999	-9999	-9999
1996	2	11	2.594	-6.2	-3.2	-8.6	100.0	-9999	2.3	-9999	-9999	-9999	-9999
1996	2	12	1.793	-2.2	-1.4	-3.2	100.0	-9999	3.5	-9999	-9999	-9999	-9999
1996	2	13	2.506	-2.6	-1.7	-3.3	98.8	-9999	0.3	-9999	-9999	-9999	-9999
1996	2	14	5.904	-4.9	-3.5	-6.3	98.1	-9999	0.1	-9999	-9999	-9999	-9999
