Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	0.286	7.4	7.9	6.3	93.9	-9999	9.3	-9999	-9999	-9999	-9999
1960	1	2	1.333	6.0	7.6	3.6	96.3	-9999	1.7	-9999	-9999	-9999	-9999
1960	1	3	1.451	5.6	7.2	4.0	92.0	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	4	1.159	5.3	6.3	4.4	93.4	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	5	0.627	6.2	8.1	4.4	92.8	-9999	10.9	-9999	-9999	-9999	-9999
1960	1	6	1.813	3.3	4.9	1.9	79.5	-9999	1.4	-9999	-9999	-9999	-9999
1960	1	7	2.445	2.2	3.4	1.3	77.6	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	8	2.053	-0.9	3.2	-6.0	81.2	-9999	0.5	-9999	-9999	-9999	-9999
1960	1	9	2.695	-4.8	-4.2	-6.1	75.9	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	10	1.750	-3.5	1.4	-6.7	89.4	-9999	1.6	-9999	-9999	-9999	-9999
1960	1	11	2.069	-2.1	2.1	-7.3	93.4	-9999	3.0	-9999	-9999	-9999	-9999
1960	1	12	2.497	-5.4	-4.7	-6.1	86.7	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	13	2.889	-3.9	-2.7	-5.6	85.1	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	14	1.999	-2.3	-1.4	-3.1	89.2	-9999	7.6	-9999	-9999	-9999	-9999
1960	1	15	2.300	-2.6	-1.8	-3.9	93.7	-9999	6.6	-9999	-9999	-9999	-9999
1960	1	16	1.905	-2.6	0.1	-4.5	94.0	-9999	2.1	-9999	-9999	-9999	-9999
1960	1	17	3.155	-3.3	-1.4	-5.1	90.3	-9999	3.3	-9999	-9999	-9999	-9999
1960	1	18	2.632	0.1	0.7	-2.0	89.9	-9999	9.2	-9999	-9999	-9999	-9999
1960	1	19	1.875	0.8	1.5	-0.5	89.5	-9999	5.8	-9999	-9999	-9999	-9999
1960	1	20	1.406	-0.4	0.7	-4.0	93.3	-9999	6.1	-9999	-9999	-9999	-9999
1960	1	21	2.807	-3.2	-2.3	-4.1	94.8	-9999	1.0	-9999	-9999	-9999	-9999
1960	1	22	0.590	-0.4	3.3	-3.1	94.3	-9999	7.8	-9999	-9999	-9999	-9999
