year,leFMDS_Wm2,hFMDS_Wm2
1996,17480.5630285457,1862.31315067708
1997,12185.2583975919,4776.4987075625
1998,12996.4150097125,-1950.05184833333
1999,14120.1085466594,-3024.81105722917
2000,11513.0490909592,-4647.35122808333
2001,10662.2734195042,-1978.158775875
2002,10835.7227320451,-1025.34792125
2003,12544.9748478975,1441.000228125
2004,13465.7474165235,-2440.46101035625
2005,10235.6451239806,-1336.01615256458
2006,12817.7579618493,-504.3200965625
2007,12013.6583051227,-4697.96712470833
2008,11727.3966861202,-831.588219083333
2009,13787.3250609271,722.778847729167
2010,11624.5302132917,-703.1807369375
2011,13829.6130519858,-2785.728664875
2012,12420.9877735908,-2869.94987214583
