year,mo,day,leFMDS_Wm2,hFMDS_Wm2
1996,1,1,54.1212420833333,19.6329970833333
1996,1,2,57.0848750833333,22.8084416041667
1996,1,3,60.6034722916667,-2.11812020833333
1996,1,4,54.1212420833333,19.6329970833333
1996,1,5,57.0848750833333,22.8084416041667
1996,1,6,60.6034722916667,-2.11812020833333
1996,1,7,54.1212420833333,19.6329970833333
1996,1,8,57.0848750833333,22.8084416041667
1996,1,9,60.6034722916667,-2.11812020833333
1996,1,10,54.1212420833333,19.6329970833333
1996,1,11,57.0848750833333,22.8084416041667
1996,1,12,60.6034722916667,-2.11812020833333
1996,1,13,54.1212420833333,19.6329970833333
1996,1,14,57.0848750833333,22.8084416041667
1996,1,15,60.6034722916667,-2.11812020833333
1996,1,16,54.1212420833333,19.6329970833333
1996,1,17,57.0848750833333,22.8084416041667
1996,1,18,60.6034722916667,-2.11812020833333
1996,1,19,54.1212420833333,19.6329970833333
1996,1,20,57.0848750833333,22.8084416041667
1996,1,21,60.6034722916667,-2.11812020833333
1996,1,22,54.1212420833333,19.6329970833333
1996,1,23,57.0848750833333,22.8084416041667
1996,1,24,60.6034722916667,-2.11812020833333
1996,1,25,54.1212420833333,19.6329970833333
1996,1,26,57.0848750833333,22.8084416041667
1996,1,27,60.6034722916667,-2.11812020833333
1996,1,28,54.1212420833333,19.6329970833333
1996,1,29,57.0848750833333,22.8084416041667
1996,1,30,60.6034722916667,-2.11812020833333
1996,1,31,54.1212420833333,19.6329970833333
1996,2,1,57.0848750833333,22.8084416041667
1996,2,2,60.6034722916667,-2.11812020833333
1996,2,3,54.1212420833333,19.6329970833333
1996,2,4,57.0848750833333,22.8084416041667
1996,2,5,60.6034722916667,-2.11812020833333
1996,2,6,54.1212420833333,19.6329970833333
1996,2,7,57.0848750833333,22.8084416041667
1996,2,8,60.6034722916667,-2.11812020833333
1996,2,9,54.1212420833333,19.6329970833333
1996,2,10,57.0848750833333,22.8084416041667
1996,2,11,60.6034722916667,-2.11812020833333
1996,2,12,54.1212420833333,19.6329970833333
1996,2,13,57.0848750833333,22.8084416041667
1996,2,14,60.6034722916667,-2.11812020833333
1996,2,15,54.1212420833333,19.6329970833333
1996,2,16,57.0848750833333,22.8084416041667
1996,2,17,60.6034722916667,-2.11812020833333
1996,2,18,54.1212420833333,19.6329970833333
1996,2,19,57.0848750833333,22.8084416041667
1996,2,20,60.6034722916667,-2.11812020833333
1996,2,21,54.1212420833333,19.6329970833333
1996,2,22,57.0848750833333,22.8084416041667
1996,2,23,60.6034722916667,-2.11812020833333
1996,2,24,54.1212420833333,19.6329970833333
1996,2,25,57.0848750833333,22.8084416041667
1996,2,26,60.6034722916667,-2.11812020833333
1996,2,27,54.1212420833333,19.6329970833333
1996,2,28,57.0848750833333,22.8084416041667
1996,2,29,60.6034722916667,-2.11812020833333
1996,3,1,54.1212420833333,19.6329970833333
1996,3,2,57.0848750833333,22.8084416041667
1996,3,3,60.6034722916667,-2.11812020833333
1996,3,4,54.1212420833333,19.6329970833333
1996,3,5,57.0848750833333,22.8084416041667
1996,3,6,60.6034722916667,-2.11812020833333
1996,3,7,54.1212420833333,19.6329970833333
1996,3,8,57.0848750833333,22.8084416041667
1996,3,9,60.6034722916667,-2.11812020833333
1996,3,10,54.1212420833333,19.6329970833333
1996,3,11,57.0848750833333,22.8084416041667
1996,3,12,60.6034722916667,-2.11812020833333
1996,3,13,54.1212420833333,19.6329970833333
1996,3,14,57.0848750833333,22.8084416041667
1996,3,15,60.6034722916667,-2.11812020833333
1996,3,16,49.8466661875,21.7519268958333
1996,3,17,53.9237073125,20.4128766666667
1996,3,18,54.3608258333333,-0.192657708333333
1996,3,19,49.9681085416667,20.1389083333333
1996,3,20,53.5491191666667,20.85212625
1996,3,21,54.2441038958333,-3.08833208333333
1996,3,22,50.0377562916667,17.4221020833333
1996,3,23,54.2418601458333,23.9125527291667
1996,3,24,54.5578573125,-1.83364979166667
1996,3,25,51.126754375,19.997550625
1996,3,26,54.4563975,22.186009375
1996,3,27,55.9008260416667,-1.50457875
1996,3,28,51.0171547291667,17.2472158333333
1996,3,29,54.810572125,19.887124375
1996,3,30,56.8302809791667,1.20435960416667
1996,3,31,51.6405218958333,18.7691039583333
1996,4,1,54.8360766666667,22.2805354166667
1996,4,2,56.2491635416667,-0.33042875
1996,4,3,51.3085475,19.1510760416667
1996,4,4,54.7335993125,19.6755402083333
1996,4,5,56.314765875,-2.81065208333333
1996,4,6,51.9529455625,21.8718596041667
1996,4,7,55.0136635625,20.7993804166667
1996,4,8,56.3402704166667,-0.417241041666667
1996,4,9,52.2307129166667,20.219381875
1996,4,10,55.5984695833333,21.3632176458333
1996,4,11,57.9018988958333,-3.04405708333333
1996,4,12,52.4863629583333,18.0999270833333
1996,4,13,56.1945247291667,23.7443582916667
1996,4,14,58.1482739791667,-2.05105895833333
1996,4,15,52.5113379166667,20.2633839583333
1996,4,16,55.6431560416667,22.4400245208333
1996,4,17,57.8589133333333,-1.726364375
1996,4,18,52.4231051458333,17.9490679166667
1996,4,19,55.7047129583333,20.1963841041667
1996,4,20,58.4549684791667,0.654776270833333
1996,4,21,52.6694802291667,18.9420660416667
1996,4,22,55.7996666666667,22.4261230625
1996,4,23,58.06852625,-0.705163541666667
1996,4,24,52.4914264583333,19.3805404166667
1996,4,25,56.2360945208333,20.3793984791667
1996,4,26,59.0809642083333,-2.92866041666667
1996,4,27,53.6150288958333,21.3735262708333
1996,4,28,56.4487804375,21.2415545208333
1996,4,29,59.1054095833333,-0.995750625
1996,4,30,53.0934089583333,20.2996470833333
1996,5,1,56.2020335416667,21.5089716041667
1996,5,2,59.0314213958333,-3.01879458333333
1996,5,3,53.1509204583333,18.2925895833333
1996,5,4,56.7497457708333,23.5504693333333
1996,5,5,59.2441073125,-2.15663854166667
1996,5,6,53.248213125,20.2510477083333
1996,5,7,56.2802397916667,22.5195951458333
1996,5,8,59.125750625,-1.8594
1996,5,9,53.1813472291667,18.37467
1996,5,10,56.3357285833333,20.6308291041667
1996,5,11,60.3351768125,-0.3535570625
1996,5,12,53.8169802291667,19.1448652083333
1996,5,13,56.7642147916667,22.4129211875
1996,5,14,59.843305625,-1.19698166666667
1996,5,15,53.6128470833333,19.3550047916667
1996,5,16,56.7044711875,20.6818830625
1996,5,17,59.8967717083333,-2.96745625
1996,5,18,54.1122163958333,21.0568596041667
1996,5,19,56.8834679375,21.4131970208333
1996,5,20,59.9206875,-1.26582729166667
1996,5,21,53.6203452083333,20.213435
1996,5,22,56.7122701458333,21.7091457708333
1996,5,23,59.9404911875,-2.81461125
1996,5,24,53.7154475416667,18.56610625
1996,5,25,57.1877566875,23.22727475
1996,5,26,60.1003194375,-2.13668791666667
1996,5,27,53.734304375,20.1549104166667
1996,5,28,56.7124093125,22.5049920208333
1996,5,29,60.3080395833333,-2.12189729166667
1996,5,30,60.3277524375,-2.88948
1996,5,31,60.3515200416667,-2.90891666666667
1996,6,1,60.4958333333333,-2.42708333333333
1996,6,2,46.9824125,41.7416666666667
1996,6,3,61.9744357916667,28.7145833333333
1996,6,4,85.6581541666667,37.5130083333333
1996,6,5,83.3166666666667,104.977083333333
1996,6,6,113.545833333333,98.6333333333333
1996,6,7,115.390104166667,82.4989583333333
1996,6,8,107.905852083333,59.1459604166667
1996,6,9,103.04375,47.4770833333333
1996,6,10,142.454166666667,63.3791666666667
1996,6,11,93.5538958333333,42.79375
1996,6,12,177.902083333333,-87.5166666666667
1996,6,13,117.847916666667,-168.1375
1996,6,14,102.051645833333,77.2354166666667
1996,6,15,111.077083333333,76.53125
1996,6,16,89.2442708333333,100.758333333333
1996,6,17,81.0020833333333,57.5791666666667
1996,6,18,132.072395833333,-117.9435875
1996,6,19,62.5729166666667,-34.0541666666667
1996,6,20,58.325,-27.1458333333333
1996,6,21,70.2625,10.7229166666667
1996,6,22,62.1541666666667,27.0625
