X,Y,LANDUSE,LAT,LON,CLAY_PERC,SILT_PERC,SAND_PERC,SOIL_DEPTH,FR,FN0,FNN,M0,LITTERC,LITTERN,SOILC,SOILN,DEADWOODC
0,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
1,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
2,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
3,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
4,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
5,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
6,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
7,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
8,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
9,0,F,55.29,11.38,15.33,21.59,63.08,180,0.90,0.5,0.5,0.2,-9999,-9999,-9999,-9999,-9999
