Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1944,0,0,23,Fagussylvatica,T,1767,0,3.619168081,6.666049802,0,0,0,0,0,0,0
1945,0,0,24,Fagussylvatica,T,1525,0,4.041901639,7.031160656,0,0,0,0,0,0,0
1946,0,0,25,Fagussylvatica,T,1525,0,4.459383607,7.391298361,0,0,0,0,0,0,0
1947,0,0,26,Fagussylvatica,T,1525,0,4.817278689,7.747770492,0,0,0,0,0,0,0
1948,0,0,27,Fagussylvatica,T,1326,0,5.128280543,8.105067873,0,0,0,0,0,0,0
1949,0,0,28,Fagussylvatica,T,1326,0,5.535475113,8.460180995,0,0,0,0,0,0,0
1950,0,0,29,Fagussylvatica,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,0,0,30,Fagussylvatica,T,1162,0,6.397521515,9.167340792,0,0,0,0,0,0,0
1952,0,0,31,Fagussylvatica,T,1162,0,6.784535284,9.516583477,0,0,0,0,0,0,0
1953,0,0,32,Fagussylvatica,T,1162,0,7.173580034,9.859578313,0,0,0,0,0,0,0
1954,0,0,33,Fagussylvatica,T,1023,0,7.552385142,10.20050831,0,0,0,0,0,0,0
1955,0,0,34,Fagussylvatica,T,1023,0,7.9271261,10.54035191,0,0,0,0,0,0,0
1956,0,0,35,Fagussylvatica,T,1023,0,8.232072336,10.87387097,0,0,0,0,0,0,0
1957,0,0,36,Fagussylvatica,T,906,0,8.591523179,11.20501104,0,0,0,0,0,0,0
1958,0,0,37,Fagussylvatica,T,906,0,8.940905077,11.530883,0,0,0,0,0,0,0
1959,0,0,38,Fagussylvatica,T,906,0,9.270640177,11.85339956,0,0,0,0,0,0,0
1960,0,0,39,Fagussylvatica,T,806,0,9.61235732,12.17648883,0,0,0,0,0,0,0
1961,0,0,40,Fagussylvatica,T,806,0,10.00527295,12.49230769,0,0,0,0,0,0,0
1962,0,0,41,Fagussylvatica,T,806,0,10.40378412,12.8017866,0,0,0,0,0,0,0
1963,0,0,42,Fagussylvatica,T,723,0,10.84260028,13.1220332,0,0,0,0,0,0,0
1964,0,0,43,Fagussylvatica,T,723,0,11.26058091,13.42253112,0,0,0,0,0,0,0
1965,0,0,44,Fagussylvatica,T,723,0,11.65573997,13.71962656,0,0,0,0,0,0,0
1966,0,0,45,Fagussylvatica,T,652,0,12.02461656,13.99601227,0,0,0,0,0,0,0
1967,0,0,46,Fagussylvatica,T,652,0,12.47889571,14.28440184,0,0,0,0,0,0,0
1968,0,0,47,Fagussylvatica,T,652,0,12.89590491,14.56754601,0,0,0,0,0,0,0
1969,0,0,48,Fagussylvatica,T,589,0,13.27636672,14.84933786,0,0,0,0,0,0,0
1970,0,0,49,Fagussylvatica,T,589,0,13.67290323,15.1260781,0,0,0,0,0,0,0
1971,0,0,50,Fagussylvatica,T,589,0,14.17740238,15.39724958,0,0,0,0,0,0,0
1972,0,0,51,Fagussylvatica,T,589,0,14.70402377,15.66404075,0,0,0,0,0,0,0
1973,0,0,52,Fagussylvatica,T,535,0,15.20906542,15.93151402,0,0,0,0,0,0,0
1974,0,0,53,Fagussylvatica,T,535,0,15.7448972,16.18990654,0,0,0,0,0,0,0
1975,0,0,54,Fagussylvatica,T,535,0,16.13278505,16.44304673,0,0,0,0,0,0,0
1976,0,0,55,Fagussylvatica,T,535,0,16.49211215,16.69899065,0,0,0,0,0,0,0
1977,0,0,56,Fagussylvatica,T,489,0,16.93566462,16.9595501,0,0,0,0,0,0,0
1978,0,0,57,Fagussylvatica,T,489,0,17.42548057,17.20625767,0,0,0,0,0,0,0
1979,0,0,58,Fagussylvatica,T,489,0,17.92137014,17.44310838,0,0,0,0,0,0,0
1980,0,0,59,Fagussylvatica,T,489,0,18.38413088,17.68145194,0,0,0,0,0,0,0
1981,0,0,60,Fagussylvatica,T,448,0,18.75875,17.87636161,0,0,0,0,0,0,0
1982,0,0,61,Fagussylvatica,T,448,0,19.13564732,18.10495536,0,0,0,0,0,0,0
1983,0,0,62,Fagussylvatica,T,448,0,19.47363839,18.33160714,0,0,0,0,0,0,0
1984,0,0,63,Fagussylvatica,T,448,0,19.89970982,18.55198661,0,0,0,0,0,0,0
1985,0,0,64,Fagussylvatica,T,412,0,20.42507282,18.83623786,0,0,0,0,0,0,0
1986,0,0,65,Fagussylvatica,T,412,0,20.80740291,19.0538835,0,0,0,0,0,0,0
1987,0,0,66,Fagussylvatica,T,412,0,21.19490291,19.26565534,0,0,0,0,0,0,0
1988,0,0,67,Fagussylvatica,T,412,0,21.65242718,19.47259709,0,0,0,0,0,0,0
