Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Wf,Wrc,Wrf,Ws,Wbb,Wres,Lai
1950,0,0,29,Fagussylvatica_LTWR_1,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,1,0,29,Fagussylvatica_LTWR_0_1,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,2,0,29,Fagussylvatica_LTWR_0_2,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,3,0,29,Fagussylvatica_LTWR_0_3,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,4,0,29,Fagussylvatica_LTWR_0_4,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,5,0,29,Fagussylvatica_LTWR_0_5,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,6,0,29,Fagussylvatica_LTWR_0_6,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,7,0,29,Fagussylvatica_LTWR_0_7,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,8,0,29,Fagussylvatica_LTWR_0_8,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1950,9,0,29,Fagussylvatica_LTWR_0_9,T,1326,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1951,0,0,29,Fagussylvatica_LTWR_1,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,1,0,29,Fagussylvatica_LTWR_0_1,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,2,0,29,Fagussylvatica_LTWR_0_2,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,3,0,29,Fagussylvatica_LTWR_0_3,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,4,0,29,Fagussylvatica_LTWR_0_4,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,5,0,29,Fagussylvatica_LTWR_0_5,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,6,0,29,Fagussylvatica_LTWR_0_6,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,7,0,29,Fagussylvatica_LTWR_0_7,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,8,0,29,Fagussylvatica_LTWR_0_8,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1951,9,0,29,Fagussylvatica_LTWR_0_9,T,1162,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1954,0,0,29,Fagussylvatica_LTWR_1,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,1,0,29,Fagussylvatica_LTWR_0_1,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,2,0,29,Fagussylvatica_LTWR_0_2,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,3,0,29,Fagussylvatica_LTWR_0_3,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,4,0,29,Fagussylvatica_LTWR_0_4,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,5,0,29,Fagussylvatica_LTWR_0_5,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,6,0,29,Fagussylvatica_LTWR_0_6,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,7,0,29,Fagussylvatica_LTWR_0_7,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,8,0,29,Fagussylvatica_LTWR_0_8,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1954,9,0,29,Fagussylvatica_LTWR_0_9,T,1023,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1957,0,0,29,Fagussylvatica_LTWR_1,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,1,0,29,Fagussylvatica_LTWR_0_1,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,2,0,29,Fagussylvatica_LTWR_0_2,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,3,0,29,Fagussylvatica_LTWR_0_3,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,4,0,29,Fagussylvatica_LTWR_0_4,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,5,0,29,Fagussylvatica_LTWR_0_5,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,6,0,29,Fagussylvatica_LTWR_0_6,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,7,0,29,Fagussylvatica_LTWR_0_7,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,8,0,29,Fagussylvatica_LTWR_0_8,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1957,9,0,29,Fagussylvatica_LTWR_0_9,T,906,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1960,0,0,29,Fagussylvatica_LTWR_1,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,1,0,29,Fagussylvatica_LTWR_0_1,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,2,0,29,Fagussylvatica_LTWR_0_2,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,3,0,29,Fagussylvatica_LTWR_0_3,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,4,0,29,Fagussylvatica_LTWR_0_4,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,5,0,29,Fagussylvatica_LTWR_0_5,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,6,0,29,Fagussylvatica_LTWR_0_6,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,7,0,29,Fagussylvatica_LTWR_0_7,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,8,0,29,Fagussylvatica_LTWR_0_8,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1960,9,0,29,Fagussylvatica_LTWR_0_9,T,806,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1963,0,0,29,Fagussylvatica_LTWR_1,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,1,0,29,Fagussylvatica_LTWR_0_1,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,2,0,29,Fagussylvatica_LTWR_0_2,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,3,0,29,Fagussylvatica_LTWR_0_3,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,4,0,29,Fagussylvatica_LTWR_0_4,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,5,0,29,Fagussylvatica_LTWR_0_5,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,6,0,29,Fagussylvatica_LTWR_0_6,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,7,0,29,Fagussylvatica_LTWR_0_7,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,8,0,29,Fagussylvatica_LTWR_0_8,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1963,9,0,29,Fagussylvatica_LTWR_0_9,T,723,0,5.961357466,8.814479638,0,0,0,0,0,0,0
//
1966,0,0,29,Fagussylvatica_LTWR_1,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
1966,1,0,29,Fagussylvatica_LTWR_0_1,T,652,0,5.961357466,8.814479638,0,0,0,0,0,0,0
