year	CO2_ppm
1950	310.750
1951	311.100
1952	311.500
1953	311.925
1954	312.425
1955	313.000
1956	313.600
1957	314.225
1958	314.848
1959	315.500
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.140
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.360
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.76
2004	376.813
2005	378.813
2006	361.463
2007	370.468
2008	368.865
2009	376.813
2010	367.348
2011	365.323
2012	363.155
2013	372.523
2014	374.76
2015	378.813
2016	376.813
2017	365.323
2018	368.865
2019	374.76
2020	367.348
2021	363.155
2022	372.523
2023	370.468
2024	361.463
2025	378.813
2026	363.155
2027	372.523
2028	370.468
2029	365.323
2030	368.865
2031	361.463
2032	378.813
2033	376.813
2034	367.348
2035	374.76
2036	372.523
2037	370.468
2038	363.155
2039	374.76
2040	361.463
2041	378.813
2042	368.865
2043	376.813
2044	367.348
2045	365.323
2046	367.348
2047	376.813
2048	361.463
2049	363.155
2050	365.323
2051	372.523
2052	368.865
2053	378.813
2054	370.468
2055	374.76
2056	367.348
2057	374.76
2058	372.523
2059	361.463
2060	376.813
2061	365.323
2062	363.155
2063	368.865
2064	370.468
2065	378.813
2066	376.813
2067	372.523
2068	361.463
2069	365.323
2070	368.865
2071	370.468
2072	363.155
2073	367.348
2074	378.813
2075	374.76
2076	374.76
2077	376.813
2078	363.155
2079	361.463
2080	370.468
2081	368.865
2082	378.813
2083	367.348
2084	372.523
2085	365.323
2086	368.865
2087	372.523
2088	374.76
2089	378.813
2090	370.468
2091	376.813
2092	361.463
2093	367.348
2094	365.323
2095	363.155
2096	376.813
2097	361.463
2098	374.76
2099	378.813
