year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	1.121	2.7	5.6	1.6	78.7	-9999	0.6	-9999	-9999	-9999	-9999
1996	1	2	0.465	2.2	3.2	0.9	81.3	-9999	1.7	-9999	-9999	-9999	-9999
1996	1	3	0.788	1	2.2	0.6	80.2	-9999	1.3	-9999	-9999	-9999	-9999
1996	1	4	0.722	1.4	3.4	0.8	88.4	-9999	1.5	-9999	-9999	-9999	-9999
1996	1	5	0.716	1.5	3.7	0.4	92.6	-9999	0.3	-9999	-9999	-9999	-9999
1996	1	6	0.251	3.1	5.3	0.2	90.9	-9999	1.2	-9999	-9999	-9999	-9999
1996	1	7	0.925	3.5	4.4	3.1	83.7	-9999	1.4	-9999	-9999	-9999	-9999
1996	1	8	0.446	4.3	7.8	3.3	89.2	-9999	2.8	-9999	-9999	-9999	-9999
1996	1	9	0.758	4.8	7.6	2.9	83.9	-9999	1.6	-9999	-9999	-9999	-9999
1996	1	10	0.392	3.4	4	3.1	87.2	-9999	2.1	-9999	-9999	-9999	-9999
1996	1	11	0.834	2.8	4.4	0.9	83.5	-9999	1.2	-9999	-9999	-9999	-9999
1996	1	12	0.745	1.3	3.4	0.6	82.8	-9999	1.5	-9999	-9999	-9999	-9999
1996	1	13	0.471	2.9	4.1	1.4	89.7	-9999	2.4	-9999	-9999	-9999	-9999
1996	1	14	0.249	3.2	3.8	2.9	91	-9999	2.6	-9999	-9999	-9999	-9999
1996	1	15	0.329	3.2	4.2	1.7	91.1	-9999	1.4	-9999	-9999	-9999	-9999
1996	1	16	1.117	1.5	3.7	0.4	82.1	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	17	1.333	0.3	1.9	-0.8	84.9	-9999	0.9	-9999	-9999	-9999	-9999
1996	1	18	0.418	0.7	3.6	-1.1	91.3	-9999	2.3	-9999	-9999	-9999	-9999
1996	1	19	0.975	1.8	2.6	0.9	91.4	-9999	1	-9999	-9999	-9999	-9999
1996	1	20	0.474	1.6	2.9	0.8	92.3	-9999	1.7	-9999	-9999	-9999	-9999
1996	1	21	0.507	1.6	3.2	-1	93.7	-9999	1.3	-9999	-9999	-9999	-9999
1996	1	22	1.824	-1.6	2.1	-3.3	93.1	-9999	0.6	-9999	-9999	-9999	-9999
1996	1	23	0.586	-0.2	1.1	-2.4	93.9	-9999	2.3	-9999	-9999	-9999	-9999
1996	1	24	1.015	0.4	1.4	-0.4	93.5	-9999	0.8	-9999	-9999	-9999	-9999
1996	1	25	1.581	-0.6	0.6	-1.6	90.8	-9999	0.6	-9999	-9999	-9999	-9999
1996	1	26	1.944	-1.7	-0.1	-3	92	-9999	0.6	-9999	-9999	-9999	-9999
1996	1	27	2.462	-2.8	-1.5	-3.7	92.5	-9999	0.5	-9999	-9999	-9999	-9999
1996	1	28	0.952	-1.6	0.6	-2.9	93.8	-9999	1.3	-9999	-9999	-9999	-9999
1996	1	29	0.969	1.3	5.2	-1.5	93.3	-9999	2.3	-9999	-9999	-9999	-9999
1996	1	30	2.056	4.3	6.2	2.7	87.5	-9999	3.7	-9999	-9999	-9999	-9999
1996	1	31	1.735	4.9	6	4.3	83	-9999	0.8	-9999	-9999	-9999	-9999
1996	2	1	1.742	4.2	5	3.6	87.6	-9999	0.6	-9999	-9999	-9999	-9999
1996	2	2	0.713	3.4	4.1	3	89	-9999	2	-9999	-9999	-9999	-9999
1996	2	3	0.675	2.1	4.3	0.6	89.8	-9999	2.9	-9999	-9999	-9999	-9999
1996	2	4	1.878	0.1	1.7	-0.8	90.7	-9999	0.6	-9999	-9999	-9999	-9999
1996	2	5	2.38	-0.6	0.6	-1.7	87.6	-9999	0.7	-9999	-9999	-9999	-9999
1996	2	6	2.997	-2.8	-0.2	-4.8	93.5	-9999	0.5	-9999	-9999	-9999	-9999
1996	2	7	4.22	-5.2	-3.4	-6.1	95.2	-9999	0.4	-9999	-9999	-9999	-9999
1996	2	8	3.172	-3.3	1.8	-6.1	94.7	-9999	0.7	-9999	-9999	-9999	-9999
1996	2	9	1.261	0.2	1.5	-0.7	94.7	-9999	1.3	-9999	-9999	-9999	-9999
1996	2	10	2.803	0.1	0.8	-0.4	90.4	-9999	0.5	-9999	-9999	-9999	-9999
1996	2	11	0.711	0.7	1.5	0	94	-9999	2.9	-9999	-9999	-9999	-9999
1996	2	12	2.548	0	1.9	-1.6	94.1	-9999	0.8	-9999	-9999	-9999	-9999
1996	2	13	3.869	-2.1	-0.9	-2.7	93.8	-9999	0.7	-9999	-9999	-9999	-9999
1996	2	14	4.294	-2.2	0.2	-3.1	93.7	-9999	0.5	-9999	-9999	-9999	-9999
1996	2	15	1.381	2.3	5	-1	92.3	-9999	2.4	-9999	-9999	-9999	-9999
1996	2	16	4.745	3.3	4.9	1.5	91.7	-9999	0.7	-9999	-9999	-9999	-9999
1996	2	17	1.124	5.8	8.4	3.9	93.6	-9999	2	-9999	-9999	-9999	-9999
1996	2	18	7.929	3.3	8	1.3	78.4	-9999	0	-9999	-9999	-9999	-9999
1996	2	19	7.676	2.9	7	0.2	83.5	-9999	0	-9999	-9999	-9999	-9999
1996	2	20	2.015	5.2	7.1	3.8	90.6	-9999	0.4	-9999	-9999	-9999	-9999
1996	2	21	1.873	6.2	7.2	4.9	88.3	-9999	1.1	-9999	-9999	-9999	-9999
1996	2	22	4.675	3.9	5.9	2.2	79.4	-9999	0.5	-9999	-9999	-9999	-9999
1996	2	23	3.942	1.6	3	0.9	79.4	-9999	0.4	-9999	-9999	-9999	-9999
1996	2	24	3.134	2	3.7	1.3	86.8	-9999	0.6	-9999	-9999	-9999	-9999
1996	2	25	0.808	4.5	6	2.5	88.6	-9999	2.6	-9999	-9999	-9999	-9999
1996	2	26	2.567	4.8	5.7	3.8	83.6	-9999	2.3	-9999	-9999	-9999	-9999
1996	2	27	3.644	3.2	4.8	1.9	79.1	-9999	0.9	-9999	-9999	-9999	-9999
1996	2	28	1.924	3.2	5.9	1.6	83.5	-9999	2.6	-9999	-9999	-9999	-9999
1996	2	29	2.19	3.5	5.4	2.1	82.9	-9999	2.3	-9999	-9999	-9999	-9999
1996	3	1	2.496	4.6	5.6	3.4	82.4	-9999	3.2	-9999	-9999	-9999	-9999
1996	3	2	6.153	2	5.4	-0.2	78.2	-9999	0	-9999	-9999	-9999	-9999
1996	3	3	3.268	2.2	6.5	-0.4	81.4	-9999	0	-9999	-9999	-9999	-9999
1996	3	4	2.945	5.7	7.3	3.8	90.1	-9999	0	-9999	-9999	-9999	-9999
1996	3	5	4.974	6.4	8.1	5.5	84.4	-9999	0	-9999	-9999	-9999	-9999
1996	3	6	6.705	7	9.5	5.7	81.1	-9999	0	-9999	-9999	-9999	-9999
1996	3	7	4.932	6.2	9.6	4.1	83.3	-9999	0	-9999	-9999	-9999	-9999
1996	3	8	6.351	8.2	9.7	7.5	81.2	-9999	0	-9999	-9999	-9999	-9999
1996	3	9	2.088	7.8	9.2	5.3	82.9	-9999	4.2	-9999	-9999	-9999	-9999
1996	3	10	7.356	3.6	9	0.5	70.9	-9999	0	-9999	-9999	-9999	-9999
1996	3	11	12.771	1	3.3	-0.2	57.4	-9999	0	-9999	-9999	-9999	-9999
1996	3	12	1.666	2.7	8.9	-0.6	87.8	-9999	6.3	-9999	-9999	-9999	-9999
1996	3	13	6.724	6.7	9.3	4.5	86.2	-9999	3.3	-9999	-9999	-9999	-9999
1996	3	14	2.024	7.2	7.7	6.8	88.6	-9999	5.9	-9999	-9999	-9999	-9999
1996	3	15	5.068	8.1	10.4	6.8	84	-9999	1.7	-9999	-9999	-9999	-9999
1996	3	16	3.033	7.5	8.6	6.8	89.6	-9999	4.1	-9999	-9999	-9999	-9999
1996	3	17	3.409	8.1	9.7	6.7	88.2	-9999	3.9	-9999	-9999	-9999	-9999
1996	3	18	5.359	5.9	9.2	3.8	80.4	-9999	0	-9999	-9999	-9999	-9999
1996	3	19	2.284	5.5	8.6	3.7	84.4	-9999	7.3	-9999	-9999	-9999	-9999
1996	3	20	4.192	6.3	8.1	5	84.4	-9999	2.3	-9999	-9999	-9999	-9999
1996	3	21	3	6.1	7.6	4.9	81.8	-9999	6.6	-9999	-9999	-9999	-9999
1996	3	22	5.534	6.1	7.6	4.9	78.5	-9999	1.5	-9999	-9999	-9999	-9999
1996	3	23	5.129	5.9	9.2	4.1	82.3	-9999	5.4	-9999	-9999	-9999	-9999
1996	3	24	6.23	6.7	9	4.3	80.5	-9999	3.6	-9999	-9999	-9999	-9999
1996	3	25	7.313	5.8	7.5	4.7	77.9	-9999	2.7	-9999	-9999	-9999	-9999
1996	3	26	4.27	6	7.6	5	83.3	-9999	5.9	-9999	-9999	-9999	-9999
1996	3	27	4.706	4.8	6.2	3.4	80.9	-9999	2.1	-9999	-9999	-9999	-9999
1996	3	28	10.695	3.9	6.6	2.6	70	-9999	0	-9999	-9999	-9999	-9999
1996	3	29	7.466	3.9	6.1	2.2	78.2	-9999	0	-9999	-9999	-9999	-9999
1996	3	30	12.919	4.1	7.1	2.3	70.3	-9999	0	-9999	-9999	-9999	-9999
1996	3	31	17.506	3.6	7.6	1.3	66.5	-9999	0	-9999	-9999	-9999	-9999
1996	4	1	16.146	3.6	7.7	1	66.8	-9999	0	-9999	-9999	-9999	-9999
1996	4	2	6.919	4.7	7.9	1.3	64.5	-9999	1.7	-9999	-9999	-9999	-9999
1996	4	3	5.525	6.1	8.1	5.1	82.8	-9999	4.2	-9999	-9999	-9999	-9999
1996	4	4	8.085	5.2	6.4	4.5	76.6	-9999	0	-9999	-9999	-9999	-9999
1996	4	5	5.988	5.9	7.8	4.2	80.4	-9999	1.7	-9999	-9999	-9999	-9999
1996	4	6	9.402	5.2	7.5	3.4	76.1	-9999	2.5	-9999	-9999	-9999	-9999
1996	4	7	14.44	4	6.7	2.2	66.2	-9999	0	-9999	-9999	-9999	-9999
1996	4	8	15.482	3.7	6.9	1	67.2	-9999	0	-9999	-9999	-9999	-9999
1996	4	9	10.525	6.9	11.4	3.1	65.2	-9999	0	-9999	-9999	-9999	-9999
1996	4	10	9.691	7.8	9.1	7	77.8	-9999	0	-9999	-9999	-9999	-9999
1996	4	11	13.781	5.9	8.8	3.2	68.5	-9999	0	-9999	-9999	-9999	-9999
1996	4	12	14.384	4.3	7.2	2.7	65.7	-9999	0	-9999	-9999	-9999	-9999
