year	CO2_ppm
2006	380.8275
2007	382.7775
2008	384.8
2009	387.00054
2010	389.28521
2011	391.56252
2012	393.84273
2013	396.11734
2014	398.39568
2015	400.68068
2016	402.9683
2017	405.25182
2018	407.52882
2019	409.80029
2020	412.06783
2021	414.32565
2022	416.51662
2023	418.60322
2024	420.60132
2025	422.51575
2026	424.34901
2027	426.09675
2028	427.75232
2029	429.31381
2030	430.78315
2031	432.16344
2032	433.43618
2033	434.59273
2034	435.65302
2035	436.62804
2036	437.52158
2037	438.33433
2038	439.06015
2039	439.69061
2040	440.2224
2041	440.65666
2042	441.02476
2043	441.34651
2044	441.621
2045	441.8644
2046	442.08482
2047	442.2834
2048	442.4583
2049	442.60091
2050	442.70046
2051	442.75184
2052	442.761
2053	442.73417
2054	442.66263
2055	442.54767
2056	442.40642
2057	442.24833
2058	442.07535
2059	441.88625
2060	441.67274
2061	441.42415
2062	441.1345
2063	440.80284
2064	440.43041
2065	440.01021
2066	439.54473
2067	439.05222
2068	438.54291
2069	438.01932
2070	437.48062
2071	436.91878
2072	436.34251
2073	435.76436
2074	435.18189
2075	434.595
2076	433.99542
2077	433.38456
2078	432.77961
2079	432.18978
2080	431.61659
2081	431.05847
2082	430.51026
2083	429.96413
2084	429.41411
2085	428.85906
2086	428.2991
2087	427.72652
2088	427.14308
2089	426.56607
2090	426.00472
2091	425.46065
2092	424.93745
2093	424.43129
2094	423.93083
2095	423.43058
2096	422.92945
2097	422.42761
2098	421.91753
2099	421.40111
2100	420.89546
2101	420.40998
2102	419.94532
2103	419.49831
2104	419.05981
2105	418.61902
2106	418.17082
2107	417.71454
2108	417.2507
2109	416.77219
2110	416.28127
2111	415.79518
2112	415.32319
2113	414.86696
2114	414.42496
2115	413.98893
2116	413.54867
2117	413.09942
2118	412.64076
2119	412.17338
2120	411.69045
2121	411.19435
2122	410.70228
2123	410.22339
2124	409.7593
2125	409.30847
2126	408.8627
2127	408.41656
2128	407.96956
2129	407.52073
2130	407.07051
2131	406.61189
2132	406.14707
2133	405.69286
2134	405.25809
2135	404.84413
2136	404.44922
2137	404.06507
2138	403.68161
2139	403.29415
2140	402.90226
2141	402.50662
2142	402.10056
2143	401.68653
2144	401.28131
2145	400.89375
2146	400.52523
2147	400.17404
2148	399.83204
2149	399.4893
2150	399.14131
2151	398.78772
2152	398.42927
2153	398.0595
2154	397.68091
2155	397.31021
2156	396.95616
2157	396.62009
2158	396.3003
2159	395.98871
2160	395.67554
2161	395.35634
2162	395.03085
2163	394.69985
2164	394.357
2165	394.00489
2166	393.6601
2167	393.33128
2168	393.01974
2169	392.72374
2170	392.43525
2171	392.1446
2172	391.84744
2173	391.54354
2174	391.2337
2175	390.91172
2176	390.58024
2177	390.25571
2178	389.94668
2179	389.65441
2180	389.37713
2181	389.10687
2182	388.83404
2183	388.55437
2184	388.26765
2185	387.97473
2186	387.6695
2187	387.35465
2188	387.04651
2189	386.75353
2190	386.47692
2191	386.21487
2192	385.95946
2193	385.70118
2194	385.43582
2195	385.16322
2196	384.88424
2197	384.59286
2198	384.29183
2199	383.99735
2200	383.71778
2201	383.45425
2202	383.20495
2203	382.96197
2204	382.71591
2205	382.4626
2206	382.20191
2207	381.93471
2208	381.6551
2209	381.36585
2210	381.08304
2211	380.81494
2212	380.56263
2213	380.32426
2214	380.09195
2215	379.85638
2216	379.61345
2217	379.36304
2218	379.10604
2219	378.83665
2220	378.55765
2221	378.28503
2222	378.02696
2223	377.78445
2224	377.55563
2225	377.33266
2226	377.10629
2227	376.87246
2228	376.63109
2229	376.38308
2230	376.12271
2231	375.85281
2232	375.58923
2233	375.34006
2234	375.10628
2235	374.88595
2236	374.67128
2237	374.4531
2238	374.22739
2239	373.9941
2240	373.75412
2241	373.50184
2242	373.24011
2243	372.98467
2244	372.74353
2245	372.51759
2246	372.30492
2247	372.09773
2248	371.88692
2249	371.66854
2250	371.44254
2251	371.20984
2252	370.96489
2253	370.71059
2254	370.46256
2255	370.22872
2256	370.00993
2257	369.80422
2258	369.60385
2259	369.39976
2260	369.18806
2261	368.96871
2262	368.74266
2263	368.50442
2264	368.25693
2265	368.0157
2266	367.78857
2267	367.57635
2268	367.37703
2269	367.1829
2270	366.98498
2271	366.77941
2272	366.56619
2273	366.34625
2274	366.11421
2275	365.873
2276	365.63806
2277	365.41713
2278	365.21098
2279	365.01757
2280	364.82921
2281	364.63699
2282	364.4371
2283	364.22954
2284	364.01526
2285	363.78896
2286	363.5536
2287	363.32451
2288	363.10935
2289	362.90884
2290	362.72091
2291	362.53791
2292	362.35099
2293	362.15637
2294	361.95408
2295	361.74508
2296	361.52413
2297	361.29423
2298	361.0706
2299	360.86083
2300	360.66558
2301	360.48278
2302	360.30479
2303	360.12281
2304	359.93311
2305	359.73574
2306	359.53167
2307	359.31573
2308	359.09095
2309	358.87244
2310	358.66772
2311	358.47742
2312	358.29942
2313	358.12611
2314	357.94876
2315	357.76367
2316	357.57092
2317	357.37148
2318	357.16025
2319	356.94027
2320	356.72659
2321	356.52662
2322	356.34097
2323	356.16748
2324	355.99857
2325	355.82557
2326	355.64482
2327	355.45642
2328	355.26133
2329	355.05453
2330	354.8391
2331	354.62997
2332	354.43449
2333	354.25322
2334	354.08399
2335	353.91923
2336	353.75033
2337	353.57367
2338	353.38936
2339	353.19838
2340	352.99578
2341	352.78464
2342	352.57981
2343	352.38859
2344	352.21147
2345	352.04626
