Year	CO2_ppm
1996	368.865
1997	368.865
1998	368.865
1999	368.865
2000	368.865
2001	368.865
2002	368.865
2003	368.865
2004	368.865
2005	368.865
2006	368.865
2007	368.865
2008	368.865
2009	368.865
2010	368.865
2011	368.865
2012	368.865
2013	368.865
2014	368.865
2015	368.865
2016	368.865
2017	368.865
2018	368.865
2019	368.865
2020	368.865
2021	368.865
2022	368.865
2023	368.865
2024	368.865
2025	368.865
2026	368.865
2027	368.865
2028	368.865
2029	368.865
2030	368.865
2031	368.865
2032	368.865
2033	368.865
2034	368.865
2035	368.865
2036	368.865
2037	368.865
2038	368.865
2039	368.865
2040	368.865
2041	368.865
2042	368.865
2043	368.865
2044	368.865
2045	368.865
2046	368.865
2047	368.865
2048	368.865
2049	368.865
2050	368.865
2051	368.865
2052	368.865
2053	368.865
2054	368.865
2055	368.865
2056	368.865
2057	368.865
2058	368.865
2059	368.865
2060	368.865
2061	368.865
2062	368.865
2063	368.865
2064	368.865
2065	368.865
2066	368.865
2067	368.865
2068	368.865
2069	368.865
2070	368.865
2071	368.865
2072	368.865
2073	368.865
2074	368.865
2075	368.865
2076	368.865
2077	368.865
2078	368.865
2079	368.865
2080	368.865
2081	368.865
2082	368.865
2083	368.865
2084	368.865
2085	368.865
2086	368.865
2087	368.865
2088	368.865
2089	368.865
2090	368.865
2091	368.865
2092	368.865
2093	368.865
2094	368.865
2095	368.865
2096	368.865
2097	368.865
2098	368.865
2099	368.865
