year	CO2_ppm
1950	310.75
1951	311.1
1952	311.5
1953	311.925
1954	312.425
1955	313
1956	313.6
1957	314.225
1958	314.848
1959	315.5
1960	316.273
1961	317.075
1962	317.795
1963	318.398
1964	318.925
1965	319.648
1966	320.648
1967	321.605
1968	322.635
1969	323.903
1970	324.985
1971	325.855
1972	327.14
1973	328.678
1974	329.743
1975	330.585
1976	331.748
1977	333.273
1978	334.848
1979	336.525
1980	338.36
1981	339.728
1982	340.793
1983	342.198
1984	343.783
1985	345.283
1986	346.798
1987	348.645
1988	350.738
1989	352.488
1990	353.855
1991	355.018
1992	355.885
1993	356.778
1994	358.128
1995	359.838
1996	361.463
1997	363.155
1998	365.323
1999	367.348
2000	368.865
2001	370.468
2002	372.523
2003	374.76
2004	376.813
2005	378.813
2006	361.463
2007	363.155
2008	365.323
2009	367.348
2010	368.865
2011	370.468
2012	372.523
2013	374.76
2014	376.813
2015	378.813
2016	361.463
2017	363.155
2018	365.323
2019	367.348
2020	368.865
2021	370.468
2022	372.523
2023	374.76
2024	376.813
2025	378.813
2026	361.463
2027	363.155
2028	365.323
2029	367.348
2030	368.865
2031	370.468
2032	372.523
2033	374.76
2034	376.813
2035	378.813
2036	361.463
2037	363.155
2038	365.323
2039	367.348
2040	368.865
2041	370.468
2042	372.523
2043	374.76
2044	376.813
2045	378.813
2046	361.463
2047	363.155
2048	365.323
2049	367.348
2050	368.865
2051	370.468
2052	372.523
2053	374.76
2054	376.813
2055	378.813
2056	361.463
2057	363.155
2058	365.323
2059	367.348
2060	368.865
2061	370.468
2062	372.523
2063	374.76
2064	376.813
2065	378.813
2066	361.463
2067	363.155
2068	365.323
2069	367.348
2070	368.865
2071	370.468
2072	372.523
2073	374.76
2074	376.813
2075	378.813
2076	361.463
2077	363.155
2078	365.323
2079	367.348
2080	368.865
2081	370.468
2082	372.523
2083	374.76
2084	376.813
2085	378.813
2086	361.463
2087	363.155
2088	365.323
2089	367.348
2090	368.865
2091	370.468
2092	372.523
2093	374.76
2094	376.813
2095	378.813
2096	361.463
2097	363.155
2098	365.323
2099	367.348
