year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1960	1	1	1.363	1.5	3.1	0.2	79.1	-9999	0.8	-9999	-9999	-9999	-9999
1960	1	2	0.551	0.3	2.8	-1.8	90.0	-9999	3.5	-9999	-9999	-9999	-9999
1960	1	3	0.700	1.5	2.2	1.1	87.1	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	4	0.558	1.3	1.9	0.8	89.7	-9999	1.2	-9999	-9999	-9999	-9999
1960	1	5	0.790	0.9	2.0	0.4	88.1	-9999	0.6	-9999	-9999	-9999	-9999
1960	1	6	0.813	1.1	2.1	0.5	91.4	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	7	0.592	1.1	1.9	0.6	94.1	-9999	0.4	-9999	-9999	-9999	-9999
1960	1	8	0.626	1.7	4.4	0.4	92.6	-9999	1.8	-9999	-9999	-9999	-9999
1960	1	9	1.363	2.7	4.5	1.0	90.0	-9999	0.1	-9999	-9999	-9999	-9999
1960	1	10	1.119	0.9	2.2	0.0	94.3	-9999	0.2	-9999	-9999	-9999	-9999
1960	1	11	0.391	2.0	3.1	0.9	97.2	-9999	1.5	-9999	-9999	-9999	-9999
1960	1	12	0.478	1.1	2.7	0.2	94.7	-9999	0.8	-9999	-9999	-9999	-9999
1960	1	13	0.324	1.4	2.5	0.3	95.0	-9999	3.9	-9999	-9999	-9999	-9999
1960	1	14	0.468	0.3	2.9	-1.3	89.8	-9999	0.7	-9999	-9999	-9999	-9999
1960	1	15	0.637	-1.6	-0.8	-1.9	83.8	-9999	0.3	-9999	-9999	-9999	-9999
1960	1	16	0.401	-0.9	-0.2	-1.5	89.4	-9999	2.7	-9999	-9999	-9999	-9999
1960	1	17	0.828	-2.6	0.3	-5.0	82.7	-9999	0.8	-9999	-9999	-9999	-9999
1960	1	18	2.490	-5.6	-4.0	-6.6	70.1	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	19	2.535	-6.9	-5.7	-7.8	67.5	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	20	2.551	-7.2	-5.0	-8.3	66.2	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	21	2.742	-6.8	-4.1	-7.9	72.6	-9999	0.0	-9999	-9999	-9999	-9999
1960	1	22	2.905	-6.6	-3.4	-8.2	81.6	-9999	0.0	-9999	-9999	-9999	-9999
