year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	1.121	2.700	5.600	1.600	78.700	-9999.000	0.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	2	0.465	2.200	3.200	0.900	81.300	-9999.000	1.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	3	0.788	1.000	2.200	0.600	80.200	-9999.000	1.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	4	0.722	1.400	3.400	0.800	88.400	-9999.000	1.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	5	0.716	1.500	3.700	0.400	92.600	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	6	0.251	3.100	5.300	0.200	90.900	-9999.000	1.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	7	0.925	3.500	4.400	3.100	83.700	-9999.000	1.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	8	0.446	4.300	7.800	3.300	89.200	-9999.000	2.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	9	0.758	4.800	7.600	2.900	83.900	-9999.000	1.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	10	0.392	3.400	4.000	3.100	87.200	-9999.000	2.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	11	0.834	2.800	4.400	0.900	83.500	-9999.000	1.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	12	0.745	1.300	3.400	0.600	82.800	-9999.000	1.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	13	0.471	2.900	4.100	1.400	89.700	-9999.000	2.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	14	0.249	3.200	3.800	2.900	91.000	-9999.000	2.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	15	0.329	3.200	4.200	1.700	91.100	-9999.000	1.400	-9999.000	-9999.000	-9999.000	-9999.000
