year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1996	1	1	0.553	1.700	3.900	1.000	94.000	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	2	0.727	1.800	4.100	0.800	90.100	-9999.000	2.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	3	0.572	2.300	3.300	1.200	87.600	-9999.000	0.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	4	0.438	1.300	1.800	1.000	85.500	-9999.000	0.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	5	0.583	0.800	1.700	0.300	85.800	-9999.000	0.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	6	0.799	1.300	2.500	0.300	88.900	-9999.000	0.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	7	1.079	0.300	2.100	-1.200	87.500	-9999.000	2.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	8	1.064	1.000	3.100	-0.700	88.800	-9999.000	0.900	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	9	0.574	1.400	3.000	0.700	90.600	-9999.000	1.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	10	1.063	1.400	2.900	0.800	92.000	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	11	0.680	0.800	2.700	-0.100	91.600	-9999.000	2.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	12	0.746	1.800	2.400	1.300	89.300	-9999.000	0.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	13	0.884	1.300	2.700	0.100	91.700	-9999.000	2.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	14	1.127	-0.100	1.600	-1.300	91.300	-9999.000	3.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	15	1.063	1.500	2.300	0.500	89.500	-9999.000	1.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	16	0.481	2.100	3.500	1.200	90.800	-9999.000	1.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	17	0.842	2.300	4.700	1.100	93.300	-9999.000	2.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	18	1.482	3.100	4.300	2.400	90.000	-9999.000	2.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	19	1.416	2.100	3.200	1.300	91.000	-9999.000	2.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	20	0.757	2.800	3.700	1.900	90.500	-9999.000	1.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	21	1.021	1.600	3.500	-1.500	86.000	-9999.000	0.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	22	1.155	-1.400	-0.100	-2.400	90.200	-9999.000	1.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	23	2.939	-1.800	0.200	-3.200	82.900	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	24	2.763	0.200	4.800	-1.700	87.600	-9999.000	3.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	25	1.044	3.700	5.100	1.800	88.600	-9999.000	3.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	26	0.224	3.700	7.300	2.000	84.700	-9999.000	7.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	27	1.005	2.700	3.900	1.900	75.800	-9999.000	4.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	28	2.852	3.200	5.400	1.500	81.700	-9999.000	3.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	29	2.131	3.900	5.500	2.700	88.100	-9999.000	2.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	30	2.559	1.700	4.500	-0.300	88.700	-9999.000	0.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	1	31	1.943	0.900	3.500	-0.600	92.300	-9999.000	0.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	1	3.194	0.000	2.500	-1.700	87.800	-9999.000	0.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	2	4.478	-1.100	3.300	-2.300	85.200	-9999.000	0.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	3	0.886	1.000	4.000	-1.700	91.000	-9999.000	4.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	4	2.502	1.800	3.100	0.600	85.800	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	5	2.239	1.100	2.300	0.200	85.200	-9999.000	0.400	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	6	5.250	0.400	3.400	-1.700	76.100	-9999.000	0.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	7	1.335	1.800	4.400	-0.800	90.200	-9999.000	4.100	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	8	3.353	1.900	4.200	0.700	81.900	-9999.000	3.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	9	2.163	1.300	3.100	-0.100	80.400	-9999.000	0.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	10	1.196	1.700	4.200	-0.500	90.500	-9999.000	2.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	11	3.165	1.500	2.800	0.900	83.500	-9999.000	1.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	12	4.410	1.900	5.900	0.600	79.300	-9999.000	5.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	13	4.135	4.500	7.600	1.800	69.100	-9999.000	0.900	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	14	5.943	0.700	4.200	-2.100	70.800	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	15	6.001	0.000	4.300	-2.400	81.700	-9999.000	0.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	16	1.628	2.500	4.200	0.700	93.900	-9999.000	1.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	17	4.817	2.400	5.500	0.900	86.500	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	18	1.961	3.100	4.500	2.100	91.400	-9999.000	0.900	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	19	4.345	3.600	5.900	2.700	88.400	-9999.000	0.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	20	2.703	4.200	5.500	3.000	86.100	-9999.000	1.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	21	5.061	4.400	6.100	3.100	77.000	-9999.000	1.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	22	3.520	3.700	5.300	2.900	78.500	-9999.000	1.900	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	23	0.538	6.400	7.900	4.000	89.300	-9999.000	7.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	24	6.880	3.600	7.400	1.100	71.100	-9999.000	0.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	25	4.826	1.900	4.000	0.500	81.300	-9999.000	0.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	26	4.662	2.700	5.600	0.700	86.500	-9999.000	0.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	27	5.419	1.700	4.700	0.100	89.900	-9999.000	0.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	28	4.166	2.200	4.600	0.800	88.200	-9999.000	0.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	2	29	4.709	2.200	4.300	0.900	82.500	-9999.000	0.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	1	5.672	2.300	4.200	1.100	76.700	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	2	8.285	0.800	4.300	-1.800	73.600	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	3	4.817	2.200	6.500	-1.500	85.400	-9999.000	2.300	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	4	7.882	1.900	4.300	0.100	78.100	-9999.000	1.800	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	5	1.633	4.900	5.800	2.800	95.000	-9999.000	4.900	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	6	7.525	4.200	5.600	2.900	79.100	-9999.000	2.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	7	9.111	4.600	8.200	2.000	73.300	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	8	9.731	5.300	8.000	2.500	76.600	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	9	4.603	6.000	11.700	2.800	79.900	-9999.000	5.500	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	10	7.717	4.700	6.500	3.100	80.200	-9999.000	5.200	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	11	1.924	5.000	6.300	3.400	90.000	-9999.000	7.700	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	12	3.195	0.800	4.100	-0.500	83.900	-9999.000	4.600	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	13	6.632	-0.900	0.600	-1.800	74.900	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
1996	3	14	10.543	0.000	4.200	-2.100	73.300	-9999.000	0.000	-9999.000	-9999.000	-9999.000	-9999.000
