Year	x	y	Age	Species	Management	N	Stool	AvDBH	Height	Wf	Wrc	Wrf	Ws	Wbb	Wres	Lai
1944	0	0	23	Fagussylvatica	T	1767	0	3.62	6.67	0	0	0	0	0	0	0
1945	0	0	24	Fagussylvatica	T	1525	0	4.04	7.03	0	0	0	0	0	0	0
1946	0	0	25	Fagussylvatica	T	1525	0	4.46	7.39	0	0	0	0	0	0	0
1947	0	0	26	Fagussylvatica	T	1525	0	4.82	7.75	0	0	0	0	0	0	0
1948	0	0	27	Fagussylvatica	T	1326	0	5.13	8.11	0	0	0	0	0	0	0
1949	0	0	28	Fagussylvatica	T	1326	0	5.54	8.46	0	0	0	0	0	0	0
1950	0	0	29	Fagussylvatica	T	1326	0	5.96	8.81	0	0	0	0	0	0	0
1951	0	0	30	Fagussylvatica	T	1162	0	6.40	9.17	0	0	0	0	0	0	0
1952	0	0	31	Fagussylvatica	T	1162	0	6.78	9.52	0	0	0	0	0	0	0
1953	0	0	32	Fagussylvatica	T	1162	0	7.17	9.86	0	0	0	0	0	0	0
1954	0	0	33	Fagussylvatica	T	1023	0	7.55	10.20	0	0	0	0	0	0	0
1955	0	0	34	Fagussylvatica	T	1023	0	7.93	10.54	0	0	0	0	0	0	0
1956	0	0	35	Fagussylvatica	T	1023	0	8.23	10.87	0	0	0	0	0	0	0
1957	0	0	36	Fagussylvatica	T	906	0	8.59	11.21	0	0	0	0	0	0	0
1958	0	0	37	Fagussylvatica	T	906	0	8.94	11.53	0	0	0	0	0	0	0
1959	0	0	38	Fagussylvatica	T	906	0	9.27	11.85	0	0	0	0	0	0	0
1960	0	0	39	Fagussylvatica	T	806	0	9.61	12.18	0	0	0	0	0	0	0
1961	0	0	40	Fagussylvatica	T	806	0	10.01	12.49	0	0	0	0	0	0	0
1962	0	0	41	Fagussylvatica	T	806	0	10.40	12.80	0	0	0	0	0	0	0
1963	0	0	42	Fagussylvatica	T	723	0	10.84	13.12	0	0	0	0	0	0	0
