Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	Litterfall
1	1	0.926859	-3.06086	-0.551	-4.021	0.136846	0.855063	2.9	35.5771	-9999	0.252542	-9999
1	2	1.3356	-4.19024	-3.36433	-5.37767	0.175139	0.527903	5.8	33.8014	-9999	0.198893	-9999
1	3	1.95184	-3.89274	-2.12767	-6.32767	0.196248	0.546819	2.6	33.1417	-9999	0.289025	-9999
1	4	0.518484	-5.77142	-4.24767	-8.08433	0.22362	0.596778	0.4	32.4708	-9999	0.0604441	-9999
1	5	2.11242	-7.13621	-3.731	-9.13767	0.326111	0.219618	0.1	32.6576	-9999	0.39241	-9999
1	6	0.69639	-7.55906	-6.74767	-8.011	0.304169	-0.0743402	0.5	32.2312	-9999	0.180179	-9999
1	7	1.34809	-8.0753	-6.67433	-8.92433	0.35423	-0.368146	0	31.8889	-9999	0.243543	-9999
1	8	0.897617	-6.71906	-5.77433	-8.281	0.325162	-0.414125	7.2	31.2229	-9999	0.119213	-9999
1	9	0.832635	-5.46767	-4.991	-6.36767	0.202117	-0.148757	6.8	30.6076	-9999	0.0349125	-9999
1	10	0.570397	-4.95593	-4.05767	-6.60767	0.18658	-0.0759097	4.8	30.225	-9999	0.0153358	-9999
1	11	0.53444	-6.94301	-6.52433	-7.40767	0.221528	-0.0236597	0.9	30.5451	-9999	0.0489228	-9999
1	12	2.26975	-6.56899	-4.96767	-8.06767	0.254059	0.148	0	30.6007	-9999	0.155554	-9999
1	13	1.43271	-4.32204	-2.401	-6.62433	0.270215	0.245208	0	30.025	-9999	0.181949	-9999
1	14	0.925127	-3.22815	-2.611	-3.73767	0.424398	0.392583	0	29.7194	-9999	0.239551	-9999
1	15	0.666209	-1.96579	-1.64433	-2.551	0.789795	0.526854	0	30.0215	-9999	0.335527	-9999
1	16	3.31451	-2.51473	-1.251	-5.29544	0.721501	0.658201	0	30.3264	-9999	0.485935	-9999
1	17	1.53061	-2.21564	0.882	-4.75014	0.730202	0.756417	3.2	30.2618	-9999	0.351887	-9999
1	18	1.21458	-4.47214	-3.29263	-4.75306	0.402737	0.876785	0.6	33.866	-9999	0.063858	-9999
1	19	1.60794	0.828916	1.47433	0.382666	0.224837	0.939715	2.8	37.8882	-9999	0.00807183	-9999
1	20	1.72267	-1.21482	0.439333	-5.59767	0.140428	0.947465	0.1	37.5938	-9999	0.184098	-9999
1	21	0.715596	-7.72739	-5.631	-9.571	0.221104	0.590181	0.2	35.9111	-9999	0.110597	-9999
1	22	1.68469	-7.93551	-6.33433	-9.23433	0.267953	0.119507	0	34.3882	-9999	0.0950821	-9999
1	23	4.35849	-7.61072	-5.411	-9.76433	0.442201	-0.227514	0	33.291	-9999	0.398351	-9999
1	24	4.50376	-6.78294	-4.881	-8.81767	0.602995	-0.390201	0	32.4	-9999	0.246274	-9999
1	25	3.64332	-6.6826	-5.67767	-7.78433	0.705232	-0.443236	0	31.7701	-9999	0.0538425	-9999
1	26	6.61047	-10.1107	-6.441	-14.0977	0.441037	-0.801021	0	31.8458	-9999	0.0465477	-9999
1	27	4.58886	-8.70489	-3.82433	-14.3977	1.3897	-1.90128	1.2	31.1528	-9999	0.335173	-9999
1	28	2.03516	-1.9244	-0.507667	-4.77433	0.338634	-0.744973	5	30.2104	-9999	0.318169	-9999
1	29	3.04051	-0.752646	0.386666	-1.91767	0.672801	-0.271625	2.1	30.0972	-9999	0.443931	-9999
1	30	5.91184	-2.67385	-0.257667	-5.51433	0.700495	-0.164611	2.8	29.834	-9999	0.481489	-9999
1	31	7.8548	-4.23336	-1.34767	-7.26767	0.805747	-0.222979	0.4	29.5882	-9999	0.267276	-9999
2	1	7.30823	-2.90857	-0.467667	-4.73767	0.930355	-0.185347	0.1	29.5083	-9999	0.224796	-9999
2	2	6.74087	-2.42403	0.847	-6.06433	1.05261	-0.154681	1.4	29.5757	-9999	0.283772	-9999
2	3	4.83206	-0.599305	0.604	-2.25433	0.466302	-0.0800556	5.9	29.7813	-9999	0.505066	-9999
2	4	5.08007	0.0951392	3.523	-4.051	1.0866	-0.0702222	0	29.4674	-9999	0.255846	-9999
2	5	7.54368	-0.372785	1.548	-2.06767	1.08208	-0.0450139	0	29.8931	-9999	0.201113	-9999
2	6	2.51552	-0.0901253	1.50367	-2.861	0.739402	-0.022875	0.1	29.9285	-9999	0.107975	-9999
2	7	2.71459	-6.00149	-3.211	-7.52767	0.347426	-0.0269723	0.3	29.7264	-9999	0.165445	-9999
2	8	5.93271	-7.29315	-6.28767	-8.49767	0.581504	-0.145264	0	29.9187	-9999	0.15202	-9999
2	9	7.47376	-7.27024	-5.31767	-9.54767	0.692277	-0.295861	0.1	29.9507	-9999	0.162419	-9999
2	10	1.78708	-6.14392	-5.33767	-7.001	0.307203	-0.262708	3.4	29.4993	-9999	0.173408	-9999
2	11	1.9418	-6.85447	-6.28767	-7.66767	0.224259	-0.218604	8.7	29.4868	-9999	0.0457163	-9999
2	12	3.31545	-4.48906	-2.82433	-6.27433	0.207938	-0.160736	3	28.9333	-9999	0.166426	-9999
2	13	3.34838	-4.8444	-2.951	-5.79767	0.221654	-0.10891	1.3	28.7444	-9999	0.200772	-9999
