Year,x,y,Age,Species,Management,N,Stool,AvDBH,Height,Lai
1972,0,0,20,Quercuscerris,T,2358,0,9.29,7.93,0
1984,0,0,32,Quercuscerris,T,2354,0,11.48,14.9,0
1984,0,0,32,Quercuscerris,T,1006,0,13.94,16.53,0
1990,0,0,38,Quercuscerris,T,1004,0,16.2,17.24,0
1996,0,0,44,Quercuscerris,T,1014,0,18.13,19.35,0
1999,0,0,47,Quercuscerris,T,996,0,18.93,19.76,0
1999,0,0,47,Quercuscerris,T,552,0,20.43,20.49,0
2004,0,0,52,Quercuscerris,T,548,0,21.79,21.81,0
2014,0,0,62,Quercuscerris,T,522,0,23.9,22.8,0
2014,0,0,62,Quercuscerris,T,436,0,24.3,22.9,0
