Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1972	1	1	8.83	4.9	5.69	2.8	1.19	-9999	3.7	-9999	-9999	-9999	-9999
1972	1	2	11.74	4.45	5.9	0.63	2	-9999	8.2	-9999	-9999	-9999	-9999
1972	1	3	10.39	4.75	5.87	1.8	1.62	-9999	6.3	-9999	-9999	-9999	-9999
1972	1	4	13.07	5.78	7.14	2.21	2.05	-9999	0	-9999	-9999	-9999	-9999
1972	1	5	15.02	5.27	7.24	0.08	2.74	-9999	0	-9999	-9999	-9999	-9999
1972	1	6	10.82	2.64	3.86	-0.59	1.53	-9999	1	-9999	-9999	-9999	-9999
1972	1	7	7.88	1.67	2.32	-0.03	0.8	-9999	1.2	-9999	-9999	-9999	-9999
1972	1	8	8.62	1.7	2.26	0.24	0.69	-9999	0	-9999	-9999	-9999	-9999
1972	1	9	10.77	4.47	6.07	0.25	2.18	-9999	0	-9999	-9999	-9999	-9999
1972	1	10	9.66	6.11	7.4	2.7	2	-9999	0	-9999	-9999	-9999	-9999
1972	1	11	9.05	5.51	6.64	2.53	1.71	-9999	0	-9999	-9999	-9999	-9999
1972	1	12	9.54	6.26	8.01	1.66	2.63	-9999	2	-9999	-9999	-9999	-9999
1972	1	13	8.97	5.3	6.81	1.32	2.19	-9999	2.8	-9999	-9999	-9999	-9999
1972	1	14	6.14	1.58	2.2	-0.04	0.76	-9999	0	-9999	-9999	-9999	-9999
1972	1	15	7.16	0.23	0.95	-1.65	0.8	-9999	0	-9999	-9999	-9999	-9999
1972	1	16	7.79	1.28	2.36	-1.55	1.25	-9999	5.2	-9999	-9999	-9999	-9999
1972	1	17	6.93	2.11	3	-0.23	1.11	-9999	16.1	-9999	-9999	-9999	-9999
1972	1	18	8.39	1.16	2.27	-1.77	1.28	-9999	40.9	-9999	-9999	-9999	-9999
1972	1	19	10.14	3.89	5.39	-0.07	1.99	-9999	4.4	-9999	-9999	-9999	-9999
1972	1	20	10.48	4.62	5.7	1.78	1.55	-9999	0	-9999	-9999	-9999	-9999
1972	1	21	12.1	6.58	8.89	0.5	3.4	-9999	0.9	-9999	-9999	-9999	-9999
1972	1	22	7.23	2.3	3.13	0.1	1.05	-9999	1	-9999	-9999	-9999	-9999
1972	1	23	6.36	0.12	0.62	-1.21	0.57	-9999	0	-9999	-9999	-9999	-9999
1972	1	24	5.16	-0.37	0.01	-1.38	0.42	-9999	0	-9999	-9999	-9999	-9999
1972	1	25	8.57	0.82	1.78	-1.7	1.09	-9999	22.5	-9999	-9999	-9999	-9999
1972	1	26	9.94	0.03	1.19	-3.04	1.24	-9999	12.8	-9999	-9999	-9999	-9999
1972	1	27	10.21	0.08	1.27	-3.05	1.27	-9999	6.1	-9999	-9999	-9999	-9999
1972	1	28	9.88	1.23	2.34	-1.69	1.28	-9999	0.8	-9999	-9999	-9999	-9999
1972	1	29	9.86	1.5	2.58	-1.36	1.28	-9999	4.8	-9999	-9999	-9999	-9999
1972	1	30	12.37	1.15	2.23	-1.68	1.24	-9999	0	-9999	-9999	-9999	-9999
1972	1	31	13.53	1.84	3.09	-1.45	1.48	-9999	0	-9999	-9999	-9999	-9999
1972	2	1	16.09	4.37	6.32	-0.77	2.57	-9999	0	-9999	-9999	-9999	-9999
1972	2	2	16.33	4.83	6.8	-0.35	2.67	-9999	0	-9999	-9999	-9999	-9999
1972	2	3	12.97	3.82	5.51	-0.64	2.2	-9999	0.9	-9999	-9999	-9999	-9999
1972	2	4	10.87	3.97	5.15	0.87	1.61	-9999	11.4	-9999	-9999	-9999	-9999
1972	2	5	14.92	4.22	5.6	0.58	1.89	-9999	0	-9999	-9999	-9999	-9999
1972	2	6	15.35	5.38	6.83	1.57	2.12	-9999	0	-9999	-9999	-9999	-9999
1972	2	7	16.14	6.07	7.68	1.83	2.42	-9999	0	-9999	-9999	-9999	-9999
1972	2	8	16.14	6.11	7.67	1.99	2.37	-9999	0	-9999	-9999	-9999	-9999
1972	2	9	10.19	5.73	6.74	3.05	1.57	-9999	3.7	-9999	-9999	-9999	-9999
1972	2	10	12.09	7.17	8.47	3.74	2.15	-9999	0.2	-9999	-9999	-9999	-9999
1972	2	11	13.72	5.47	7.05	1.29	2.3	-9999	20	-9999	-9999	-9999	-9999
1972	2	12	11.92	5.97	7.18	2.78	1.87	-9999	6.1	-9999	-9999	-9999	-9999
1972	2	13	14.05	3.86	5.44	-0.29	2.07	-9999	2.1	-9999	-9999	-9999	-9999
1972	2	14	14.52	4.95	6.63	0.52	2.35	-9999	0.9	-9999	-9999	-9999	-9999
1972	2	15	15.55	3.25	4.48	0.02	1.6	-9999	0	-9999	-9999	-9999	-9999
1972	2	16	20.43	5.77	8.25	-0.77	3.43	-9999	0	-9999	-9999	-9999	-9999
1972	2	17	20.52	7.06	9.47	0.71	3.63	-9999	0	-9999	-9999	-9999	-9999
1972	2	18	16.25	6.9	8.98	1.4	3.19	-9999	6.2	-9999	-9999	-9999	-9999
1972	2	19	12.41	6.72	7.95	3.48	1.99	-9999	7.3	-9999	-9999	-9999	-9999
1972	2	20	12.27	6.42	7.59	3.33	1.87	-9999	1.4	-9999	-9999	-9999	-9999
1972	2	21	19.6	5.61	7.37	0.97	2.55	-9999	0	-9999	-9999	-9999	-9999
1972	2	22	20.07	6.97	8.83	2.07	2.9	-9999	0	-9999	-9999	-9999	-9999
1972	2	23	20.85	7.01	9.05	1.64	3.15	-9999	0	-9999	-9999	-9999	-9999
1972	2	24	16.11	7.99	9.82	3.18	3.05	-9999	14.2	-9999	-9999	-9999	-9999
1972	2	25	8.86	6.67	7.44	4.65	1.28	-9999	13.1	-9999	-9999	-9999	-9999
1972	2	26	9.37	5.95	6.75	3.83	1.28	-9999	5.6	-9999	-9999	-9999	-9999
1972	2	27	6.01	5.15	5.63	3.9	0.74	-9999	4.6	-9999	-9999	-9999	-9999
1972	2	28	18.33	6.09	7.46	2.49	2.1	-9999	0	-9999	-9999	-9999	-9999
1972	2	29	17.09	7.27	9.09	2.46	2.91	-9999	2.2	-9999	-9999	-9999	-9999
1972	3	1	15.97	6.73	8.31	2.57	2.48	-9999	2	-9999	-9999	-9999	-9999
1972	3	2	20.48	6.53	8.1	2.38	2.45	-9999	0	-9999	-9999	-9999	-9999
1972	3	3	15.7	4.69	5.7	2.01	1.47	-9999	0	-9999	-9999	-9999	-9999
1972	3	4	18.93	5.95	7.98	0.58	2.94	-9999	4.7	-9999	-9999	-9999	-9999
