year	CO2_ppm
1765	278.05158
1766	278.10615
1767	278.22039
1768	278.34305
1769	278.47058
1770	278.60047
1771	278.73275
1772	278.86881
1773	279.00907
1774	279.15318
1775	279.3018
1776	279.4568
1777	279.61808
1778	279.78192
1779	279.9432
1780	280.0974
1781	280.2428
1782	280.38168
1783	280.51832
1784	280.6572
1785	280.8026
1786	280.9568
1787	281.11808
1788	281.28192
1789	281.4432
1790	281.5982
1791	281.74682
1792	281.89093
1793	282.03119
1794	282.16725
1795	282.29901
1796	282.4268
1797	282.55093
1798	282.67123
1799	282.7873
1800	282.89901
1801	283.00677
1802	283.11093
1803	283.21129
1804	283.30737
1805	283.39963
1806	283.48978
1807	283.57796
1808	283.66116
1809	283.73511
1810	283.79676
1811	283.84667
1812	283.88853
1813	283.92613
1814	283.96267
1815	284.00107
1816	284.04267
1817	284.08613
1818	284.12853
1819	284.16667
1820	284.1982
1821	284.22333
1822	284.24427
1823	284.26307
1824	284.28133
1825	284.30027
1826	284.32
1827	284.34
1828	284.36
1829	284.38
1830	284.4
1831	284.385
1832	284.28
1833	284.125
1834	283.975
1835	283.825
1836	283.675
1837	283.525
1838	283.425
1839	283.4
1840	283.4
1841	283.425
1842	283.5
1843	283.6
1844	283.725
1845	283.9
1846	284.075
1847	284.225
1848	284.4
1849	284.575
1850	284.725
1851	284.875
1852	285
1853	285.125
1854	285.275
1855	285.425
1856	285.575
1857	285.725
1858	285.9
1859	286.075
1860	286.225
1861	286.375
1862	286.5
1863	286.625
1864	286.775
1865	286.9
1866	287
1867	287.1
1868	287.225
1869	287.375
1870	287.525
1871	287.7
1872	287.9
1873	288.125
1874	288.4
1875	288.7
1876	289.025
1877	289.4
1878	289.8
1879	290.225
1880	290.7
1881	291.2
1882	291.675
1883	292.125
1884	292.575
1885	292.975
1886	293.3
1887	293.575
1888	293.8
1889	294
1890	294.175
1891	294.325
1892	294.475
1893	294.6
1894	294.7
1895	294.8
1896	294.9
1897	295.025
1898	295.225
1899	295.5
1900	295.8
1901	296.125
1902	296.475
1903	296.825
1904	297.2
1905	297.625
1906	298.075
1907	298.5
1908	298.9
1909	299.3
1910	299.7
1911	300.075
1912	300.425
1913	300.775
1914	301.1
1915	301.4
1916	301.725
1917	302.075
1918	302.4
1919	302.7
1920	303.025
1921	303.4
1922	303.775
1923	304.125
1924	304.525
1925	304.975
1926	305.4
1927	305.825
1928	306.3
1929	306.775
1930	307.225
1931	307.7
1932	308.175
1933	308.6
1934	309
1935	309.4
1936	309.75
1937	310
1938	310.175
1939	310.3
1940	310.375
1941	310.375
1942	310.3
1943	310.2
1944	310.125
1945	310.1
1946	310.125
1947	310.2
1948	310.325
1949	310.5
1950	310.75
1951	311.1
1952	311.5
1953	311.925
1954	312.425
1955	313
1956	313.6
1957	314.225
1958	314.8475
1959	315.5
1960	316.2725
1961	317.075
1962	317.795
1963	318.3975
1964	318.925
1965	319.6475
1966	320.6475
1967	321.605
1968	322.635
1969	323.9025
1970	324.985
1971	325.855
1972	327.14
1973	328.6775
1974	329.7425
1975	330.585
1976	331.7475
1977	333.2725
1978	334.8475
1979	336.525
1980	338.36
1981	339.7275
1982	340.7925
1983	342.1975
1984	343.7825
1985	345.2825
1986	346.7975
1987	348.645
1988	350.7375
1989	352.4875
1990	353.855
1991	355.0175
1992	355.885
1993	356.7775
1994	358.1275
1995	359.8375
1996	361.4625
1997	363.155
1998	365.3225
1999	367.3475
2000	368.865
2001	370.4675
2002	372.5225
2003	374.76
2004	376.8125
2005	378.8125
2006	380.93
2007	382.7
2008	384.77
2009	386.28
2010	388.57
2011	390.49
2012	392.52
2013	395.31
2014	397.11
2015	399.41
