Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f			
1972	1	1	9.20	5.51	6.25	3.28	1.26	-9999	4.00	-9999	-9999	-9999	-9999			
1972	1	2	11.58	4.35	6.05	1.29	1.86	-9999	10.10	-9999	-9999	-9999	-9999			
1972	1	3	10.07	6.65	6.19	2.56	1.49	-9999	5.50	-9999	-9999	-9999	-9999			
1972	1	4	14.73	5.67	7.79	2.19	2.36	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	5	16.56	4.37	7.63	0.50	2.80	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	6	12.44	2.57	5.00	-0.41	1.93	-9999	0.90	-9999	-9999	-9999	-9999			
1972	1	7	10.89	3.04	3.76	0.78	1.08	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	8	12.08	3.16	4.30	0.71	1.32	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	9	15.67	3.76	6.80	0.90	2.31	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	10	14.69	4.12	8.36	3.18	2.30	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	11	14.30	5.08	8.08	3.25	2.13	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	12	13.72	4.95	8.50	2.16	2.71	-9999	0.90	-9999	-9999	-9999	-9999			
1972	1	13	12.86	4.37	7.68	2.22	2.30	-9999	1.30	-9999	-9999	-9999	-9999			
1972	1	14	7.36	2.45	3.33	0.54	0.99	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	15	10.53	1.45	2.64	-1.55	1.35	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	16	9.35	2.26	3.53	-1.34	1.61	-9999	6.10	-9999	-9999	-9999	-9999			
1972	1	17	7.32	3.65	3.89	0.44	1.24	-9999	18.10	-9999	-9999	-9999	-9999			
1972	1	18	8.49	3.08	3.15	-0.83	1.33	-9999	29.90	-9999	-9999	-9999	-9999			
1972	1	19	10.61	4.31	6.06	0.69	2.05	-9999	2.60	-9999	-9999	-9999	-9999			
1972	1	20	13.44	5.94	7.41	2.18	2.18	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	21	14.08	4.93	10.38	0.31	4.20	-9999	0.80	-9999	-9999	-9999	-9999			
1972	1	22	7.45	3.13	4.21	1.06	1.17	-9999	1.00	-9999	-9999	-9999	-9999			
1972	1	23	6.76	1.62	1.85	-0.13	0.66	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	24	8.06	2.08	1.75	-0.63	0.78	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	25	7.81	1.39	1.95	-1.10	0.98	-9999	25.60	-9999	-9999	-9999	-9999			
1972	1	26	10.38	0.69	1.78	-2.48	1.29	-9999	13.20	-9999	-9999	-9999	-9999			
1972	1	27	11.52	1.10	1.63	-3.21	1.42	-9999	7.40	-9999	-9999	-9999	-9999			
1972	1	28	13.37	1.92	2.47	-1.63	1.31	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	29	11.02	2.05	3.13	-1.25	1.44	-9999	4.00	-9999	-9999	-9999	-9999			
1972	1	30	13.87	2.30	3.48	-0.71	1.42	-9999	0.00	-9999	-9999	-9999	-9999			
1972	1	31	15.23	4.38	4.01	-0.78	1.64	-9999	0.00	-9999	-9999	-9999	-9999			
