Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f			
1995	1	1	7.16	11.58	13.11	7.56	3.23	-9999	12.90	-9999	-9999	-9999	-9999			
1995	1	2	9.35	6.47	8.56	0.95	3.11	-9999	11.40	-9999	-9999	-9999	-9999			
1995	1	3	11.81	3.86	5.71	-1.02	2.38	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	4	9.56	2.45	3.83	-1.19	1.69	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	5	9.59	2.1	3.46	-1.50	1.63	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	6	13.49	2.32	4.47	-3.34	2.45	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	7	14.12	3.39	5.73	-2.77	2.81	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	8	11.23	3.47	5.10	-0.81	2.08	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	9	13.49	4.49	6.61	-1.10	2.78	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	10	15.92	5.44	8.50	-2.64	3.96	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	11	15.85	8.04	11.08	0.02	4.63	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	12	13.80	5.92	8.09	0.20	3.10	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	13	16.00	3.95	6.83	-3.65	3.44	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	14	12.84	3.09	4.98	-1.88	2.30	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	15	13.80	3.59	5.66	-1.86	2.57	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	16	15.13	6.55	8.96	0.20	3.51	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	17	17.67	6.46	10.06	-3.04	4.77	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	18	12.03	7.47	10.21	0.26	4.12	-9999	0.70	-9999	-9999	-9999	-9999			
1995	1	19	8.47	8.77	10.36	4.59	2.83	-9999	8.40	-9999	-9999	-9999	-9999			
1995	1	20	15.61	7.49	9.97	0.96	3.81	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	21	8.23	8.92	10.42	4.95	2.72	-9999	15.20	-9999	-9999	-9999	-9999			
