Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS_f			
1995	1	1	8.64	11.58	13.11	7.56	3.23	-9999	12.90	-9999	-9999	-9999	-9999			
1995	1	2	11.26	6.47	8.56	0.95	3.11	-9999	11.40	-9999	-9999	-9999	-9999			
1995	1	3	14.21	3.86	5.71	-1.02	2.38	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	4	11.50	2.45	3.83	-1.19	1.69	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	5	11.51	2.1	3.46	-1.50	1.63	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	6	16.12	2.32	4.47	-3.34	2.45	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	7	16.85	3.39	5.73	-2.77	2.81	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	8	13.40	3.47	5.10	-0.81	2.08	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	9	16.12	4.49	6.61	-1.10	2.78	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	10	19.03	5.44	8.50	-2.64	3.96	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	11	18.88	8.04	11.08	0.02	4.63	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	12	16.41	5.92	8.09	0.20	3.10	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	13	18.95	3.95	6.83	-3.65	3.44	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	14	15.23	3.09	4.98	-1.88	2.30	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	15	16.34	3.59	5.66	-1.86	2.57	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	16	17.82	6.55	8.96	0.20	3.51	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	17	20.73	6.46	10.06	-3.04	4.77	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	18	14.15	7.47	10.21	0.26	4.12	-9999	0.70	-9999	-9999	-9999	-9999			
1995	1	19	9.97	8.77	10.36	4.59	2.83	-9999	8.40	-9999	-9999	-9999	-9999			
1995	1	20	18.26	7.49	9.97	0.96	3.81	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	21	9.63	8.92	10.42	4.95	2.72	-9999	15.20	-9999	-9999	-9999	-9999			
1995	1	22	17.65	9.28	11.60	3.18	4.02	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	23	16.81	10.29	12.44	4.61	4.03	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	24	7.16	11.55	12.64	8.69	2.37	-9999	2.40	-9999	-9999	-9999	-9999			
1995	1	25	13.98	11.88	14.40	5.24	5.04	-9999	4.40	-9999	-9999	-9999	-9999			
1995	1	26	12.56	12.09	14.17	6.60	4.36	-9999	3.30	-9999	-9999	-9999	-9999			
1995	1	27	13.67	10.37	11.91	6.32	3.03	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	28	14.61	7.98	10.46	1.45	3.93	-9999	2.80	-9999	-9999	-9999	-9999			
1995	1	29	17.11	11.15	13.18	5.81	4.03	-9999	0.00	-9999	-9999	-9999	-9999			
1995	1	30	11.45	9.56	11.27	5.04	3.17	-9999	10.20	-9999	-9999	-9999	-9999			
1995	1	31	16.27	9.67	11.50	4.83	3.38	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	1	23.12	9.13	12.55	0.11	5.42	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	2	23.24	8.39	11.76	-0.49	5.12	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	3	23.17	9.38	12.74	0.54	5.43	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	4	21.82	8.61	11.48	1.03	4.59	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	5	23.98	10.47	14.10	0.91	6.14	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	6	21.88	10.83	13.72	3.22	5.28	-9999	0.00	-9999	-9999	-9999	-9999			
1995	2	7	18.26	9.56	11.68	3.96	3.81	-9999	0.00	-9999	-9999	-9999	-9999			
