Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	1.49	-4.39	-3.6	-5.1	0.01	-9999	0	-9999	-9999	-9999	-9999
1	2	1.18	-4.32	-3.2	-5.05	0.03	-9999	0	-9999	-9999	-9999	-9999
1	3	1.21	-5.54	-5.1	-5.8	0.05	-9999	0	-9999	-9999	-9999	-9999
1	4	6.39	-6.52	-2.5	-8.2	0.18	-9999	0	-9999	-9999	-9999	-9999
1	5	8.11	-3.58	0.75	-7.45	0.27	-9999	0	-9999	-9999	-9999	-9999
1	6	4.44	4.09	6.45	1.6	0.54	-9999	0.6	-9999	-9999	-9999	-9999
1	7	3.87	8.83	10.75	5.6	0.43	-9999	0	-9999	-9999	-9999	-9999
1	8	2.46	8.9	10.2	5.75	0.38	-9999	0	-9999	-9999	-9999	-9999
1	9	7.12	8.73	11.3	7.25	0.41	-9999	0	-9999	-9999	-9999	-9999
1	10	2.01	2.9	6.2	0.5	0.09	-9999	0.3	-9999	-9999	-9999	-9999
1	11	3.53	-1.51	0.5	-2.6	0.01	-9999	0	-9999	-9999	-9999	-9999
1	12	1	1.04	2.6	-0.85	0.04	-9999	7.8	-9999	-9999	-9999	-9999
1	13	0.49	6.18	7.45	2.75	0.01	-9999	83	-9999	-9999	-9999	-9999
1	14	1.79	7.1	7.75	6.2	0.01	-9999	33.4	-9999	-9999	-9999	-9999
1	15	1.24	4.95	6.4	3.9	0.16	-9999	2.4	-9999	-9999	-9999	-9999
1	16	7	7.92	10.45	4.75	0.36	-9999	0	-9999	-9999	-9999	-9999
1	17	8	8.37	10.05	6.25	0.4	-9999	0	-9999	-9999	-9999	-9999
1	18	5.39	5.26	6.45	4.1	0.3	-9999	0.1	-9999	-9999	-9999	-9999
1	19	1.27	0.51	4.85	-2.45	0.01	-9999	18.6	-9999	-9999	-9999	-9999
1	20	1.62	-4	-2.6	-4.8	0.01	-9999	12.5	-9999	-9999	-9999	-9999
1	21	1.81	-5.85	-4.75	-7.15	0.01	-9999	1.5	-9999	-9999	-9999	-9999
1	22	4.77	-7.94	-7.25	-8.75	0.1	-9999	0	-9999	-9999	-9999	-9999
1	23	7.26	-8.26	-7.15	-9.6	0.08	-9999	0	-9999	-9999	-9999	-9999
1	24	0.76	-5.55	-4.15	-7.45	0.01	-9999	0	-9999	-9999	-9999	-9999
1	25	2.08	-2.9	-1.8	-4.05	0.02	-9999	0	-9999	-9999	-9999	-9999
1	26	2.11	-2.92	-2.35	-3.5	0.05	-9999	0	-9999	-9999	-9999	-9999
1	27	1.9	-3.8	-3.1	-4.45	0.01	-9999	0	-9999	-9999	-9999	-9999
1	28	8.86	-3.86	-1.25	-5.05	0.16	-9999	0	-9999	-9999	-9999	-9999
1	29	10.55	-2.78	0.55	-5.75	0.41	-9999	0	-9999	-9999	-9999	-9999
1	30	10.83	-6.24	-2	-9.5	0.12	-9999	0	-9999	-9999	-9999	-9999
1	31	3.45	-9.12	-8.1	-9.9	0.01	-9999	0	-9999	-9999	-9999	-9999
2	1	6.83	-8.9	-5.45	-10.55	0.01	-9999	0	-9999	-9999	-9999	-9999
2	2	3.19	-8.34	-5.7	-10.45	0.01	-9999	0	-9999	-9999	-9999	-9999
2	3	9.89	-1.54	1.55	-6.4	0.18	-9999	1.3	-9999	-9999	-9999	-9999
2	4	7.24	2.02	4.6	-1.45	0.21	-9999	0	-9999	-9999	-9999	-9999
2	5	11.12	4.44	8.15	1.65	0.29	-9999	0	-9999	-9999	-9999	-9999
