Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	2.352534	1.242920	3.861970	-0.522529	0.509919	-9999	3.937700	-9999	-9999	-9999	-9999
1	2	1.561887	-0.210668	2.269350	-1.981180	0.274729	-9999	4.969360	-9999	-9999	-9999	-9999
1	3	1.735966	-0.397954	2.193300	-1.840400	0.289683	-9999	1.016840	-9999	-9999	-9999	-9999
1	4	2.297428	-2.845950	1.501130	-7.817270	0.242350	-9999	0.529633	-9999	-9999	-9999	-9999
1	5	3.547670	-1.325050	4.077150	-8.794470	1.329111	-9999	0.000009	-9999	-9999	-9999	-9999
1	6	3.643825	-1.097840	3.547820	-3.675390	1.522952	-9999	0.000000	-9999	-9999	-9999	-9999
1	7	3.729758	-0.116948	4.682160	-4.370610	2.200266	-9999	0.000000	-9999	-9999	-9999	-9999
1	8	3.555680	2.216580	5.522610	-1.208750	1.729687	-9999	0.000741	-9999	-9999	-9999	-9999
1	9	3.293067	-3.694160	2.014100	-7.874580	0.584725	-9999	1.319020	-9999	-9999	-9999	-9999
1	10	3.764275	-2.631050	1.496190	-7.853920	0.483971	-9999	0.327843	-9999	-9999	-9999	-9999
1	11	3.455430	1.195090	4.205050	-1.997320	0.624003	-9999	0.711562	-9999	-9999	-9999	-9999
1	12	1.510324	-1.485420	3.347410	-8.270700	0.297942	-9999	5.032570	-9999	-9999	-9999	-9999
1	13	2.891955	-11.777900	-6.347960	-13.998700	0.386205	-9999	1.306860	-9999	-9999	-9999	-9999
1	14	3.655878	-12.814500	-8.619170	-16.684900	0.411934	-9999	0.323053	-9999	-9999	-9999	-9999
1	15	2.878105	-11.220900	-7.357820	-14.893700	0.430543	-9999	0.652105	-9999	-9999	-9999	-9999
1	16	3.455939	-12.064700	-7.674350	-15.648100	0.467166	-9999	0.237035	-9999	-9999	-9999	-9999
1	17	3.776199	-12.987200	-8.512630	-16.307200	0.547594	-9999	0.192060	-9999	-9999	-9999	-9999
1	18	3.862019	-7.955390	-2.048100	-15.971600	0.604781	-9999	0.073002	-9999	-9999	-9999	-9999
1	19	3.957612	-5.350070	0.598083	-10.913000	0.622242	-9999	0.342958	-9999	-9999	-9999	-9999
1	20	2.529325	1.592830	5.905580	-5.215310	0.740150	-9999	0.854143	-9999	-9999	-9999	-9999
1	21	2.975616	0.059260	3.365570	-3.033000	0.479482	-9999	3.580010	-9999	-9999	-9999	-9999
1	22	3.122461	-1.155100	3.374540	-4.644200	0.514818	-9999	1.399270	-9999	-9999	-9999	-9999
1	23	3.880155	-5.206000	-0.379181	-8.285410	0.591751	-9999	0.480484	-9999	-9999	-9999	-9999
1	24	3.200014	-2.764440	2.824830	-7.830790	0.508128	-9999	2.779730	-9999	-9999	-9999	-9999
1	25	4.937164	-4.384470	0.428436	-8.821940	0.839006	-9999	0.006392	-9999	-9999	-9999	-9999
1	26	3.602940	-3.688450	0.994690	-6.826510	0.731275	-9999	2.774770	-9999	-9999	-9999	-9999
1	27	2.240629	-8.099370	-3.590090	-12.946400	0.407863	-9999	2.537730	-9999	-9999	-9999	-9999
1	28	3.979472	-13.193500	-9.485870	-16.719800	0.379178	-9999	1.785660	-9999	-9999	-9999	-9999
1	29	4.760727	-15.167500	-12.122000	-17.220700	0.340487	-9999	2.560130	-9999	-9999	-9999	-9999
1	30	4.077743	-11.543900	-8.225160	-16.114000	0.400463	-9999	5.954600	-9999	-9999	-9999	-9999
1	31	4.654489	-11.853300	-6.614260	-15.469700	0.413405	-9999	0.777136	-9999	-9999	-9999	-9999
2	1	5.572186	-13.315800	-3.802040	-18.971400	0.432613	-9999	0.004846	-9999	-9999	-9999	-9999
2	2	4.267642	-12.396900	-7.825230	-20.130000	0.475506	-9999	0.000712	-9999	-9999	-9999	-9999
2	3	5.061511	-1.487400	3.113890	-10.262200	0.656107	-9999	0.818479	-9999	-9999	-9999	-9999
2	4	4.332346	0.558190	4.597830	-4.117980	0.777801	-9999	0.000727	-9999	-9999	-9999	-9999
2	5	5.868565	-0.285347	5.487630	-4.018980	1.150343	-9999	0.000000	-9999	-9999	-9999	-9999
2	6	6.024871	-0.805305	5.469450	-4.557770	1.016176	-9999	0.000000	-9999	-9999	-9999	-9999
2	7	2.160216	-4.067240	1.682210	-10.396400	0.230473	-9999	0.687109	-9999	-9999	-9999	-9999
2	8	4.361507	-6.880410	-3.340220	-10.036400	0.400064	-9999	1.295560	-9999	-9999	-9999	-9999
2	9	3.912745	-7.753210	-4.589610	-9.948820	0.383398	-9999	2.261450	-9999	-9999	-9999	-9999
2	10	5.813942	-10.285700	-4.142740	-13.626500	0.464100	-9999	0.100107	-9999	-9999	-9999	-9999
2	11	6.624590	-6.226780	0.253931	-12.665000	0.612089	-9999	0.000000	-9999	-9999	-9999	-9999
2	12	6.545076	-3.804210	2.090570	-8.455200	0.521256	-9999	0.151240	-9999	-9999	-9999	-9999
2	13	4.553358	-4.479960	-0.702612	-7.473200	0.453803	-9999	1.542120	-9999	-9999	-9999	-9999
