Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL			
1	1	1.262477	-0.890264	2.466640	-3.969830	0.570909	-9999	2.276920	-9999	-9999	-9999	-9999	5.723055641	0.032673448	5.690382193
1	2	3.052391	-0.739171	3.347690	-4.752660	0.556195	-9999	3.541580	-9999	-9999	-9999	-9999	5.786769716	0.032185745	5.754583971
1	3	1.365371	-1.898840	0.684601	-3.852640	0.383517	-9999	6.392210	-9999	-9999	-9999	-9999	5.313417523	0.020377868	5.293039655
1	4	2.201334	0.193354	4.318790	-5.040660	0.501677	-9999	3.003040	-9999	-9999	-9999	-9999	6.194076087	0.031074243	6.163001844
1	5	2.747606	-0.290899	2.832180	-2.702770	0.643264	-9999	2.321880	-9999	-9999	-9999	-9999	5.979508427	0.038463999	5.941044428
1	6	3.488979	-0.574254	2.486790	-3.179940	0.875280	-9999	0.000001	-9999	-9999	-9999	-9999	5.85702863	0.051265413	5.805763218
1	7	2.693226	0.648097	4.131410	-1.787180	0.529481	-9999	3.725890	-9999	-9999	-9999	-9999	6.401736685	0.033895995	6.367840691
1	8	2.274748	-4.134770	0.139923	-7.069860	0.615656	-9999	4.562130	-9999	-9999	-9999	-9999	4.496498329	0.027682964	4.468815365
1	9	2.469433	-0.298589	4.054170	-7.145120	0.549053	-9999	2.074730	-9999	-9999	-9999	-9999	5.976154767	0.032812272	5.943342496
1	10	1.707670	-2.046480	0.116760	-4.116610	0.472833	-9999	4.631080	-9999	-9999	-9999	-9999	5.25568401	0.024850601	5.230833408
1	11	3.810784	-1.988160	1.348080	-5.168680	0.636388	-9999	1.293470	-9999	-9999	-9999	-9999	5.278422917	0.033591238	5.244831678
1	12	1.877230	-1.458990	2.393490	-4.820840	0.586117	-9999	2.921170	-9999	-9999	-9999	-9999	5.488759028	0.032170557	5.456588471
1	13	3.742450	-1.438270	2.539490	-4.285800	0.783118	-9999	2.393080	-9999	-9999	-9999	-9999	5.497143651	0.043049099	5.454094552
1	14	2.507570	-1.730470	2.671330	-6.315990	0.503719	-9999	8.025380	-9999	-9999	-9999	-9999	5.37994185	0.027099766	5.352842084
1	15	1.254779	-2.975930	-1.179750	-4.730260	0.544468	-9999	5.767040	-9999	-9999	-9999	-9999	4.904810914	0.026705143	4.878105771
1	16	2.955442	-5.429630	-2.776730	-7.873510	0.404052	-9999	6.167400	-9999	-9999	-9999	-9999	4.076144505	0.016469739	4.059674766
1	17	3.924210	-6.493200	-2.016850	-10.295100	0.963059	-9999	0.013131	-9999	-9999	-9999	-9999	3.757341586	0.036185426	3.72115616
1	18	4.284818	-3.965640	2.822880	-8.841620	2.192721	-9999	0.000000	-9999	-9999	-9999	-9999	4.554146662	0.09985975	4.454286913
1	19	1.863423	-0.299627	2.258090	-5.215400	0.251768	-9999	6.108280	-9999	-9999	-9999	-9999	5.975702216	0.015044923	5.960657293
1	20	1.664341	-0.638341	1.721860	-2.472270	0.253065	-9999	7.284570	-9999	-9999	-9999	-9999	5.829636785	0.014752743	5.814884042
1	21	2.623165	-2.240640	1.275120	-6.090430	0.345795	-9999	0.923165	-9999	-9999	-9999	-9999	5.180604814	0.017914273	5.162690541
1	22	4.048618	-1.588870	2.266170	-7.456460	0.573459	-9999	0.193499	-9999	-9999	-9999	-9999	5.43645868	0.031175884	5.405282796
1	23	4.458292	3.224240	5.678860	0.340172	1.130025	-9999	0.000372	-9999	-9999	-9999	-9999	7.698501845	0.086994964	7.611506881
1	24	4.400032	1.980340	4.350650	-0.492714	1.000267	-9999	0.000000	-9999	-9999	-9999	-9999	7.045972494	0.070478565	6.975493928
1	25	2.686910	1.536800	3.394960	0.127892	0.235954	-9999	2.450720	-9999	-9999	-9999	-9999	6.82540453	0.016104831	6.809299699
1	26	2.448006	0.567073	3.083770	-1.495550	0.222311	-9999	5.202310	-9999	-9999	-9999	-9999	6.364292307	0.014148528	6.350143779
1	27	3.426304	-0.691899	3.971160	-3.087470	0.481375	-9999	1.461420	-9999	-9999	-9999	-9999	5.806832187	0.027952625	5.778879561
