Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
1	1	5	-9999	4.37	-3.33	0.385	-9999	0	-9999	0	-9999	-9999
1	2	5	-9999	9.77	-2.03	0.412	-9999	0	-9999	0	-9999	-9999
1	3	5	-9999	6.17	-2.53	0.292	-9999	0	-9999	0	-9999	-9999
1	4	5	-9999	7.57	-2.83	0.419	-9999	0	-9999	0	-9999	-9999
1	5	4	-9999	7.27	-1.33	0.575	-9999	0	-9999	0	-9999	-9999
1	6	5	-9999	11.17	-2.33	0.502	-9999	0	-9999	0	-9999	-9999
1	7	5	-9999	8.37	-0.63	0.435	-9999	0	-9999	0	-9999	-9999
1	8	5	-9999	6.17	-2.33	0.555	-9999	0	-9999	0	-9999	-9999
1	9	4	-9999	5.67	-2.73	0.569	-9999	0	-9999	0	-9999	-9999
1	10	5	-9999	5.87	-2.73	0.562	-9999	0	-9999	0	-9999	-9999
1	11	5	-9999	4.77	-3.13	0.545	-9999	0	-9999	0	-9999	-9999
1	12	5	-9999	4.07	-3.53	0.529	-9999	0	-9999	0	-9999	-9999
1	13	5	-9999	8.37	-2.13	0.415	-9999	0	-9999	0	-9999	-9999
1	14	6	-9999	6.07	-4.43	0.382	-9999	0	-9999	0	-9999	-9999
1	15	5	-9999	2.47	-6.23	0.462	-9999	0	-9999	0	-9999	-9999
1	16	4	-9999	-0.03	-7.43	0.482	-9999	0	-9999	0	-9999	-9999
1	17	6	-9999	3.27	-6.23	0.429	-9999	0	-9999	0	-9999	-9999
1	18	3	-9999	1.37	-5.13	0.432	-9999	0	-9999	0	-9999	-9999
1	19	6	-9999	4.07	-4.13	0.269	-9999	0	-9999	0	-9999	-9999
1	20	6	-9999	11.07	-4.33	0.355	-9999	0	-9999	0	-9999	-9999
1	21	1	-9999	10.17	2.87	0.535	-9999	0	-9999	0	-9999	-9999
1	22	5	-9999	5.87	-3.83	0.345	-9999	0	-9999	0	-9999	-9999
1	23	2	-9999	-0.23	-6.93	0.345	-9999	0.6	-9999	0	-9999	-9999
1	24	5	-9999	-0.73	-7.63	0.239	-9999	0.2	-9999	0	-9999	-9999
1	25	6	-9999	-2.43	-8.93	0.132	-9999	0	-9999	0	-9999	-9999
1	26	5	-9999	-1.43	-10.93	0.135	-9999	0	-9999	0	-9999	-9999
1	27	7	-9999	1.47	-8.33	0.172	-9999	0	-9999	0	-9999	-9999
1	28	5	-9999	-2.23	-9.63	0.235	-9999	0	-9999	0	-9999	-9999
1	29	7	-9999	-3.33	-11.13	0.242	-9999	0	-9999	0	-9999	-9999
1	30	8	-9999	-1.23	-8.83	0.249	-9999	0	-9999	0	-9999	-9999
1	31	7	-9999	7.17	-7.93	0.299	-9999	0	-9999	0	-9999	-9999
2	1	9	-9999	7.47	-3.53	0.352	-9999	0	-9999	0	-9999	-9999
2	2	8	-9999	7.27	-5.03	0.239	-9999	0	-9999	0	-9999	-9999
2	3	8	-9999	9.17	-1.43	0.282	-9999	0	-9999	0	-9999	-9999
2	4	7	-9999	0.57	-4.23	0.429	-9999	0	-9999	0	-9999	-9999
2	5	1	-9999	-2.83	-4.83	0.465	-9999	0	-9999	0	-9999	-9999
2	6	8	-9999	0.47	-6.33	0.392	-9999	0	-9999	0	-9999	-9999
2	7	8	-9999	-1.13	-8.03	0.332	-9999	0	-9999	0	-9999	-9999
2	8	7	-9999	-0.13	-6.63	0.332	-9999	0	-9999	0	-9999	-9999
2	9	9	-9999	2.67	-6.03	0.345	-9999	0	-9999	0	-9999	-9999
2	10	8	-9999	4.47	-4.13	0.325	-9999	0	-9999	0	-9999	-9999
2	11	7	-9999	6.27	-1.93	0.472	-9999	0	-9999	0	-9999	-9999
2	12	5	-9999	5.37	-1.43	0.629	-9999	0	-9999	0	-9999	-9999
2	13	6	-9999	5.67	-1.03	0.452	-9999	0	-9999	0	-9999	-9999
2	14	10	-9999	1.37	-3.13	0.215	-9999	0	-9999	0	-9999	-9999
2	15	10	-9999	2.57	-4.83	0.199	-9999	0	-9999	0	-9999	-9999
2	16	4	-9999	2.77	-6.63	0.179	-9999	0	-9999	0	-9999	-9999
2	17	10	-9999	3.07	-7.73	0.212	-9999	0	-9999	0	-9999	-9999
2	18	10	-9999	2.97	-7.33	0.279	-9999	0	-9999	0	-9999	-9999
2	19	5	-9999	0.07	-5.53	0.365	-9999	0	-9999	0	-9999	-9999
2	20	4	-9999	-0.13	-5.73	0.409	-9999	0	-9999	0	-9999	-9999
2	21	6	-9999	0.57	-6.03	0.362	-9999	0	-9999	0	-9999	-9999
2	22	9	-9999	-1.33	-7.13	0.392	-9999	0	-9999	0	-9999	-9999
2	23	10	-9999	1.17	-9.03	0.369	-9999	0	-9999	0	-9999	-9999
2	24	8	-9999	-1.43	-7.33	0.365	-9999	0	-9999	0	-9999	-9999
2	25	11	-9999	2.37	-7.33	0.439	-9999	0.4	-9999	0	-9999	-9999
2	26	12	-9999	2.47	-8.53	0.312	-9999	0.2	-9999	0	-9999	-9999
2	27	10	-9999	0.57	-7.73	0.209	-9999	0	-9999	0	-9999	-9999
2	28	10	-9999	-3.73	-9.53	0.222	-9999	0	-9999	0	-9999	-9999
3	1	13	-9999	-4.13	-11.53	0.212	-9999	0	-9999	0	-9999	-9999
3	2	12	-9999	0.07	-12.63	0.215	-9999	0	-9999	0	-9999	-9999
3	3	6	-9999	-2.83	-9.43	0.319	-9999	0	-9999	0	-9999	-9999
3	4	13	-9999	4.47	-9.23	0.299	-9999	0	-9999	0	-9999	-9999
3	5	7	-9999	0.47	-6.23	0.315	-9999	0	-9999	0	-9999	-9999
3	6	14	-9999	2.37	-7.43	0.189	-9999	0	-9999	0	-9999	-9999
3	7	14	-9999	0.87	-9.63	0.165	-9999	0	-9999	0	-9999	-9999
3	8	14	-9999	6.37	-2.43	0.239	-9999	0	-9999	0	-9999	-9999
3	9	15	-9999	9.27	-3.23	0.259	-9999	0	-9999	0	-9999	-9999
3	10	15	-9999	10.67	-4.33	0.242	-9999	0	-9999	0	-9999	-9999
3	11	14	-9999	6.17	-4.83	0.419	-9999	0	-9999	0	-9999	-9999
3	12	14	-9999	8.07	-4.03	0.449	-9999	0	-9999	0	-9999	-9999
3	13	15	-9999	9.07	-2.63	0.319	-9999	0	-9999	0	-9999	-9999
3	14	13	-9999	9.37	-1.03	0.445	-9999	0	-9999	0	-9999	-9999
3	15	14	-9999	12.37	-1.53	0.579	-9999	0	-9999	0	-9999	-9999
3	16	15	-9999	13.97	0.77	0.605	-9999	0	-9999	0	-9999	-9999
3	17	14	-9999	17.97	2.07	0.572	-9999	0	-9999	0	-9999	-9999
3	18	15	-9999	21.47	5.47	0.519	-9999	0	-9999	0	-9999	-9999
3	19	16	-9999	22.37	6.87	0.535	-9999	0	-9999	0	-9999	-9999
3	20	14	-9999	13.37	4.07	0.799	-9999	0	-9999	0	-9999	-9999
3	21	11	-9999	10.67	1.87	0.765	-9999	0	-9999	0	-9999	-9999
3	22	5	-9999	7.07	1.37	0.792	-9999	0	-9999	0	-9999	-9999
3	23	8	-9999	11.07	2.57	0.885	-9999	0	-9999	0	-9999	-9999
3	24	4	-9999	8.07	4.67	1.002	-9999	0.4	-9999	0	-9999	-9999
3	25	15	-9999	14.37	4.37	0.982	-9999	2.2	-9999	0	-9999	-9999
3	26	2	-9999	7.87	3.37	1.015	-9999	0.8	-9999	0	-9999	-9999
3	27	6	-9999	7.87	2.27	0.962	-9999	13.2	-9999	0	-9999	-9999
3	28	17	-9999	16.97	4.47	0.785	-9999	16.2	-9999	0	-9999	-9999
3	29	6	-9999	8.67	4.37	0.969	-9999	0.8	-9999	0	-9999	-9999
3	30	10	-9999	12.17	2.57	0.935	-9999	3.2	-9999	0	-9999	-9999
3	31	12	-9999	12.47	2.97	0.882	-9999	0	-9999	0	-9999	-9999
4	1	10	-9999	8.47	3.67	0.815	-9999	0	-9999	0	-9999	-9999
4	2	16	-9999	10.47	0.07	0.559	-9999	3.6	-9999	0	-9999	-9999
4	3	19	-9999	12.37	-1.43	0.549	-9999	0	-9999	0	-9999	-9999
4	4	19	-9999	12.17	-0.83	0.505	-9999	0	-9999	0	-9999	-9999
4	5	19	-9999	14.47	-0.23	0.552	-9999	0	-9999	0	-9999	-9999
4	6	16	-9999	12.67	0.97	0.695	-9999	0	-9999	0	-9999	-9999
4	7	2	-9999	5.57	2.97	0.902	-9999	0	-9999	0	-9999	-9999
4	8	2	-9999	3.17	-1.23	0.902	-9999	5.8	-9999	0	-9999	-9999
4	9	7	-9999	5.57	-1.03	0.669	-9999	34.2	-9999	0	-9999	-9999
4	10	18	-9999	11.17	-1.63	0.455	-9999	1	-9999	0	-9999	-9999
4	11	12	-9999	12.07	2.57	0.719	-9999	0	-9999	0	-9999	-9999
4	12	10	-9999	11.17	3.27	0.872	-9999	0	-9999	0	-9999	-9999
4	13	15	-9999	13.37	2.37	0.869	-9999	0	-9999	0	-9999	-9999
4	14	6	-9999	11.57	4.97	0.995	-9999	0	-9999	0	-9999	-9999
4	15	2	-9999	7.67	3.17	1.085	-9999	2.2	-9999	0	-9999	-9999
4	16	2	-9999	3.27	-1.43	0.942	-9999	20.8	-9999	0	-9999	-9999
4	17	17	-9999	7.57	-0.53	0.795	-9999	57.6	-9999	0	-9999	-9999
