Stazione 	Cod. 	Regione 	Prov. 	Comune 	Quota 	Lat. 	Long. 	Rete
TORINO CASELLE 	1 	PIEMONTE 	TO 	CASELLE TORINESE 	301 	45° 11' 	07° 39' 	ENAV
 NOVARA CAMERI 	5 	PIEMONTE 	NO 	CAMERI 	178 	45° 31' 	8° 40' 	AM
 MONDOVI' 	9 	PIEMONTE 	CN 	MONDOVI' 	559 	44° 23' 	7° 49' 	AM
 VERZUOLO 	197 	PIEMONTE 	CN 	VERZUOLO 	420 	44° 35' 	7° 29' 	RAN
 CARPENETO 	198 	PIEMONTE 	AL 	CARPENETO 	230 	44° 40' 	8° 37' 	RAN
 ORIO AL SERIO 	18 	LOMBARDIA 	BG 	ORIO AL SERIO 	238 	45° 40' 	9° 42' 	ENAV
 BRESCIA GHEDI 	19 	LOMBARDIA 	BS 	GHEDI 	102 	45° 25' 	10° 17' 	AM
 PIUBEGA 	199 	LOMBARDIA 	MN 	PIUBEGA 	40 	45° 12' 	10° 31' 	RAN
 SALO' 	511 	LOMBARDIA 	BS 	SALO 	98 	45° 36' 	10° 31' 	RAN
 MONTANASO LOMBARDO 	200 	LOMBARDIA 	LO 	MONTANASO LOMBARDO 	83 	45° 19' 	9° 27' 	RAN
 VIGALZANO 	201 	TRENTINO 	TN 	PERGINE VALSUGANA 	539 	46° 4' 	11° 14' 	RAN
 VERONA VILLAFRANCA 	31 	VENETO 	VR 	VERONA 	67 	45° 28' 	10° 55' 	AM
 VICENZA 	33 	VENETO 	VI 	VICENZA 	39 	45° 34' 	11° 31' 	AM
 SUSEGANA 	202 	VENETO 	TV 	SUSEGANA 	67 	45° 51' 	12° 15' 	RAN
 TREVISO SANT'ANGELO 	36 	VENETO 	TV 	TREVISO 	18 	45° 39' 	12° 11' 	AM
 VENEZIA TESSERA 	38 	VENETO 	VE 	VENEZIA 	2 	45° 30' 	12° 20' 	ENAV
 CIVIDALE 	204 	FRIULI VENEZIA GIULIA 	UD 	CIVIDALE DEL FRIULI 	130 	46° 5' 	13° 25' 	RAN
 TRIESTE 	46 	FRIULI VENEZIA GIULIA 	TS 	TRIESTE 	8 	45° 39' 	13° 47' 	AM
