Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
1	1	0.75	7.27	8.9	5.8	0	6.49	0.6	-9999	0
1	2	0.81	7.99	8.9	7.1	0.19	6.57	0	-9999	0
1	3	0.88	8.29	9.07	6.78	1.22	6.82	0.92	-9999	0
1	4	0.35	7.74	9.42	6.26	0.77	7.13	11.53	-9999	0
1	5	3.39	5.1	8.08	1.93	1.01	5.79	0.1	-9999	0
1	6	1.75	7.75	9.86	5.09	1.29	5.86	2.65	-9999	0
1	7	1.86	6.69	8.01	5.45	1.14	6.51	0	-9999	0
1	8	0.66	6.61	8.57	5.63	1.37	6.24	0.82	-9999	0
1	9	3.99	4.12	6.04	2.73	0.57	4.79	0	-9999	0
1	10	2.9	1.21	4.09	-1.86	0.11	4	0	-9999	0
1	11	4.04	1.05	4.44	-1.27	0.63	3.44	0.2	-9999	0
1	12	4.09	-0.27	1.08	-1.91	0.49	3.23	0	-9999	0
1	13	2.49	1.39	2.64	-0.59	0.81	3.03	0.61	-9999	0
1	14	1.71	2.45	4.21	0.91	0.03	3.76	0	-9999	0
1	15	2.19	2.66	4.3	1.9	0.45	4.36	0	-9999	0
1	16	1.97	4.15	6.61	1.94	0.21	4.65	1.22	-9999	0
1	17	2.82	5.66	8.47	4.28	0.42	5.21	0	-9999	0
1	18	1.35	6.45	8.01	4.68	1.17	5.89	0.2	-9999	0
1	19	1.55	4.18	5.53	2.04	1.3	5.49	0	-9999	0
1	20	0.94	3.8	4.85	1.96	0.54	4.83	0.41	-9999	0
1	21	1.74	5.07	6.66	3.58	0.59	5.34	0.71	-9999	0
1	22	3.5	4.55	6.11	3.68	0.85	5.27	6.12	-9999	0
1	23	2.91	2.14	4.23	-2.77	0.78	5	0.31	-9999	0
1	24	4.82	-2.46	0.48	-5.72	0.09	3.69	0	-9999	0
1	25	3.43	0.02	1.5	-2.21	0.46	2.77	0	-9999	0
1	26	1.92	1.25	2.27	0.08	1.2	2.73	0	-9999	0
1	27	5.79	0.38	3.38	-1.22	0.86	2.82	0	-9999	0
1	28	1.21	1.59	5.32	-1.23	0.79	2.59	0	-9999	0
1	29	0.8	8.53	10.8	4.75	1.07	4.35	7.34	-9999	0
1	30	1.2	9.95	10.93	8.54	1.51	6.29	4.08	-9999	0
1	31	2.02	10.35	11.45	9.4	2.43	7.05	0	-9999	0
2	1	2.26	8.71	9.74	8	2.04	7.15	0	-9999	0
2	2	4.22	6.58	7.89	5.51	0.86	6.81	5.51	-9999	0
2	3	3.6	6.31	7.23	5.31	1.49	5.83	0	-9999	0
2	4	3.52	7.51	9.44	6.54	1.53	6.52	3.06	-9999	0
2	5	6.33	8.65	12.23	5.18	3.98	6.48	0	-9999	0
2	6	2.22	8.19	10.17	5.53	1.95	6.36	0.51	-9999	0
2	7	3.44	7.96	9.67	6.43	1.29	6.9	5.2	-9999	0
2	8	1.31	9.25	12.86	5.77	2.16	7.19	9.38	-9999	0
2	9	3.83	6.48	7.61	5.61	2.5	6.48	0	-9999	0
2	10	2.05	6.16	7.84	4.27	1.83	6.11	7.75	-9999	0
2	11	8.17	4.73	7.72	1.91	1.87	5.17	0	-9999	0
2	12	3.58	4.87	7.01	2.6	1.39	4.83	1.84	-9999	0
2	13	7.34	6.04	7.28	3.39	1.97	5.32	0	-9999	0
2	14	7	4.77	8.54	0.04	1.23	4.54	4.59	-9999	0
2	15	3.76	7.08	8.3	5.36	1.31	6.15	1.63	-9999	0
2	16	3.65	3.44	5.29	0.06	1.47	5.2	8.87	-9999	0
2	17	6.96	3.39	5.12	2.15	1.73	4.47	0	-9999	0
2	18	2.95	5.39	8.46	0.54	1.24	4.95	3.88	-9999	0
2	19	5.73	5.07	6.74	3.09	1.38	5.68	3.47	-9999	0
2	20	6.92	3.3	6.42	1.25	1.25	4.74	1.33	-9999	0
2	21	5.38	2.99	6.04	-1.02	0.78	4.21	0.31	-9999	0
2	22	4.82	4.02	7.02	2.52	0.49	5.26	0	-9999	0
2	23	6.83	6.1	10.36	1.52	1.55	5.19	0.1	-9999	0
2	24	3.36	8.09	10.43	4.63	1.63	6.76	4.9	-9999	0
2	25	8.85	5.97	11.03	3.5	1.42	6.45	6.83	-9999	0
2	26	11.02	4.3	8.11	0.41	2.41	4.88	0	-9999	0
2	27	9.65	7.68	14.12	0.48	3.65	4.95	0	-9999	0
2	28	1.68	9.54	14.05	5.72	2.32	6.78	5.1	-9999	0
3	1	7.91	5.1	6.62	3.18	0.86	6.26	3.37	-9999	0
3	2	5.12	4.52	6.74	1.44	1	5.37	2.96	-9999	0
3	3	3.59	6.49	9.05	2.46	0.61	6.55	17.24	-9999	0
3	4	7.76	2.13	3.9	0.02	1.43	5.27	2.24	-9999	0
3	5	6.28	3.66	6.91	0.52	1.56	4.44	0	-9999	0
3	6	8.6	6.41	9.21	3.3	2.78	5.19	0	-9999	0
3	7	6.23	9.14	12.54	7.3	1.38	6.8	2.55	-9999	0
3	8	1.51	10.73	12.19	9.27	0.56	7.78	6.02	-9999	0
3	9	2.68	11.21	12.61	8.94	1.56	8.54	0.61	-9999	0
3	10	2.6	8.25	10.91	5.69	1.01	8.07	0	-9999	0
3	11	7.35	8.52	10.12	5.39	1.72	8.18	0	-9999	0
3	12	9.83	7.57	11.06	4.2	2.01	7.22	0	-9999	0
3	13	4.8	7.79	9.75	4.84	1	7.27	0	-9999	0
3	14	2.93	8.42	10.95	4.89	1.34	7.79	1.94	-9999	0
3	15	9.96	5.92	7.99	4.08	2.91	6.7	0	-9999	0
3	16	6.07	8.07	9.94	7.22	1.46	7.51	0.1	-9999	0
3	17	4.15	7.53	9.78	5.45	1.18	7.33	0	-9999	0
3	18	6.3	6.67	8.03	4.57	1.64	7.34	1.94	-9999	0
3	19	7.44	6.21	8.44	4.48	1.09	7.17	0.51	-9999	0
3	20	11.79	5.45	10.16	1.17	1.36	6.69	0	-9999	0
3	21	13.82	6.51	11.74	1.46	1.76	7.15	0.1	-9999	0
3	22	15	9.02	15.2	2.84	3.84	7.14	0	-9999	0
3	23	13.38	11.17	16.04	5.8	4.61	7.36	0	-9999	0
3	24	3.96	10.31	11.73	8.9	1.91	8.17	4.69	-9999	0
3	25	7.77	10.07	12.22	7.18	2.75	8.25	0.71	-9999	0
3	26	9.25	6.03	9.06	4.81	1.03	7.74	4.18	-9999	0
3	27	7.01	5.58	8.09	3.95	0.86	7.39	0.31	-9999	0
3	28	3.07	3.81	5.04	2.35	0.91	6.64	0.31	-9999	0
3	29	2.71	5.36	7.22	3.24	0.67	6.57	0.31	-9999	0
3	30	2.28	6.41	7.15	5.77	1.13	6.95	0	-9999	0
3	31	5.16	6.51	8.19	5.14	1.29	7.03	0.1	-9999	0
4	1	9.48	6.95	9.8	5.18	2	7.5	0.82	-9999	0
4	2	13.19	10.19	14.25	5.91	3.75	8.19	0.1	-9999	0
4	3	10.71	11.97	16.57	7.52	5.21	8.66	0.31	-9999	0
4	4	18.7	10.49	14.4	5.47	2.98	9.37	0	-9999	0
4	5	10.05	4.52	6.85	2.29	2.5	8.13	0.41	-9999	0
4	6	17.96	4.96	10.23	-0.38	3	6.81	0	-9999	0
4	7	20.3	7.44	12.38	2.1	3.64	7.02	0	-9999	0
4	8	15.72	8.75	13.81	3.63	5.14	7.25	0	-9999	0
4	9	17.99	10.41	15.02	6.17	5.48	8.19	0	-9999	0
4	10	21.95	6.84	10.93	2.58	4.1	7.66	0	-9999	0
4	11	14.36	6.62	10.59	0.91	3.95	7.03	0	-9999	0
4	12	6.98	5.4	8.14	3.21	1.59	7.28	6.73	-9999	0
4	13	5.81	5.17	7.67	3.17	0.86	6.81	7.24	-9999	0
4	14	14.4	7.6	10.76	4.71	2.32	7.71	1.63	-9999	0
4	15	6.17	8.62	12.03	5.95	2.41	8.17	0.82	-9999	0
4	16	18.85	8.93	13.59	5.01	3.73	8.58	0	-9999	0
4	17	14.91	10.4	13.26	8.65	3.22	9.25	1.94	-9999	0
4	18	13.66	10.94	14.25	7.23	4.15	8.94	0	-9999	0
4	19	14.35	11.78	15.08	6.68	4.03	9.12	0	-9999	0
4	20	9.22	12.99	17.42	7.52	4.46	9.54	0	-9999	0
4	21	18.98	14.19	17.26	10.38	5.89	10.86	0.92	-9999	0
4	22	5.93	13.36	16.51	10.26	2.52	10.75	6.32	-9999	0
4	23	3.48	10.59	12.85	9.37	0.22	10.8	5.71	-9999	0
4	24	16.44	11.87	16.6	8.11	3.71	10.62	0	-9999	0
4	25	18.12	14.44	19.63	7.81	6.5	10.95	0	-9999	0
4	26	13.08	15.3	19.9	12.29	5	11.67	0.2	-9999	0
4	27	10.16	14.55	17.73	11.22	3.13	11.92	0.2	-9999	0
4	28	18.16	16.04	21.5	12.35	4.2	12.77	0.1	-9999	0
4	29	4.64	11.86	13.24	10.37	1.36	12.05	1.12	-9999	0
4	30	9.99	13.28	17.53	10.61	2.51	11.83	0	-9999	0
5	1	8.87	13.46	17.34	11.45	2.09	11.96	0	-9999	0
5	2	3.71	10.46	11.31	9.38	0.26	11.49	0	-9999	0
5	3	4.48	10.65	12.96	9	0.33	11.17	0.31	-9999	0
5	4	12.24	13.39	19.5	10.49	2.06	11.93	0.1	-9999	0
5	5	22.87	17.72	25.06	8.97	9.2	12.77	0	-9999	0
5	6	18.89	20.37	25.91	15.12	11.49	13.57	0	-9999	0
5	7	18.56	18.26	23.26	13.69	5.83	13.93	6.83	-9999	0
5	8	18.96	19.63	25.21	13.88	7.07	14.48	0.1	-9999	0
5	9	20.94	20.7	26.12	14.69	9.67	14.97	0	-9999	0
5	10	12.81	18.6	26.28	15.37	5.08	14.85	23.66	-9999	0
5	11	8.09	18.12	21.83	15.23	5.88	14.61	0.1	-9999	0
5	12	17.87	18.04	22.9	12.9	5.63	15.17	0	-9999	0
5	13	15.87	18.17	23.46	13.46	4.61	15.35	0	-9999	0
5	14	23.05	20.83	26.61	14.36	11.44	15.45	0	-9999	0
5	15	25.87	22.15	27.03	15.55	14.62	15.65	0	-9999	0
5	16	20.21	20.79	27.54	14.85	8.68	16.01	4.9	-9999	0
5	17	18.83	13.55	15.79	10.66	4.25	15.18	6.12	-9999	0
5	18	15.52	10.88	14.06	8.86	2.94	13.71	8.06	-9999	0
5	19	10.14	9.8	12.58	7.24	1.56	12.79	4.59	-9999	0
5	20	25.73	11.64	14.97	8.24	4.19	13.03	0.1	-9999	0
5	21	5.45	10.09	11.04	9.15	0.73	12.46	13.26	-9999	0
5	22	13.56	11.86	14.81	9.32	2.06	12.79	2.24	-9999	0
5	23	14.5	14.18	18.78	8.77	3.72	13.19	0.92	-9999	0
5	24	13.55	14.39	18.47	12.62	2.03	14.28	13.67	-9999	0
5	25	15.31	13.22	14.95	10.62	3.26	14.07	3.77	-9999	0
5	26	17.43	13.9	18.49	8.64	5.26	13.55	2.65	-9999	0
5	27	19.63	12.22	17.49	8.46	4.68	13.74	1.84	-9999	0
5	28	8.64	10.04	12.02	8.71	1.89	12.44	13.26	-9999	0
5	29	22.82	11.04	13.76	8.42	3.6	12.5	5.41	-9999	0
5	30	10.39	10.79	13.95	7.45	2.61	12.18	0.1	-9999	0
5	31	19.32	13.66	17.7	8.13	5.74	12.81	0	-9999	0
6	1	14.22	15.5	18.57	12.28	3.91	13.68	0.2	-9999	0
6	2	23.23	17.02	22.51	13.12	4.78	14.7	0	-9999	0
6	3	19.08	19.07	26.84	12.89	5.6	15.44	12.04	-9999	0
6	4	19.58	16.93	20.09	12.54	4.06	16.37	0	-9999	0
6	5	4.13	11.79	12.66	10.9	0.8	13.9	10.4	-9999	0
6	6	21.11	13.39	17.4	11.18	3.18	14.5	3.47	-9999	0
6	7	24.16	13.18	15.32	11.25	4.49	14.48	0	-9999	0
6	8	29.65	16.86	22.46	8.89	9.35	14.59	0	-9999	0
6	9	27.69	21.06	28.25	14.3	9.9	16.3	0	-9999	0
6	10	19.01	16.16	20.01	12.76	3.72	16.37	0	-9999	0
6	11	17.95	14.46	17.91	10.42	4.34	15.13	0	-9999	0
6	12	24.67	15.99	20.29	10.88	4.49	15.4	0	-9999	0
6	13	26.98	18.13	22.87	14.15	4.77	16.45	0	-9999	0
6	14	14.93	17.45	20.29	14.37	3.79	16.42	0	-9999	0
6	15	17.21	15.72	18.34	12.38	3.84	16.13	1.02	-9999	0
6	16	25.26	14.66	18.91	10.84	6.66	15.33	0	-9999	0
6	17	29.83	16.23	22.14	9.01	9.62	15.09	0	-9999	0
6	18	28.82	22.21	28.87	13.52	15.45	16.06	0	-9999	0
6	19	28.92	25.85	31.53	17.52	16.84	17.65	0	-9999	0
6	20	26.62	26.36	31.13	19.83	16.18	18.67	0	-9999	0
6	21	15.77	20.67	23.7	16.88	7.05	18.18	1.63	-9999	0
6	22	14.91	16.28	18.15	13.93	5	16.96	2.04	-9999	0
6	23	8.18	15.12	17.66	11.08	3.73	15.98	4.69	-9999	0
6	24	5.92	11.91	13.22	10.89	0.59	14.72	20.81	-9999	0
6	25	15.5	12.27	14.23	10.6	2.29	14.7	5.1	-9999	0
6	26	18.21	12.45	14.95	10.43	4.17	14.61	0	-9999	0
6	27	22.6	13.56	17.03	9.34	4.76	14.35	0	-9999	0
6	28	22.96	12.67	16.48	8.17	4.27	14.23	0	-9999	0
6	29	7.71	11.99	13.24	9.54	2.3	13.39	0	-9999	0
6	30	18.01	14.72	19.02	11.45	3.53	14.47	0.31	-9999	0
7	1	12.13	15.55	20.27	11.81	2.41	14.84	1.73	-9999	0
7	2	17.58	19.06	23.67	15.32	4.21	16.28	2.86	-9999	0
7	3	15.53	18.11	22.28	14.58	3.63	16.53	5.41	-9999	0
7	4	15.56	17.16	21.82	13.6	2.45	16.41	6.43	-9999	0
7	5	13.2	15.29	18.44	13.44	1.22	16.39	5.51	-9999	0
7	6	12.19	16.25	19.4	13.99	2.84	16.26	0.1	-9999	0
7	7	5.64	13.65	15.26	10.99	2.27	15.29	1.02	-9999	0
7	8	10.74	12.5	15.74	9.04	2.42	14.26	1.12	-9999	0
7	9	5.75	13.19	15.66	11.93	0.6	14.35	4.18	-9999	0
7	10	16.2	14.61	17.35	11.81	3.19	15.15	8.26	-9999	0
7	11	6.7	12.06	13.54	9.91	0.4	14.52	9.59	-9999	0
7	12	17.11	12.19	15.77	8.99	2.86	13.74	5.3	-9999	0
7	13	7.28	14.39	16.84	12.85	1.51	14.44	0.61	-9999	0
7	14	17.32	13.65	15.22	11.07	2.48	14.94	3.88	-9999	0
7	15	17.73	12.49	15.19	9.75	2.11	14.66	6.73	-9999	0
7	16	12.75	12.95	15.82	11.23	1.18	14.73	0.41	-9999	0
7	17	5.48	12.8	14.06	11.07	1.29	14.31	0.1	-9999	0
7	18	23.9	13.48	16.42	10.23	3.27	14.47	0	-9999	0
7	19	21.2	16.58	19.45	12.77	5.13	15.46	0	-9999	0
7	20	26.22	17.68	20.96	13.34	6.44	16	0	-9999	0
7	21	6.15	13.89	15.15	12.05	1.61	14.96	0	-9999	0
7	22	7.94	14.08	17.27	10.97	1.65	14.49	0	-9999	0
7	23	18.47	16.33	21.22	12.82	3.19	15.25	0	-9999	0
7	24	13.27	17.02	21.85	13.86	2.1	15.81	17.85	-9999	0
7	25	3.45	14.72	15.94	14.09	0.67	15.61	6.43	-9999	0
7	26	5.72	15.02	17.43	12.82	1.85	15	0	-9999	0
7	27	7.72	15.59	19.58	12.39	1.67	15.04	11.42	-9999	0
7	28	13.43	16.32	19.53	13.67	2.38	15.71	4.59	-9999	0
7	29	12.5	16.42	19.99	13.91	1.99	15.75	18.46	-9999	0
7	30	15.29	16.85	21.05	13.57	2.48	16.02	0.51	-9999	0
7	31	21.89	18.48	24.12	13.34	5.62	16.62	0	-9999	0
8	1	21.55	21.24	26.87	15.88	8.58	17.35	7.85	-9999	0
8	2	17.42	17.56	20.9	13.89	5.19	16.96	0.92	-9999	0
8	3	17.8	16.69	20.78	14.39	4.23	16.59	2.65	-9999	0
