Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip 	SWC	LAI 
1	1	5	-9999	2.27	-3.03	0.502	-9999	2	-9999	0
1	2	2	-9999	-0.33	-4.13	0.507	-9999	3.4	-9999	0
1	3	5	-9999	-0.63	-6.63	0.459	-9999	1	-9999	0
1	4	6	-9999	-1.13	-7.93	0.472	-9999	0	-9999	0
1	5	6	-9999	5.47	-5.23	0.393	-9999	0	-9999	0
1	6	1	-9999	-1.03	-4.23	0.451	-9999	0	-9999	0
1	7	4	-9999	1.97	-6.33	0.483	-9999	0	-9999	0
1	8	3	-9999	-0.13	-5.13	0.512	-9999	0	-9999	0
1	9	4	-9999	1.67	-2.53	0.503	-9999	1.8	-9999	0
1	10	4	-9999	8.07	-0.53	0.432	-9999	0.4	-9999	0
1	11	5	-9999	4.77	-1.43	0.439	-9999	0	-9999	0
1	12	3	-9999	4.37	-0.63	0.486	-9999	0	-9999	0
1	13	2	-9999	4.37	-0.53	0.557	-9999	5	-9999	0
1	14	6	-9999	9.37	0.87	0.464	-9999	6.8	-9999	0
1	15	6	-9999	3.37	-3.83	0.41	-9999	0.2	-9999	0
1	16	6	-9999	4.07	-4.93	0.407	-9999	0	-9999	0
1	17	6	-9999	2.57	-3.43	0.464	-9999	0	-9999	0
1	18	1	-9999	0.97	-4.13	0.507	-9999	1	-9999	0
1	19	6	-9999	2.97	-5.53	0.483	-9999	0	-9999	0
1	20	6	-9999	8.67	-3.93	0.416	-9999	0	-9999	0
1	21	6	-9999	6.57	-4.03	0.477	-9999	0	-9999	0
1	22	3	-9999	-1.23	-4.13	0.477	-9999	0	-9999	0
1	23	1	-9999	-2.93	-4.63	0.463	-9999	0	-9999	0
1	24	2	-9999	-3.43	-5.23	0.429	-9999	0	-9999	0
1	25	7	-9999	4.47	-6.53	0.416	-9999	0	-9999	0
1	26	3	-9999	-2.33	-6.13	0.48	-9999	0	-9999	0
1	27	6	-9999	2.07	-7.53	0.446	-9999	0	-9999	0
1	28	5	-9999	1.17	-6.93	0.375	-9999	0	-9999	0
1	29	7	-9999	-1.93	-7.73	0.368	-9999	0	-9999	0
1	30	8	-9999	2.47	-9.13	0.361	-9999	0	-9999	0
1	31	7	-9999	3.87	-6.93	0.383	-9999	0	-9999	0
2	1	6	-9999	6.77	-3.83	0.437	-9999	0	-9999	0
2	2	7	-9999	6.97	-3.03	0.484	-9999	0	-9999	0
2	3	7	-9999	13.37	3.37	0.44	-9999	0	-9999	0
2	4	8	-9999	14.47	3.07	0.455	-9999	0	-9999	0
2	5	8	-9999	13.07	3.17	0.525	-9999	0	-9999	0
2	6	8	-9999	9.37	-0.03	0.561	-9999	0	-9999	0
2	7	5	-9999	7.27	-1.23	0.537	-9999	0	-9999	0
2	8	9	-9999	8.37	-0.53	0.398	-9999	0	-9999	0
2	9	9	-9999	8.87	-1.13	0.407	-9999	0	-9999	0
2	10	9	-9999	5.37	-2.73	0.427	-9999	0	-9999	0
2	11	9	-9999	10.67	-2.63	0.448	-9999	0	-9999	0
2	12	8	-9999	6.47	-1.43	0.506	-9999	0	-9999	0
2	13	7	-9999	2.97	-3.03	0.472	-9999	0	-9999	0
