daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 46.15, Long  = 8.45


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR    MONTH      DAY   GPP(0) GPP(tot)   NPP(0) NPP(tot)    ET(0)  ET(tot)   LAI(0)    CC(0) DEADTREE(0) DEADTREE(tot)

-1995        1        1    0.113    0.113 0.000541 0.000541  0.00678  0.00678    0.141      205      445      445 
-1995        1        2  0.00949  0.00949 4.56e-05 4.56e-05   0.0102   0.0102    0.185       76        0        0 
-1995        1        3   0.0345   0.0345 0.000166 0.000166   0.0111   0.0111    0.185       76        0        0 
-1995        1        4        0        0        0        0   0.0111   0.0111    0.185       76        0        0 
-1995        1        5        0        0        0        0   0.0111   0.0111    0.185       76        0        0 
-1995        1        6        0        0        0        0   0.0111   0.0111    0.185       76        0        0 
-1995        1        7        0        0        0        0   0.0111   0.0111    0.185       76        0        0 
-1995        1        8   0.0144   0.0144 6.93e-05 6.93e-05   0.0111   0.0111    0.185       76        0        0 
-1995        1        9        0        0        0        0   0.0111   0.0111    0.185       76        0        0 
-1995        1       10   0.0621   0.0621 0.000298 0.000298  0.00444  0.00444    0.185       76        0        0 
-1995        1       11    0.136    0.136 0.000653 0.000653   0.0117   0.0117    0.185       76        0        0 
-1995        1       12    0.011    0.011 5.29e-05 5.29e-05  0.00702  0.00702    0.185       76        0        0 
-1995        1       13   0.0748   0.0748 0.000359 0.000359    0.014    0.014    0.185       76        0        0 
-1995        1       14   0.0813   0.0813  0.00039  0.00039    0.014    0.014    0.185       76        0        0 
-1995        1       15        0        0        0        0    0.014    0.014    0.185       76        0        0 
-1995        1       16   0.0928   0.0928 0.000446 0.000446    0.014    0.014    0.185       76        0        0 
-1995        1       17    0.177    0.177 0.000852 0.000852   0.0163   0.0163    0.185       76        0        0 
-1995        1       18        0        0        0        0  0.00233  0.00233    0.185       76        0        0 
-1995        1       19    0.144    0.144 0.000694 0.000694   0.0116   0.0116    0.185       76        0        0 
-1995        1       20   0.0411   0.0411 0.000198 0.000198  0.00698  0.00698    0.185       76        0        0 
-1995        1       21    0.135    0.135  0.00065  0.00065   0.0142   0.0142    0.185       76        0        0 
-1995        1       22    0.205    0.205 0.000984 0.000984   0.0165   0.0165    0.185       76        0        0 
-1995        1       23    0.039    0.039 0.000187 0.000187  0.00472  0.00472    0.185       76        0        0 
-1995        1       24    0.219    0.219  0.00105  0.00105    0.017    0.017    0.185       76        0        0 
-1995        1       25    0.184    0.184 0.000885 0.000885   0.0146   0.0146    0.185       76        0        0 
-1995        1       26   0.0212   0.0212 0.000102 0.000102  0.00259  0.00259    0.185       76        0        0 
-1995        1       27    0.187    0.187 0.000898 0.000898   0.0215   0.0215    0.185       76        0        0 
-1995        1       28    0.152    0.152 0.000731 0.000731   0.0164   0.0164    0.185       76        0        0 
-1995        1       29    0.305    0.305  0.00147  0.00147   0.0218   0.0218    0.185       76        0        0 
-1995        1       30    0.147    0.147 0.000708 0.000708   0.0109   0.0109    0.185       76        0        0 
-1995        1       31    0.384    0.384  0.00185  0.00185   0.0218   0.0218    0.186       76        0        0 
-1995        2        1    0.238    0.238  0.00114  0.00114   0.0191   0.0191    0.186       76        0        0 
-1995        2        2    0.241    0.241  0.00116  0.00116   0.0164   0.0164    0.186       76        0        0 
-1995        2        3    0.317    0.317  0.00152  0.00152   0.0191   0.0191    0.186       76        0        0 
-1995        2        4    0.156    0.156 0.000749 0.000749   0.0136   0.0136    0.186       76        0        0 
-1995        2        5    0.496    0.496  0.00238  0.00238   0.0218   0.0218    0.186       76        0        0 
-1995        2        6    0.322    0.322  0.00155  0.00155   0.0164   0.0164    0.186       76        0        0 
-1995        2        7    0.482    0.482  0.00231  0.00231   0.0218   0.0218    0.186       76        0        0 
-1995        2        8   0.0681   0.0681 0.000327 0.000327  0.00545  0.00545    0.186       76        0        0 
-1995        2        9    0.365    0.365  0.00175  0.00175   0.0191   0.0191    0.186       76        0        0 
-1995        2       10    0.381    0.381  0.00183  0.00183   0.0218   0.0218    0.186       76        0        0 
-1995        2       11   0.0751   0.0751  0.00036  0.00036  0.00817  0.00817    0.186       76        0        0 
-1995        2       12    0.291    0.291   0.0014   0.0014   0.0195   0.0195    0.187       76        0        0 
-1995        2       13    0.021    0.021 0.000101 0.000101  0.00279  0.00279    0.186       76        0        0 
-1995        2       14    0.492    0.492  0.00236  0.00236   0.0297   0.0297    0.187       76        0        0 
-1995        2       15    0.536    0.536  0.00257  0.00257   0.0288   0.0288    0.187       76        0        0 
-1995        2       16    0.554    0.554  0.00266  0.00266    0.032    0.032    0.187       76        0        0 
-1995        2       17    0.625    0.625    0.003    0.003   0.0322   0.0322    0.187       76        0        0 
-1995        2       18    0.609    0.609  0.00293  0.00293    0.036    0.036    0.188       76        0        0 
-1995        2       19     0.57     0.57  0.00274  0.00274    0.033    0.033    0.188       76        0        0 
-1995        2       20     0.65     0.65  0.00312  0.00312   0.0363   0.0363    0.188       76        0        0 
-1995        2       21    0.588    0.588  0.00283  0.00283    0.033    0.033    0.188       76        0        0 
-1995        2       22    0.131    0.131  0.00063  0.00063  0.00992  0.00992    0.188       76        0        0 
-1995        2       23    0.245    0.245  0.00118  0.00118   0.0239   0.0239    0.189       76        0        0 
-1995        2       24   0.0659   0.0659 0.000316 0.000316   0.0171   0.0171    0.189       76        0        0 
-1995        2       25   0.0552   0.0552 0.000265 0.000265  0.00684  0.00684    0.189       76        0        0 
-1995        2       26    0.171    0.171  0.00082  0.00082   0.0208   0.0208    0.189       76        0        0 
-1995        2       27    0.614    0.614  0.00295  0.00295   0.0455   0.0455    0.189       76        0        0 
-1995        2       28    0.619    0.619  0.00297  0.00297   0.0421   0.0421    0.189       76        0        0 
-1995        3        1      0.7      0.7  0.00336  0.00336    0.042    0.042     0.19       76        0        0 
-1995        3        2    0.616    0.616  0.00296  0.00296    0.035    0.035     0.19       76        0        0 
-1995        3        3    0.383    0.383  0.00184  0.00184    0.028    0.028     0.19       76        0        0 
-1995        3        4    0.114    0.114 0.000549 0.000549   0.0141   0.0141     0.19       76        0        0 
-1995        3        5    0.508    0.508  0.00244  0.00244   0.0424   0.0424     0.19       76        0        0 
-1995        3        6    0.594    0.594  0.00285  0.00285   0.0496   0.0496    0.191       76        0        0 
-1995        3        7    0.675    0.675  0.00324  0.00324   0.0534   0.0534    0.191       76        0        0 
-1995        3        8        0        0        0        0  0.00708  0.00708    0.191       76        0        0 
-1995        3        9    0.721    0.721  0.00346  0.00346   0.0531   0.0531    0.191       76        0        0 
-1995        3       10    0.641    0.641  0.00308  0.00308    0.046    0.046    0.192       76        0        0 
-1995        3       11    0.815    0.815  0.00391  0.00391   0.0459   0.0459    0.192       76        0        0 
-1995        3       12    0.778    0.778  0.00374  0.00374   0.0459   0.0459    0.192       76        0        0 
-1995        3       13   0.0912   0.0912 0.000438 0.000438   0.0106   0.0106    0.192       76        0        0 
-1995        3       14     0.76     0.76  0.00365  0.00365   0.0496   0.0496    0.193       76        0        0 
-1995        3       15    0.132    0.132 0.000636 0.000636   0.0213   0.0213    0.193       76        0        0 
-1995        3       16    0.864    0.864  0.00415  0.00415    0.057    0.057    0.193       76        0        0 
-1995        3       17     0.58     0.58  0.00278  0.00278   0.0466   0.0466    0.194       76        0        0 
-1995        3       18    0.868    0.868  0.00417  0.00417   0.0427   0.0427    0.194       76        0        0 
-1995        3       19     1.08     1.08  0.00517  0.00517    0.053    0.053    0.195       76        0        0 
-1995        3       20    0.663    0.663  0.00319  0.00319   0.0469   0.0469    0.195       76        0        0 
-1995        3       21    0.845    0.845  0.00406  0.00406   0.0656   0.0656    0.195       76        0        0 
-1995        3       22     1.28     1.28  0.00615  0.00615   0.0658   0.0658    0.196       76        0        0 
-1995        3       23     1.28     1.28  0.00615  0.00615   0.0619   0.0619    0.197       76        0        0 
-1995        3       24     1.43     1.43  0.00687  0.00687   0.0616   0.0616    0.197       76        0        0 
-1995        3       25      1.3      1.3  0.00624  0.00624   0.0578   0.0578    0.198       76        0        0 
-1995        3       26     1.36     1.36  0.00651  0.00651   0.0584   0.0584    0.199       76        0        0 
-1995        3       27    0.877    0.877  0.00421  0.00421   0.0439   0.0439    0.199       76        0        0 
-1995        3       28    0.859    0.859  0.00412  0.00412    0.071    0.071      0.2       76        0        0 
-1995        3       29    0.312    0.312   0.0015   0.0015   0.0334   0.0334      0.2       76        0        0 
-1995        3       30    0.594    0.594  0.00285  0.00285   0.0749   0.0749      0.2       76        0        0 
-1995        3       31     1.24     1.24  0.00594  0.00594   0.0712   0.0712    0.201       76        0        0 
-1995        4        1     1.75     1.75  0.00841  0.00841   0.0742   0.0742    0.202       76        0        0 
-1995        4        2     1.57     1.57  0.00752  0.00752   0.0671   0.0671    0.203       76        0        0 
-1995        4        3      1.6      1.6   0.0077   0.0077    0.067    0.067    0.203       76        0        0 
-1995        4        4     1.58     1.58   0.0076   0.0076   0.0664   0.0664    0.204       76        0        0 
-1995        4        5     1.68     1.68  0.00808  0.00808   0.0702   0.0702    0.205       76        0        0 
-1995        4        6     1.68     1.68  0.00809  0.00809   0.0708   0.0708    0.206       76        0        0 
-1995        4        7     1.66     1.66  0.00799  0.00799   0.0713   0.0713    0.207       76        0        0 
