daily output file at cell level

Daily summary output from 3D-CMCC FEM
Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)



-YEAR      MONTH        DAY        GPP        NPP         ET

-2007          1          1          0          0          0
-2007          1          2          0          0          0
-2007          1          3          0          0          0
-2007          1          4          0          0          0
-2007          1          5          0          0          0
-2007          1          6          0          0          0
-2007          1          7          0          0          0
-2007          1          8          0          0          0
-2007          1          9          0          0          0
-2007          1         10          0          0          0
-2007          1         11          0          0          0
-2007          1         12          0          0          0
-2007          1         13          0          0          0
-2007          1         14          0          0          0
-2007          1         15          0          0          0
-2007          1         16          0          0          0
-2007          1         17          0          0          0
-2007          1         18          0          0          0
-2007          1         19          0          0          0
-2007          1         20          0          0          0
-2007          1         21          0          0          0
-2007          1         22          0          0          0
-2007          1         23          0          0          0
-2007          1         24          0          0          0
-2007          1         25          0          0          0
-2007          1         26          0          0          0
-2007          1         27          0          0          0
-2007          1         28          0          0          0
-2007          1         29          0          0          0
-2007          1         30          0          0          0
-2007          1         31          0          0          0
-2007          2          1          0          0          0
-2007          2          2          0          0          0
-2007          2          3          0          0          0
-2007          2          4          0          0          0
-2007          2          5          0          0          0
-2007          2          6          0          0          0
-2007          2          7          0          0          0
-2007          2          8          0          0          0
-2007          2          9          0          0          0
-2007          2         10          0          0          0
-2007          2         11          0          0          0
-2007          2         12          0          0          0
-2007          2         13          0          0          0
-2007          2         14          0          0          0
-2007          2         15          0          0          0
-2007          2         16          0          0          0
-2007          2         17          0          0          0
-2007          2         18          0          0          0
-2007          2         19          0          0          0
-2007          2         20          0          0          0
-2007          2         21          0          0          0
-2007          2         22          0          0          0
-2007          2         23          0          0          0
-2007          2         24          0          0          0
-2007          2         25          0          0          0
-2007          2         26          0          0          0
-2007          2         27          0          0          0
-2007          2         28          0          0          0
-2007          3          1          0          0          0
-2007          3          2          0          0          0
-2007          3          3          0          0          0
-2007          3          4          0          0          0
-2007          3          5          0          0          0
-2007          3          6          0          0          0
-2007          3          7          0          0          0
-2007          3          8          0          0          0
-2007          3          9          0          0          0
-2007          3         10          0          0          0
-2007          3         11          0          0          0
-2007          3         12          0          0          0
-2007          3         13          0          0          0
-2007          3         14          0          0          0
-2007          3         15          0          0          0
-2007          3         16          0          0          0
-2007          3         17          0          0          0
-2007          3         18          0          0          0
-2007          3         19          0          0          0
-2007          3         20          0          0          0
-2007          3         21          0          0          0
-2007          3         22          0          0          0
-2007          3         23          0          0          0
-2007          3         24          0          0          0
-2007          3         25          0          0          0
-2007          3         26          0          0          0
-2007          3         27          0          0          0
-2007          3         28          0          0          0
-2007          3         29          0          0          0
-2007          3         30          0          0          0
-2007          3         31          0          0          0
-2007          4          1          0          0          0
-2007          4          2          0          0          0
-2007          4          3          0          0          0
-2007          4          4          0          0          0
-2007          4          5          0          0          0
-2007          4          6          0          0          0
-2007          4          7          0          0          0
-2007          4          8          0          0          0
-2007          4          9          0          0          0
-2007          4         10          0          0          0
-2007          4         11          0          0          0
-2007          4         12          0          0          0
-2007          4         13          0          0          0
-2007          4         14          0          0          0
-2007          4         15          0          0          0
-2007          4         16          0          0          0
-2007          4         17          0          0          0
-2007          4         18          0          0          0
-2007          4         19          0          0          0
-2007          4         20          0          0          0
-2007          4         21          0          0          0
-2007          4         22          0          0          0
-2007          4         23          0          0          0
-2007          4         24          0          0          0
-2007          4         25          0          0          0
-2007          4         26          0          0          0
-2007          4         27          0          0          0
-2007          4         28          0          0          0
-2007          4         29          0          0          0
-2007          4         30          0          0          0
-2007          5          1          0          0          0
-2007          5          2          0          0          0
-2007          5          3          0          0          0
-2007          5          4          0          0          0
-2007          5          5          0          0          0
-2007          5          6          0          0          0
-2007          5          7          0          0          0
