daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY     GPP(0)   GPP(tot)     NPP(0)   NPP(tot)      ET(0)    ET(tot)     LAI(0)

-2001          1          1          0          0          0          0          0          0          0 
-2001          1          2          0          0          0          0          0          0          0 
-2001          1          3          0          0          0          0          0          0          0 
-2001          1          4          0          0          0          0          0          0          0 
-2001          1          5          0          0          0          0          0          0          0 
-2001          1          6          0          0          0          0          0          0          0 
-2001          1          7          0          0          0          0          0          0          0 
-2001          1          8          0          0          0          0          0          0          0 
-2001          1          9          0          0          0          0          0          0          0 
-2001          1         10          0          0          0          0          0          0          0 
-2001          1         11          0          0          0          0          0          0          0 
-2001          1         12          0          0          0          0          0          0          0 
-2001          1         13          0          0          0          0          0          0          0 
-2001          1         14          0          0          0          0          0          0          0 
-2001          1         15          0          0          0          0          0          0          0 
-2001          1         16          0          0          0          0          0          0          0 
-2001          1         17          0          0          0          0          0          0          0 
-2001          1         18          0          0          0          0          0          0          0 
-2001          1         19          0          0          0          0          0          0          0 
-2001          1         20          0          0          0          0          0          0          0 
-2001          1         21          0          0          0          0          0          0          0 
-2001          1         22          0          0          0          0          0          0          0 
-2001          1         23          0          0          0          0          0          0          0 
-2001          1         24          0          0          0          0          0          0          0 
-2001          1         25          0          0          0          0          0          0          0 
-2001          1         26          0          0          0          0          0          0          0 
-2001          1         27          0          0          0          0          0          0          0 
-2001          1         28          0          0          0          0          0          0          0 
-2001          1         29          0          0          0          0          0          0          0 
-2001          1         30          0          0          0          0          0          0          0 
-2001          1         31          0          0          0          0          0          0          0 
-2001          2          1          0          0          0          0          0          0          0 
-2001          2          2          0          0          0          0          0          0          0 
