daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY        GPP        NPP         ET        LAI       F_SW      F_PSI        F_T      F_VPD

-2001          1          1   0.471516 0.00239491  0.0332939    4.52197    0.68678          0    0.738656    0.968991
-2001          1          2    1.02732 0.00521796  0.0588956    4.51964   0.682562          0    0.911921    0.888252
-2001          1          3    1.27271 0.00646433  0.0800825    4.51757   0.701098          0    0.826995    0.924964
-2001          1          4   0.412655 0.00209594  0.0261209    4.51518   0.723278          0    0.818657    0.953134
-2001          1          5   0.344972 0.00175217  0.0202443    4.51228   0.814427          0    0.866935    0.960309
-2001          1          6    1.06238 0.00539599  0.0727201    4.51004   0.820359          0    0.741748    0.972388
-2001          1          7    0.59732 0.00303389   0.044054    4.50783   0.820607          0    0.688617    0.966088
-2001          1          8   0.669178 0.00339887  0.0576154    4.50598   0.824743          0    0.589137    0.986098
-2001          1          9   0.574115 0.00291603  0.0486884    4.50407   0.827284          0    0.597767    0.990545
-2001          1         10   0.403919 0.00205158  0.0502418    4.50274   0.845286  0.0972627    0.406037       0.999
-2001          1         11   0.508283 0.00258165  0.0617839    4.50139   0.866387    0.42107    0.414035    0.974335
-2001          1         12    1.41305 0.00717714   0.169381    4.50032   0.864684   0.398456    0.420056    0.959829
-2001          1         13    1.08917  0.0055321   0.175888    4.49954   0.864237   0.392433     0.31177    0.988072
-2001          1         14   0.597313 0.00303385   0.112793    4.49876   0.863773   0.386132    0.266645    0.986591
-2001          1         15   0.693226 0.00352101   0.182356    4.49829   0.863476   0.382069    0.191419           1
-2001          1         16   0.693126  0.0035205   0.176013     4.4978   0.862994   0.375459    0.198314    0.997503
-2001          1         17   0.168828 0.000857505    0.11577    4.49759   0.862529   0.369033   0.0734404           1
-2001          1         18   0.100396 0.000509926  0.0444678    4.49721   0.862223   0.364781    0.113658           1
-2001          1         19   0.386831 0.00196478  0.0729776    4.49636   0.862106   0.363144     0.26697    0.992032
-2001          1         20   0.330116 0.00167672  0.0691341    4.49559   0.861913   0.360453    0.240484    0.997005
-2001          1         21    0.37264  0.0018927  0.0805637    4.49486   0.861434   0.353726    0.232986    0.998501
-2001          1         22   0.797138  0.0040488  0.0546052     4.4924    0.87655   0.545295    0.733145     0.99104
-2001          1         23    1.85642 0.00942905   0.103692    4.48966   0.884259   0.628453    0.898512    0.949329
-2001          1         24     1.9888  0.0101015   0.106037    4.48675    0.90111   0.782492    0.939092    0.900325
-2001          1         25   0.972407 0.00493902  0.0649349    4.48422   0.901208   0.783293    0.749321    0.955042
-2001          1         26   0.788869  0.0040068  0.0559648    4.48179   0.901263    0.78374    0.705971    0.928672
