daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR    MONTH      DAY   GPP(1)   GPP(0) GPP(tot)   NPP(1)   NPP(0) NPP(tot)    ET(1)    ET(0)  ET(tot)   LAI(1)   LAI(0)    CC(1)    CC(0) DEADTREE(1) DEADTREE(0) DEADTREE(tot)

-2001        1        1    0.198   0.0197    0.217   0.0019  0.00019  0.00209   0.0333   0.0203   0.0536     4.85     4.42     41.4     6.91        0        0        0
-2001        1        2    0.481   0.0438    0.524  0.00461  0.00042  0.00503   0.0589   0.0333   0.0922     4.34     4.03     46.2     7.58        0        0        0
-2001        1        3    0.583   0.0539    0.637   0.0056 0.000518  0.00612   0.0801   0.0459    0.126     4.34     4.03     46.2     7.58        0        0        0
-2001        1        4    0.189   0.0175    0.207  0.00182 0.000168  0.00198   0.0261    0.015   0.0411     4.34     4.03     46.2     7.58        0        0        0
-2001        1        5    0.158   0.0146    0.173  0.00152  0.00014  0.00166   0.0203   0.0116   0.0319     4.34     4.02     46.2     7.58        0        0        0
-2001        1        6    0.487   0.0451    0.533  0.00468 0.000433  0.00511   0.0728   0.0417    0.115     4.33     4.02     46.2     7.58        0        0        0
-2001        1        7    0.274   0.0254    0.299  0.00263 0.000243  0.00287   0.0441   0.0253   0.0694     4.33     4.02     46.2     7.58        0        0        0
-2001        1        8    0.307   0.0284    0.335  0.00295 0.000273  0.00322   0.0577   0.0331   0.0908     4.33     4.02     46.2     7.58        0        0        0
-2001        1        9    0.263   0.0244    0.288  0.00253 0.000234  0.00276   0.0488   0.0279   0.0767     4.33     4.02     46.2     7.58        0        0        0
-2001        1       10    0.185   0.0171    0.202  0.00178 0.000165  0.00194   0.0503   0.0288   0.0792     4.33     4.02     46.2     7.58        0        0        0
-2001        1       11    0.233   0.0216    0.255  0.00224 0.000207  0.00245   0.0619   0.0355   0.0974     4.33     4.01     46.2     7.58        0        0        0
-2001        1       12    0.648     0.06    0.709  0.00623 0.000576   0.0068     0.17   0.0973    0.267     4.33     4.01     46.2     7.58        0        0        0
-2001        1       13      0.5   0.0463    0.546   0.0048 0.000444  0.00524    0.176    0.101    0.277     4.32     4.01     46.2     7.58        0        0        0
-2001        1       14    0.274   0.0254      0.3  0.00263 0.000244  0.00288    0.113   0.0648    0.178     4.32     4.01     46.2     7.58        0        0        0
-2001        1       15    0.318   0.0294    0.348  0.00305 0.000283  0.00334    0.183    0.105    0.287     4.32     4.01     46.2     7.58        0        0        0
-2001        1       16    0.318   0.0294    0.348  0.00305 0.000283  0.00334    0.176    0.101    0.277     4.32     4.01     46.2     7.58        0        0        0
-2001        1       17   0.0775  0.00717   0.0847 0.000744 6.89e-05 0.000813    0.116   0.0665    0.183     4.32     4.01     46.2     7.58        0        0        0
-2001        1       18   0.0461  0.00427   0.0504 0.000443  4.1e-05 0.000483   0.0446   0.0255   0.0701     4.32     4.01     46.2     7.58        0        0        0
-2001        1       19    0.178   0.0164    0.194  0.00171 0.000158  0.00186   0.0731   0.0419    0.115     4.32     4.01     46.2     7.58        0        0        0
-2001        1       20    0.152    0.014    0.166  0.00146 0.000135  0.00159   0.0693   0.0397    0.109     4.32     4.01     46.2     7.58        0        0        0
-2001        1       21    0.171   0.0158    0.187  0.00164 0.000152  0.00179   0.0808   0.0463    0.127     4.32     4.01     46.2     7.58        0        0        0
-2001        1       22    0.366   0.0339      0.4  0.00351 0.000325  0.00384   0.0547   0.0314   0.0861     4.32     4.01     46.2     7.58        0        0        0
-2001        1       23    0.852   0.0789    0.931  0.00818 0.000757  0.00894    0.104   0.0596    0.164     4.32        4     46.2     7.58        0        0        0
-2001        1       24    0.911   0.0843    0.995  0.00874 0.000809  0.00955    0.106   0.0608    0.167     4.31        4     46.2     7.58        0        0        0
-2001        1       25    0.447   0.0413    0.488  0.00429 0.000397  0.00468   0.0651   0.0373    0.102     4.31        4     46.2     7.58        0        0        0
-2001        1       26    0.362   0.0335    0.396  0.00348 0.000322   0.0038   0.0561   0.0322   0.0883     4.31     3.99     46.2     7.58        0        0        0
-2001        1       27    0.297   0.0275    0.325  0.00285 0.000264  0.00312   0.0519   0.0298   0.0818     4.31     3.99     46.2     7.58        0        0        0
-2001        1       28     1.15    0.107     1.26   0.0111  0.00102   0.0121    0.201    0.116    0.317      4.3     3.99     46.2     7.58        0        0        0
-2001        1       29    0.458   0.0424      0.5   0.0044 0.000407   0.0048   0.0881   0.0505    0.139      4.3     3.99     46.2     7.58        0        0        0
-2001        1       30    0.348   0.0322     0.38  0.00334 0.000309  0.00365   0.0744   0.0427    0.117      4.3     3.99     46.2     7.58        0        0        0
-2001        1       31    0.431   0.0399     0.47  0.00413 0.000383  0.00452    0.124   0.0713    0.196      4.3     3.99     46.2     7.58        0        0        0
-2001        2        1   0.0838  0.00776   0.0916 0.000805 7.45e-05 0.000879   0.0699   0.0401     0.11      4.3     3.99     46.2     7.58        0        0        0
-2001        2        2    0.104  0.00961    0.113 0.000996 9.22e-05  0.00109   0.0473   0.0271   0.0745      4.3     3.98     46.2     7.58        0        0        0
-2001        2        3    0.229   0.0212     0.25   0.0022 0.000203   0.0024   0.0351   0.0201   0.0552      4.3     3.98     46.2     7.58        0        0        0
-2001        2        4    0.372   0.0345    0.407  0.00357 0.000331   0.0039   0.0482   0.0277   0.0759     4.29     3.98     46.2     7.58        0        0        0
-2001        2        5    0.614   0.0569    0.671   0.0059 0.000546  0.00644   0.0744   0.0427    0.117     4.29     3.98     46.2     7.58        0        0        0
-2001        2        6    0.709   0.0656    0.774   0.0068  0.00063  0.00743   0.0802   0.0461    0.126     4.29     3.97     46.2     7.58        0        0        0
-2001        2        7     1.68    0.155     1.83   0.0161  0.00149   0.0176    0.195    0.112    0.307     4.28     3.97     46.2     7.58        0        0        0
-2001        2        8    0.783   0.0726    0.856  0.00752 0.000696  0.00822   0.0937   0.0538    0.148     4.28     3.97     46.2     7.58        0        0        0
-2001        2        9     1.57    0.145     1.71    0.015  0.00139   0.0164    0.256    0.147    0.403     4.28     3.97     46.2     7.58        0        0        0
-2001        2       10     1.52    0.141     1.66   0.0146  0.00135   0.0159    0.267    0.153    0.421     4.28     3.96     46.2     7.58        0        0        0
-2001        2       11    0.778   0.0721     0.85  0.00747 0.000692  0.00816   0.0905    0.052    0.142     4.27     3.96     46.2     7.58        0        0        0
-2001        2       12     1.12    0.104     1.22   0.0108 0.000996   0.0117    0.127   0.0731      0.2     4.27     3.96     46.2     7.58        0        0        0
-2001        2       13     1.54    0.142     1.68   0.0147  0.00137   0.0161    0.218    0.125    0.343     4.27     3.96     46.2     7.58        0        0        0
-2001        2       14      1.4     0.13     1.53   0.0135  0.00125   0.0147    0.247    0.142    0.389     4.27     3.95     46.2     7.58        0        0        0
-2001        2       15     2.53    0.234     2.76   0.0242  0.00225   0.0265    0.313     0.18    0.492     4.27     3.95     46.2     7.58        0        0        0
-2001        2       16    0.522   0.0483     0.57  0.00501 0.000464  0.00547   0.0908   0.0521    0.143     4.26     3.95     46.2     7.58        0        0        0
-2001        2       17    0.639   0.0592    0.698  0.00613 0.000568   0.0067    0.111   0.0638    0.175     4.26     3.95     46.2     7.58        0        0        0
-2001        2       18     1.01   0.0936      1.1   0.0097 0.000899   0.0106     0.17   0.0979    0.268     4.26     3.95     46.2     7.58        0        0        0
-2001        2       19     1.01   0.0935      1.1  0.00968 0.000897   0.0106    0.169   0.0971    0.266     4.26     3.94     46.2     7.58        0        0        0
-2001        2       20     1.35    0.125     1.47   0.0129   0.0012   0.0141    0.211    0.121    0.331     4.26     3.94     46.2     7.58        0        0        0
-2001        2       21    0.446   0.0413    0.488  0.00428 0.000397  0.00468   0.0643   0.0369    0.101     4.25     3.94     46.2     7.58        0        0        0
-2001        2       22     1.55    0.143     1.69   0.0148  0.00137   0.0162    0.234    0.134    0.368     4.25     3.94     46.2     7.58        0        0        0
-2001        2       23     1.41     0.13     1.54   0.0135  0.00125   0.0148    0.268    0.154    0.423     4.25     3.94     46.2     7.58        0        0        0
-2001        2       24    0.601   0.0557    0.657  0.00577 0.000535  0.00631    0.376    0.216    0.592     4.25     3.94     46.2     7.58        0        0        0
-2001        2       25    0.937   0.0868     1.02  0.00899 0.000834  0.00983    0.323    0.186    0.509     4.25     3.93     46.2     7.58        0        0        0
