monthly output file at stand level

Monthly summary output from 3D-CMCC FEM
Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5    138.298   0.120911    40.9539
-2007          6    237.444   0.207592    92.3176
-2007          7    117.161   0.102431    86.0794
-2007          8    167.594   0.146524    79.5177
-2007          9    192.059   0.167913    59.8955
-2007         10    62.2198  0.0543974    19.2516
-2007         11          0          0          0
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5    153.881   0.133552    45.0806
-2008          6    234.949    0.20391    92.1353
-2008          7    113.881  0.0988369    85.3134
-2008          8    162.922   0.141399    78.9443
-2008          9    186.732   0.162063    59.4739
-2008         10    61.2258  0.0531375     19.209
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5    148.383    0.13073    44.4013
-2009          6    225.453   0.198632    91.2327
-2009          7    110.549  0.0973972    84.5028
-2009          8    158.141   0.139328    78.3324
-2009          9    181.255   0.159692    59.0181
-2009         10    59.3277  0.0522697    18.9708
-2009         11          0          0          0
-2009         12          0          0          0
