monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1          0          0          0
-2001          2          0          0          0
-2001          3          0          0          0
-2001          4          0          0          0
-2001          5          0          0          0
-2001          6          0          0          0
-2001          7    536.088    1.28808    156.691
-2001          8    474.624    1.14039    139.963
-2001          9    271.278   0.651808    81.1863
-2001         10    70.5516    0.17888    21.2214
-2001         11          0          0          0
-2001         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2002          1          0          0          0
-2002          2          0          0          0
-2002          3          0          0          0
-2002          4          0          0          0
-2002          5          0          0          0
-2002          6          0          0          0
-2002          7    413.577    1.83767    194.795
-2002          8    464.192    2.04351     182.57
-2002          9    371.669    1.63642     152.28
-2002         10    68.1096   0.320463    35.2159
-2002         11          0          0          0
-2002         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2003          1          0          0          0
-2003          2          0          0          0
-2003          3          0          0          0
-2003          4          0          0          0
-2003          5          0          0          0
-2003          6    5.54993  0.0254442    15947.5
-2003          7    258.008    1.09038     142120
-2003          8    321.606    1.33297     104798
-2003          9    236.005   0.969237    62520.1
-2003         10    44.9649   0.205382    17897.8
-2003         11          0          0          0
-2003         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2004          1          0          0          0
-2004          2          0          0          0
-2004          3          0          0          0
-2004          4          0          0          0
-2004          5          0          0          0
-2004          6          0          0          0
-2004          7    108.372   0.463198    30447.3
-2004          8    263.213    1.09496      90398
-2004          9    207.233   0.861791      73524
-2004         10    36.5395   0.167895    17692.9
-2004         11          0          0          0
-2004         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2005          1          0          0          0
-2005          2          0          0          0
-2005          3          0          0          0
-2005          4          0          0          0
-2005          5          0          0          0
-2005          6    20.3858   0.092944    10704.9
-2005          7    260.189    1.08761    86224.5
-2005          8    263.929    1.10254     112980
-2005          9    220.192   0.913557    79355.6
-2005         10    60.7586   0.280002    28985.1
-2005         11          0          0          0
-2005         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2006          1          0          0          0
-2006          2          0          0          0
-2006          3          0          0          0
-2006          4          0          0          0
-2006          5          0          0          0
-2006          6          0          0          0
-2006          7    151.892   0.648987    51109.3
-2006          8    183.597   0.774019    83325.3
-2006          9    200.431    0.84372    81135.2
-2006         10    33.5931   0.154648    18275.3
-2006         11          0          0          0
-2006         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5          0          0          0
-2007          6   0.089341 0.000412437     93.818
-2007          7    99.1255   0.431521    34670.8
-2007          8    231.259   0.985637    82022.9
-2007          9    157.798    0.67267    66512.6
-2007         10    29.4737   0.140748    17003.7
-2007         11          0          0          0
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5          0          0          0
-2008          6          0          0          0
-2008          7     90.458     0.4029      29988
-2008          8    214.544   0.922018    70545.9
-2008          9     163.26   0.702508      68870
-2008         10    27.9265   0.137344      17549
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5          0          0          0
-2009          6          0          0          0
-2009          7    100.406   0.455391    37281.8
-2009          8    273.274    1.17313     118985
-2009          9    177.303   0.759617      78078
-2009         10    25.6759   0.120685    15601.8
-2009         11          0          0          0
-2009         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2010          1          0          0          0
-2010          2          0          0          0
-2010          3          0          0          0
-2010          4          0          0          0
-2010          5          0          0          0
-2010          6          0          0          0
-2010          7     105.27   0.463993    39021.8
-2010          8     205.09   0.881472    90172.8
-2010          9    154.447   0.664592    76865.1
-2010         10    34.0546   0.160084    19914.3
-2010         11          0          0          0
-2010         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2011          1          0          0          0
-2011          2          0          0          0
-2011          3          0          0          0
-2011          4          0          0          0
-2011          5          0          0          0
-2011          6          0          0          0
-2011          7      59.05   0.268394    29884.7
-2011          8    197.642   0.851873    75718.3
-2011          9     173.37   0.750646    79174.7
-2011         10    32.9053   0.153094    16533.6
-2011         11          0          0          0
-2011         12          0          0          0
