monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)
Monthly DEAD TREE = monthly dead tree (n tree/cell)



-YEAR      MONTH     GPP(0)  GPP (tot)     NPP(0)  NPP (tot)      ET(0)   ET (tot)

-2001          1          0          0          0          0          0          0 
-2001          2          0          0          0          0          0          0 
-2001          3          0          0          0          0          0          0 
-2001          4          0          0          0          0          0          0 
-2001          5          0          0          0          0          0          0 
-2001          6    174.938    174.938    1.32173    1.32173    71.4608    71.4608 
-2001          7    222.378    222.378    1.69281    1.69281    83.8307    83.8307 
-2001          8    196.882    196.882    1.50761    1.50761    73.7573    73.7573 
-2001          9     112.53     112.53   0.866079   0.866079    43.0534    43.0534 
-2001         10    65.3483    65.3483    0.50449    0.50449    28.8198    28.8198 
-2001         11    5.39528    5.39528  0.0417084  0.0417084    6.10243    6.10243 
-2001         12          0          0          0          0          0          0 

-YEAR      MONTH     GPP(0)  GPP (tot)     NPP(0)  NPP (tot)      ET(0)   ET (tot)

-2002          1          0          0          0          0          0          0 
-2002          2          0          0          0          0          0          0 
-2002          3          0          0          0          0          0          0 
-2002          4          0          0          0          0          0          0 
-2002          5          0          0          0          0          0          0 
-2002          6    141.282    141.282    1.09266    1.09266    65.1685    65.1685 
-2002          7    178.755    178.755    1.38734    1.38734    72.9655    72.9655 
-2002          8    172.814    172.814    1.34739    1.34739    63.2667    63.2667 
-2002          9    134.396    134.396    1.05253    1.05253    52.1399    52.1399 
-2002         10    52.4049    52.4049   0.411802   0.411802    28.2505    28.2505 
-2002         11    7.76304    7.76304  0.0610911  0.0610911    6.73991    6.73991 
-2002         12          0          0          0          0          0          0 

-YEAR      MONTH     GPP(0)  GPP (tot)     NPP(0)  NPP (tot)      ET(0)   ET (tot)

-2003          1          0          0          0          0          0          0 
-2003          2          0          0          0          0          0          0 
-2003          3          0          0          0          0          0          0 
-2003          4          0          0          0          0          0          0 
-2003          5    36.9137    36.9137   0.290565   0.290565    22.7151    22.7151 
-2003          6    211.503    211.503    1.66551    1.66551    89.4073    89.4073 
-2003          7    208.849    208.849    1.65325    1.65325    85.1997    85.1997 
-2003          8    197.888    197.888    1.57492    1.57492      80.69      80.69 
-2003          9    144.484    144.484    1.15567    1.15567    56.8794    56.8794 
-2003         10    64.7992    64.7992   0.520198   0.520198    34.5905    34.5905 
-2003         11    12.6408    12.6408   0.101649   0.101649    9.08453    9.08453 
-2003         12          0          0          0          0          0          0 

-YEAR      MONTH     GPP(0)  GPP (tot)     NPP(0)  NPP (tot)      ET(0)   ET (tot)

-2004          1          0          0          0          0          0          0 
-2004          2          0          0          0          0          0          0 
-2004          3          0          0          0          0          0          0 
-2004          4          0          0          0          0          0          0 
-2004          5    18.1265    18.1265    0.14581    0.14581    12.3051    12.3051 
-2004          6    155.944    155.944    1.25473    1.25473    74.4384    74.4384 
-2004          7    175.385    175.385    1.41648    1.41648    73.9164    73.9164 
-2004          8    185.636    185.636    1.50594    1.50594    71.8685    71.8685 
-2004          9    133.257    133.257    1.08609    1.08609    53.6698    53.6698 
-2004         10    62.1352    62.1352   0.508153   0.508153    29.5905    29.5905 
-2004         11    8.17525    8.17525   0.066964   0.066964    7.74465    7.74465 
-2004         12          0          0          0          0          0          0 

-YEAR      MONTH     GPP(0)  GPP (tot)     NPP(0)  NPP (tot)      ET(0)   ET (tot)

-2005          1          0          0          0          0          0          0 
-2005          2          0          0          0          0          0          0 
-2005          3          0          0          0          0          0          0 
-2005          4    27.9819    27.9819   0.229269   0.229269    20.8959    20.8959 
-2005          5    147.121    147.121    1.20576    1.20576    78.6979    78.6979 
-2005          6    184.852    184.852    1.52043    1.52043    87.4862    87.4862 
-2005          7    202.874    202.874    1.67641    1.67641    81.0181    81.0181 
-2005          8    179.873    179.873      1.494      1.494    71.8627    71.8627 
-2005          9    139.717    139.717    1.16581    1.16581    57.9904    57.9904 
-2005         10     75.465     75.465   0.631901   0.631901    34.8804    34.8804 
-2005         11    15.4812    15.4812   0.129877   0.129877    9.88059    9.88059 
-2005         12   0.547811   0.547811 0.00459706 0.00459706   0.596777   0.596777 

-YEAR      MONTH     GPP(0)  GPP (tot)     NPP(0)  NPP (tot)      ET(0)   ET (tot)

-2006          1          0          0          0          0          0          0 
-2006          2          0          0          0          0          0          0 
