monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1          0          0          0
-2001          2          0          0          0
-2001          3          0          0          0
-2001          4          0          0          0
-2001          5          0          0          0
-2001          6    174.938    1.05745    71.4608
-2001          7    222.378    1.34421    83.8307
-2001          8    196.882    1.19009    73.7573
-2001          9     112.53   0.680212    43.0534
-2001         10    74.1149   0.448002    30.1033
-2001         11     6.5757  0.0397481    6.76179
-2001         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2002          1          0          0          0
-2002          2          0          0          0
-2002          3          0          0          0
-2002          4          0          0          0
-2002          5          0          0          0
-2002          6    138.924   0.839752     64.792
-2002          7    175.966    1.06366    72.5636
-2002          8    171.109     1.0343    63.0478
-2002          9    132.295   0.799681     51.863
-2002         10    51.2425   0.309746    28.0343
-2002         11    7.48813  0.0452635    6.62656
-2002         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2003          1          0          0          0
-2003          2          0          0          0
-2003          3          0          0          0
-2003          4          0          0          0
-2003          5    41.0413   0.248082    24.3057
-2003          6    206.597    1.24881    88.5704
-2003          7    205.743    1.24365    84.6686
-2003          8    194.216    1.17398    80.0423
-2003          9    141.803   0.857155    56.4651
-2003         10    63.6677   0.384852    34.3829
-2003         11    12.3141  0.0744348    8.98136
-2003         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2004          1          0          0          0
-2004          2          0          0          0
-2004          3          0          0          0
-2004          4          0          0          0
-2004          5    18.8442   0.113907    12.5629
-2004          6    159.598   0.964718    75.1299
-2004          7    178.706    1.08022    74.4296
-2004          8    187.695    1.13456    72.1793
-2004          9      130.7   0.790041    53.2616
-2004         10    60.5397   0.365944    29.3159
-2004         11    7.84865  0.0474427    7.59243
-2004         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2005          1          0          0          0
-2005          2          0          0          0
-2005          3          0          0          0
-2005          4    36.0617   0.217982    24.4251
-2005          5    148.595    0.89821    79.0046
-2005          6    186.514    1.12742      87.82
-2005          7    203.827    1.23207    81.1812
-2005          8    176.129    1.06465    71.2647
-2005          9    136.714   0.826398     57.487
-2005         10    73.7508   0.445801    34.5777
-2005         11    14.9706  0.0904926    9.73378
-2005         12   0.523758 0.00316596   0.578284

-YEAR      MONTH        GPP        NPP         ET

-2006          1          0          0          0
-2006          2          0          0          0
-2006          3          0          0          0
-2006          4          0          0          0
-2006          5    5.02506  0.0303749    5.01878
-2006          6    136.822   0.827047    76.1477
-2006          7    165.836    1.00243    86.7997
-2006          8    130.438   0.788459    53.3669
-2006          9    127.358   0.769839    52.4009
-2006         10    61.5764   0.372211    28.7022
-2006         11    7.19289  0.0434789    7.10556
-2006         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5     51.844   0.313381    32.8388
-2007          6    148.183   0.895721    69.0106
-2007          7    163.916   0.990825    74.8213
-2007          8    156.309    0.94484    67.9704
-2007          9    110.639   0.668777    49.3452
-2007         10    53.0025   0.320384    28.9493
-2007         11    7.28029  0.0440071    8.67396
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5    2.64442  0.0159847    2.55739
-2008          6    122.504   0.740501    68.2393
-2008          7    149.195    0.90184    71.9569
-2008          8    138.355   0.836314    61.1862
-2008          9    108.453   0.655566    50.7717
-2008         10    53.8958   0.325784    29.9448
-2008         11    6.00082  0.0362732      5.874
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5          0          0          0
-2009          6    116.384   0.703503    66.1619
-2009          7    163.481   0.988191    78.0571
-2009          8    172.987    1.04565    80.8866
-2009          9      119.1   0.719922    52.3663
-2009         10    51.9882   0.314253    29.7269
-2009         11    5.38985    0.03258    5.42899
-2009         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2010          1          0          0          0
-2010          2          0          0          0
-2010          3          0          0          0
-2010          4          0          0          0
-2010          5          0          0          0
-2010          6    52.3135   0.316219    34.7858
-2010          7    147.305   0.890414    79.8475
-2010          8    129.065   0.780157    60.1203
-2010          9    102.402    0.61899      48.15
-2010         10    52.1407   0.315175    31.0286
-2010         11    2.40744  0.0145523    2.66177
-2010         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2011          1          0          0          0
-2011          2          0          0          0
-2011          3          0          0          0
-2011          4          0          0          0
-2011          5    17.0862   0.103281    15.4368
-2011          6    136.681   0.826193    73.2394
-2011          7    138.982   0.840106    67.5628
-2011          8    141.632   0.856125    63.1899
-2011          9    118.857   0.718454    52.1545
-2011         10     59.854     0.3618    32.5872
-2011         11    11.2011  0.0677073    10.2687
-2011         12          0          0          0
