monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)
Monthly DEAD TREE = monthly dead tree (n tree/cell)



-YEAR      MONTH     GPP(2)     GPP(1)     GPP(0)  GPP (tot)     NPP(2)     NPP(1)     NPP(0)  NPP (tot)      ET(2)      ET(1)      ET(0)    ET(tot) DEAD TREE(2)

-2001          1          0          0          0          0          0          0          0          0          0          0          0          0
-2001          2          0          0          0          0          0          0          0          0          0          0          0          0
-2001          3          0          0          0          0          0          0          0          0          0          0          0          0
-2001          4          0          0          0          0          0          0          0          0          0          0          0          0
-2001          5          0          0          0          0          0          0          0          0          0          0          0          0
-2001          6    189.939    138.997    77.4277    406.364   0.461788   0.615121   0.117216    1.19413    33.2624    55.8547    32.9083    122.025
-2001          7    241.447    176.305     97.803    515.555   0.591387   0.785283   0.148793    1.52546     40.401    65.3874    38.3513     144.14
-2001          8    213.765    155.872    86.2234    455.859   0.526074   0.697305   0.131591    1.35497    35.9356     57.441    33.6118    126.988
-2001          9     122.18     88.984    49.1045    260.269   0.301893   0.399552  0.0751407   0.776586    20.4338    33.4293    19.6279    73.4909
-2001         10    54.5139    39.0321    9.82762    103.374   0.135023    0.17565  0.0150619   0.325735    10.1639    15.2936    5.01862    30.4761
-2001         11          0          0          0          0          0          0          0          0          0          0          0          0
-2001         12          0          0          0          0          0          0          0          0          0          0          0          0

-YEAR      MONTH     GPP(2)     GPP(1)     GPP(0)  GPP (tot)     NPP(2)     NPP(1)     NPP(0)  NPP (tot)      ET(2)      ET(1)      ET(0)    ET(tot) DEAD TREE(2)

-2002          1          0          0          0          0          0          0          0          0          0          0          0          0
-2002          2          0          0          0          0          0          0          0          0          0          0          0          0
-2002          3          0          0          0          0          0          0          0          0          0          0          0          0
-2002          4          0          0          0          0          0          0          0          0          0          0          0          0
-2002          5          0          0          0          0          0          0          0          0          0          0          0          0
-2002          6    162.678    116.037    64.4516    343.167   0.403354   0.522681  0.0988134    1.02485    39.1907    52.9366    33.4505    125.578
-2002          7    200.846    143.301    80.8249    424.972   0.499396    0.64708   0.124106    1.27058    39.5262    57.8715    35.8694    133.267
-2002          8    188.396    133.483    72.1499    394.029   0.470205   0.604789   0.111061    1.18605     31.776    49.0188    29.2467    110.041
-2002          9    144.586    102.344    53.7629    300.692   0.362143   0.465176  0.0829419   0.910262    24.5467    39.9256    23.2063    87.6785
-2002         10    41.0145    28.3032    11.9921    81.3098   0.102993   0.128938  0.0185286   0.250459    10.3558     13.566    7.20482    31.1266
-2002         11          0          0          0          0          0          0          0          0          0          0          0          0
-2002         12          0          0          0          0          0          0          0          0          0          0          0          0

-YEAR      MONTH     GPP(2)     GPP(1)     GPP(0)  GPP (tot)     NPP(2)     NPP(1)     NPP(0)  NPP (tot)      ET(2)      ET(1)      ET(0)    ET(tot) DEAD TREE(2)

-2003          1          0          0          0          0          0          0          0          0          0          0          0          0
-2003          2          0          0          0          0          0          0          0          0          0          0          0          0
-2003          3          0          0          0          0          0          0          0          0          0          0          0          0
-2003          4          0          0          0          0          0          0          0          0          0          0          0          0
-2003          5    27.1198    8.19809    3.31698    38.6349  0.0681693  0.0373802 0.00512781   0.110677    15.6551    7.88159    3.66636     27.203
-2003          6    219.267     143.57    76.6536    439.491   0.551166   0.654631   0.118501     1.3243    53.7797     66.431    40.2779    160.489
-2003          7    214.833    148.831    83.9308    447.595    0.54215   0.680599   0.129978    1.35273    42.6229    64.1453    39.3683    146.137
-2003          8      207.6    143.567    77.2147    428.381   0.526007   0.658821   0.119883    1.30471    40.3507    60.5287    35.5806     136.46
-2003          9    155.577    108.703     56.631    320.911   0.395732   0.500527  0.0881337   0.984393    27.2482    43.1668    24.7142    95.1292
-2003         10     56.599    41.2114    14.6038    112.414   0.144384   0.190245  0.0227661   0.357395     12.448     19.246    8.94138    40.6355
-2003         11          0          0          0          0          0          0          0          0          0          0          0          0
-2003         12          0          0          0          0          0          0          0          0          0          0          0          0

-YEAR      MONTH     GPP(2)     GPP(1)     GPP(0)  GPP (tot)     NPP(2)     NPP(1)     NPP(0)  NPP (tot)      ET(2)      ET(1)      ET(0)    ET(tot) DEAD TREE(2)

-2004          1          0          0          0          0          0          0          0          0          0          0          0          0
