monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1          0          0          0
-2001          2          0          0          0
-2001          3          0          0          0
-2001          4          0          0          0
-2001          5          0          0          0
-2001          6    406.364    1.19413    122.025
-2001          7    515.555    1.52546     144.14
-2001          8    455.859    1.35497    126.988
-2001          9    260.269   0.776586    73.4909
-2001         10    103.374   0.325735    30.4761
-2001         11          0          0          0
-2001         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2002          1          0          0          0
-2002          2          0          0          0
-2002          3          0          0          0
-2002          4          0          0          0
-2002          5          0          0          0
-2002          6    343.167    1.02485    125.578
-2002          7    424.972    1.27058    133.267
-2002          8    394.029    1.18605    110.041
-2002          9    300.692   0.910262    87.6785
-2002         10    81.3098   0.250459    31.1266
-2002         11          0          0          0
-2002         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2003          1          0          0          0
-2003          2          0          0          0
-2003          3          0          0          0
-2003          4          0          0          0
-2003          5    38.6349   0.110677     27.203
-2003          6    439.491     1.3243    160.489
-2003          7    447.595    1.35273    146.137
-2003          8    428.381    1.30471     136.46
-2003          9    320.911   0.984393    95.1292
-2003         10    112.414   0.357395    40.6355
-2003         11          0          0          0
-2003         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2004          1          0          0          0
-2004          2          0          0          0
-2004          3          0          0          0
-2004          4          0          0          0
-2004          5    11.9877  0.0343095    10.7679
-2004          6    311.452   0.951268    128.227
-2004          7    401.877    1.22611     132.65
-2004          8    410.291    1.26157    123.522
-2004          9    290.679   0.899636    90.0957
-2004         10    90.4867   0.288412     32.279
-2004         11          0          0          0
-2004         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2005          1          0          0          0
-2005          2          0          0          0
-2005          3          0          0          0
-2005          4    20.0986  0.0634283    21.4794
-2005          5    318.683    1.00001    141.845
-2005          6     424.79    1.32317    156.328
-2005          7    447.947    1.40463    137.474
-2005          8    393.283    1.24106    116.508
-2005          9     309.98    0.98458    95.1951
-2005         10    142.755   0.465905     47.508
-2005         11          0          0          0
-2005         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2006          1          0          0          0
-2006          2          0          0          0
-2006          3          0          0          0
-2006          4          0          0          0
-2006          5    4.40757   0.013704    5.52284
-2006          6    265.197   0.857604    120.941
-2006          7    388.163    1.22223    155.138
-2006          8    293.293   0.929554    91.5342
-2006          9    280.972   0.894834    85.9785
-2006         10     93.266   0.307888     31.229
-2006         11          0          0          0
-2006         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5    56.4344     0.1862    42.3792
-2007          6    341.197    1.08967    125.705
-2007          7    372.135    1.18109    130.062
-2007          8    342.898    1.09602    114.522
-2007          9    243.376   0.782287     80.243
-2007         10    90.7151   0.299599    33.6718
-2007         11          0          0          0
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5     1.2614 0.00416847    1.18568
-2008          6     210.72   0.690745    106.247
-2008          7    349.105    1.11607    129.197
-2008          8    310.598   0.999946    104.913
-2008          9    237.171   0.767768    84.7663
-2008         10    82.4181   0.275343    31.1238
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5          0          0          0
-2009          6    215.346   0.717319    107.675
-2009          7    361.153    1.17935    135.634
-2009          8    370.207    1.21578    133.269
-2009          9    256.079   0.845199    85.3392
-2009         10    73.7056   0.252622    30.4262
-2009         11          0          0          0
-2009         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2010          1          0          0          0
-2010          2          0          0          0
-2010          3          0          0          0
-2010          4          0          0          0
-2010          5          0          0          0
-2010          6     40.172   0.137386    32.9907
-2010          7    334.124    1.11672    141.389
-2010          8    294.358   0.974177    103.796
-2010          9    226.516    0.75278    80.4594
-2010         10    78.1878   0.267448    29.3771
-2010         11          0          0          0
-2010         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2011          1          0          0          0
-2011          2          0          0          0
-2011          3          0          0          0
-2011          4          0          0          0
-2011          5    23.2681  0.0796143    24.4854
-2011          6      290.4   0.975736    124.961
-2011          7    311.261     1.0339    115.081
-2011          8    307.165    1.02552    103.427
-2011          9    255.423   0.856648    82.4578
-2011         10    82.7487   0.287235    32.4353
-2011         11          0          0          0
-2011         12          0          0          0
