monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 0, 0, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1          0          0          0
-2001          2          0          0          0
-2001          3          0          0          0
-2001          4          0          0          0
-2001          5          0          0          0
-2001          6    421.724    1.01329    186.388
-2001          7    536.088    1.28808     218.67
-2001          8    474.624    1.14039    192.373
-2001          9    271.278   0.651808    112.149
-2001         10     115.33   0.295754    42.7055
-2001         11          0          0          0
-2001         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2002          1          0          0          0
-2002          2          0          0          0
-2002          3          0          0          0
-2002          4          0          0          0
-2002          5          0          0          0
-2002          6    250.723   0.680216    36622.3
-2002          7     300.95    0.82107    34670.1
-2002          8    283.094   0.780447    24609.2
-2002          9    202.574   0.562422      16937
-2002         10     52.842     0.1498    4630.37
-2002         11          0          0          0
-2002         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2003          1          0          0          0
-2003          2          0          0          0
-2003          3          0          0          0
-2003          4          0          0          0
-2003          5    11.5293  0.0331459    312.522
-2003          6    333.075   0.956131    2651.34
-2003          7    361.292    1.03392    7449.59
-2003          8    353.294    1.00425    13339.9
-2003          9    259.411   0.731791    11638.4
-2003         10    81.8005   0.240774    11590.1
-2003         11          0          0          0
-2003         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2004          1          0          0          0
-2004          2          0          0          0
-2004          3          0          0          0
-2004          4          0          0          0
-2004          5    4.82745  0.0131898   -233.606
-2004          6    219.482   0.630137   -2926.82
-2004          7    338.203   0.988383   -20750.4
-2004          8    309.275   0.931691    71391.8
-2004          9        nan        nan        nan
-2004         10        nan        nan        nan
-2004         11          0          0          0
-2004         12          0          0          0
