monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2001          1    29.8637   0.151683    2.99805
-2001          2    48.7703   0.247713    2.88149
-2001          3    46.0851   0.234074     2.0725
-2001          4    51.7427    0.26281    1.86138
-2001          5    44.1253    0.22412    1.43876
-2001          6    23.2236   0.117957   0.740578
-2001          7    9.46955  0.0480975   0.389899
-2001          8     4.7336  0.0240428   0.186391
-2001          9     2.4819   0.012606  0.0716903
-2001         10   0.912633 0.00463542   0.026464
-2001         11   0.186166 0.000945567 0.00679564
-2001         12  0.0305552 0.000155195 0.00188556

-YEAR      MONTH        GPP        NPP         ET

-2002          1          0          0          0
-2002          2          0          0          0
-2002          3          0          0          0
-2002          4          0          0          0
-2002          5          0          0          0
-2002          6          0          0          0
-2002          7          0          0          0
-2002          8          0          0          0
-2002          9          0          0          0
-2002         10          0          0          0
-2002         11          0          0          0
-2002         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2003          1          0          0          0
-2003          2          0          0          0
-2003          3          0          0          0
-2003          4          0          0          0
-2003          5          0          0          0
-2003          6          0          0          0
-2003          7          0          0          0
-2003          8          0          0          0
-2003          9          0          0          0
-2003         10          0          0          0
-2003         11          0          0          0
-2003         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2004          1          0          0          0
-2004          2          0          0          0
-2004          3          0          0          0
-2004          4          0          0          0
-2004          5          0          0          0
-2004          6          0          0          0
-2004          7          0          0          0
-2004          8          0          0          0
-2004          9          0          0          0
-2004         10          0          0          0
-2004         11          0          0          0
-2004         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2005          1          0          0          0
-2005          2          0          0          0
-2005          3          0          0          0
-2005          4          0          0          0
-2005          5          0          0          0
-2005          6          0          0          0
-2005          7          0          0          0
-2005          8          0          0          0
-2005          9          0          0          0
-2005         10          0          0          0
-2005         11          0          0          0
-2005         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2006          1          0          0          0
-2006          2          0          0          0
-2006          3          0          0          0
-2006          4          0          0          0
-2006          5          0          0          0
-2006          6          0          0          0
-2006          7          0          0          0
-2006          8          0          0          0
-2006          9          0          0          0
-2006         10          0          0          0
-2006         11          0          0          0
-2006         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5          0          0          0
-2007          6          0          0          0
-2007          7          0          0          0
-2007          8          0          0          0
-2007          9          0          0          0
-2007         10          0          0          0
-2007         11          0          0          0
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5          0          0          0
-2008          6          0          0          0
-2008          7          0          0          0
-2008          8          0          0          0
-2008          9          0          0          0
-2008         10          0          0          0
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5          0          0          0
-2009          6          0          0          0
-2009          7          0          0          0
-2009          8          0          0          0
-2009          9          0          0          0
-2009         10          0          0          0
-2009         11          0          0          0
-2009         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2010          1          0          0          0
-2010          2          0          0          0
-2010          3          0          0          0
-2010          4          0          0          0
-2010          5          0          0          0
-2010          6          0          0          0
-2010          7          0          0          0
-2010          8          0          0          0
-2010          9          0          0          0
-2010         10          0          0          0
-2010         11          0          0          0
-2010         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2011          1          0          0          0
-2011          2          0          0          0
-2011          3          0          0          0
-2011          4          0          0          0
-2011          5          0          0          0
-2011          6          0          0          0
-2011          7          0          0          0
-2011          8          0          0          0
-2011          9          0          0          0
-2011         10          0          0          0
-2011         11          0          0          0
-2011         12          0          0          0
