monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1526, 963, Lat = 37.53, Long  = 14.2


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET

-2007          1          0          0          0
-2007          2          0          0          0
-2007          3          0          0          0
-2007          4          0          0          0
-2007          5    181.397   0.158591    44.5949
-2007          6    306.995   0.268399    97.6169
-2007          7    148.161   0.129534    92.0911
-2007          8    211.873   0.185236    83.9605
-2007          9    242.809   0.212283    63.2018
-2007         10    77.8173   0.068034      20.88
-2007         11          0          0          0
-2007         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2008          1          0          0          0
-2008          2          0          0          0
-2008          3          0          0          0
-2008          4          0          0          0
-2008          5    212.901   0.185634    50.1674
-2008          6    303.323   0.264475    97.2353
-2008          7    144.905   0.126346    91.5557
-2008          8    207.221   0.180681    83.5694
-2008          9    237.507   0.207089    62.9123
-2008         10    76.8945  0.0670463    20.8704
-2008         11          0          0          0
-2008         12          0          0          0

-YEAR      MONTH        GPP        NPP         ET

-2009          1          0          0          0
-2009          2          0          0          0
-2009          3          0          0          0
-2009          4          0          0          0
-2009          5    209.212   0.182283    50.1567
-2009          6    295.645   0.257592    96.7084
-2009          7    141.192   0.123018    90.8939
-2009          8    201.915   0.175926    83.0846
-2009          9    231.473   0.201679    62.5621
-2009         10    75.1523  0.0654791    20.7254
-2009         11          0          0          0
-2009         12          0          0          0
